image,class,x0,y0,z0,visibility0,x1,y1,z1,visibility1,x2,y2,z2,visibility2,x3,y3,z3,visibility3,x4,y4,z4,visibility4,x5,y5,z5,visibility5,x6,y6,z6,visibility6,x7,y7,z7,visibility7,x8,y8,z8,visibility8,x9,y9,z9,visibility9,x10,y10,z10,visibility10,x11,y11,z11,visibility11,x12,y12,z12,visibility12,x13,y13,z13,visibility13,x14,y14,z14,visibility14,x15,y15,z15,visibility15,x16,y16,z16,visibility16,x17,y17,z17,visibility17,x18,y18,z18,visibility18,x19,y19,z19,visibility19,x20,y20,z20,visibility20,x21,y21,z21,visibility21,x22,y22,z22,visibility22,x23,y23,z23,visibility23,x24,y24,z24,visibility24,x25,y25,z25,visibility25,x26,y26,z26,visibility26,x27,y27,z27,visibility27,x28,y28,z28,visibility28,x29,y29,z29,visibility29,x30,y30,z30,visibility30,x31,y31,z31,visibility31,x32,y32,z32,visibility32
47.jpeg,0,0.58548,0.33131,-0.99137,0.99998,0.60432,0.26677,-0.94642,0.99996,0.61844,0.2618,-0.94646,0.99998,0.63172,0.25697,-0.94644,0.99997,0.55649,0.28017,-0.92881,0.99994,0.53964,0.28416,-0.92825,0.99994,0.52631,0.28618,-0.92842,0.99988,0.65559,0.25907,-0.59447,0.99998,0.51527,0.30142,-0.50274,0.99997,0.61891,0.38031,-0.85741,0.99999,0.5595,0.3968,-0.83228,0.99998,0.76659,0.55801,-0.40115,0.99993,0.45104,0.55434,-0.11822,0.99857,0.96984,0.74254,-0.92769,0.99631,0.4213,0.91108,0.41495,0.3953,0.83673,0.37032,-1.61908,0.99884,0.43218,1.176,0.48547,0.49228,0.79817,0.24515,-1.77053,0.99521,0.42979,1.27575,0.49613,0.47219,0.77312,0.2442,-1.69273,0.99551,0.43944,1.26308,0.39456,0.5599,0.76438,0.28855,-1.61029,0.99364,0.44713,1.23073,0.44596,0.5562,0.70966,1.28118,-0.10183,0.04737,0.48701,1.28207,0.10567,0.01598,0.70672,1.857,-0.10157,0.00535,0.49609,1.81364,0.01866,0.00446,0.70074,2.33708,0.35894,0.00041,0.50794,2.31535,0.38538,9e-05,0.70883,2.41123,0.37813,0.00037,0.50788,2.39501,0.40651,0.00042,0.67045,2.49037,-0.14148,0.00046,0.54963,2.4759,-0.14206,0.00083
51.jpeg,0,0.5221,0.27687,-0.51845,0.99996,0.53456,0.26143,-0.49216,0.9999,0.53983,0.26323,-0.49228,0.99983,0.54466,0.26523,-0.49241,0.99985,0.51772,0.25805,-0.4861,0.99989,0.51245,0.25706,-0.48617,0.99983,0.50801,0.25645,-0.48627,0.99987,0.55373,0.27582,-0.35279,0.99964,0.50471,0.26512,-0.32797,0.99974,0.53164,0.29904,-0.46809,0.99996,0.51053,0.29382,-0.46104,0.99996,0.57348,0.40953,-0.29142,0.99971,0.45585,0.40015,-0.21287,0.99959,0.54719,0.58722,-0.29018,0.98318,0.43194,0.57534,-0.19458,0.9777,0.49808,0.72729,-0.36234,0.95401,0.43628,0.72519,-0.30576,0.93031,0.49777,0.77814,-0.41261,0.90323,0.4353,0.76862,-0.34234,0.85918,0.48533,0.77613,-0.42198,0.90618,0.4443,0.76753,-0.37817,0.86308,0.48128,0.75885,-0.36685,0.89649,0.44878,0.75172,-0.3214,0.86519,0.53162,0.67454,-0.04221,0.99976,0.46454,0.67364,0.04216,0.99946,0.52925,0.87523,-0.13662,0.49902,0.46658,0.87548,-0.02478,0.34754,0.55513,1.02492,0.16777,0.23933,0.48321,1.00592,0.31303,0.10653,0.55699,1.0425,0.1913,0.18993,0.49081,1.02456,0.34284,0.14675,0.57431,1.09481,0.07915,0.20145,0.46975,1.06573,0.21984,0.12951
92.jpeg,0,0.63106,0.2699,-0.89472,0.99992,0.62542,0.22177,-0.88702,0.99994,0.63286,0.21031,-0.88682,0.99991,0.64028,0.19966,-0.88696,0.99992,0.60816,0.24557,-0.87576,0.99992,0.60303,0.25078,-0.8761,0.99988,0.59788,0.2557,-0.87625,0.9999,0.66347,0.18099,-0.73629,0.99991,0.60923,0.24652,-0.69719,0.9998,0.66509,0.27673,-0.82942,0.99988,0.64276,0.30014,-0.81886,0.99983,0.79258,0.26111,-0.68773,0.9926,0.62819,0.37672,-0.48701,0.9986,0.92602,0.47469,-0.67954,0.91871,0.54622,0.54,-0.67768,0.9703,0.93476,0.68259,-0.64468,0.69577,0.45589,0.43334,-0.93009,0.95363,0.95129,0.74191,-0.67892,0.568,0.43101,0.41634,-0.97441,0.89103,0.92623,0.74202,-0.67852,0.59893,0.42844,0.35432,-0.9483,0.881,0.91572,0.72623,-0.64009,0.58279,0.44326,0.36557,-0.92631,0.87042,0.95695,0.45477,-0.05804,0.98543,0.86449,0.56081,0.0576,0.98852,0.99014,0.48003,-0.24389,0.59367,0.82353,0.79719,0.27784,0.51428,1.09916,0.62067,-0.01478,0.34935,0.92423,0.88815,0.6548,0.11816,1.11511,0.64449,0.00748,0.41674,0.94968,0.87994,0.69354,0.15281,1.15216,0.6836,-0.10605,0.32091,0.94377,1.02968,0.65311,0.06831
84.jpeg,0,0.87055,0.52149,-0.01394,0.99955,0.88655,0.5319,-0.05166,0.99947,0.88647,0.53382,-0.05174,0.99947,0.8863,0.53549,-0.05178,0.99947,0.88679,0.53184,-0.00756,0.99943,0.887,0.53383,-0.00759,0.99942,0.88724,0.53589,-0.00768,0.99954,0.87656,0.55547,-0.13691,0.99953,0.87849,0.55551,0.05548,0.99955,0.85499,0.52929,-0.03784,0.99937,0.85311,0.52873,0.01807,0.99938,0.79131,0.568,-0.23776,0.99976,0.79162,0.58149,0.19039,0.9994,0.69393,0.48645,-0.16342,0.93771,0.68919,0.51838,0.25469,0.11897,0.67399,0.48079,0.03441,0.66506,0.64798,0.493,0.20569,0.07662,0.66591,0.47756,0.03085,0.63631,0.63697,0.4908,0.20636,0.08978,0.67465,0.48283,0.01772,0.64087,0.6396,0.48994,0.17552,0.09446,0.6763,0.48489,0.03682,0.63752,0.64872,0.49068,0.18996,0.09811,0.53938,0.56525,-0.12748,0.9966,0.54106,0.55551,0.1274,0.99582,0.36309,0.556,-0.08603,0.79922,0.37695,0.56327,0.14916,0.33704,0.19798,0.56272,-0.03814,0.86276,0.21615,0.56082,0.2104,0.39211,0.18328,0.57902,-0.03715,0.88338,0.19046,0.57815,0.21225,0.46022,0.17089,0.51995,-0.11738,0.8735,0.17863,0.52622,0.16152,0.55914
105.jpeg,0,0.61806,0.39339,-1.55931,0.99996,0.62118,0.32689,-1.43447,0.99995,0.63874,0.32399,-1.43502,0.99996,0.6565,0.32049,-1.43443,0.99994,0.55369,0.33698,-1.51556,0.99994,0.51784,0.34255,-1.51508,0.99995,0.47508,0.34787,-1.51563,0.99993,0.63333,0.34185,-0.63043,0.99997,0.36054,0.37712,-0.97285,0.99997,0.64645,0.45816,-1.25068,0.99997,0.5619,0.47056,-1.35127,0.99997,0.77053,0.66463,-0.10145,0.9998,0.13311,0.65102,-0.73638,0.99893,0.87921,1.12,-0.84112,0.61573,-0.02519,1.12778,-1.76278,0.94097,0.74265,0.91743,-2.30334,0.96757,0.38212,0.83913,-3.09115,0.97696,0.70659,0.8688,-2.57659,0.95294,0.50138,0.79983,-3.35011,0.94798,0.72833,0.7786,-2.47882,0.96035,0.50985,0.72308,-3.25622,0.95394,0.71605,0.79112,-2.31032,0.94783,0.48963,0.73682,-3.07428,0.94427,0.66151,1.40661,0.06638,0.01299,0.20618,1.41814,-0.05984,0.0099,0.66688,2.01074,0.03382,0.00604,0.25132,2.02034,-0.06193,0.00355,0.68394,2.56175,0.91324,0.00059,0.31019,2.55269,0.57096,0.0001,0.68493,2.63988,0.93887,0.00042,0.29103,2.62604,0.60602,0.00022,0.68415,2.72673,0.00956,0.00053,0.41111,2.71462,-0.40662,0.00046
26.jpeg,0,0.70649,0.22437,-0.11712,1.0,0.71818,0.20545,-0.09408,1.0,0.72526,0.20555,-0.09411,1.0,0.72986,0.20568,-0.09416,1.0,0.69833,0.20495,-0.08944,1.0,0.6934,0.20482,-0.08947,1.0,0.68948,0.20513,-0.08946,1.0,0.7413,0.21639,0.03278,1.0,0.68348,0.21742,0.05577,0.99999,0.72022,0.24755,-0.07013,1.0,0.69521,0.24654,-0.06371,1.0,0.78972,0.32949,0.06752,0.99998,0.64296,0.32494,0.10467,0.99996,0.76546,0.4767,-0.0733,0.97013,0.63674,0.46607,-0.01871,0.86306,0.73909,0.48021,-0.30721,0.97023,0.6367,0.46668,-0.30083,0.93741,0.72258,0.48489,-0.36257,0.96017,0.63782,0.47069,-0.36284,0.93296,0.71834,0.4601,-0.36914,0.96209,0.64073,0.45755,-0.37645,0.93565,0.72044,0.45522,-0.31408,0.94932,0.64321,0.45473,-0.3129,0.91749,0.74074,0.54748,-0.00901,0.9999,0.6571,0.54509,0.00936,0.99985,0.76663,0.54296,-0.53375,0.99831,0.62019,0.53524,-0.47509,0.99641,0.74821,0.78662,-0.45004,0.99557,0.6317,0.77728,-0.39879,0.99401,0.73862,0.80907,-0.44575,0.9825,0.64606,0.80197,-0.3956,0.97469,0.7493,0.88875,-0.61731,0.9944,0.60882,0.8747,-0.56922,0.99018
71.jpeg,0,0.64223,0.26381,-0.47062,0.99994,0.65071,0.25021,-0.46134,0.99974,0.65531,0.25055,-0.46129,0.99975,0.65967,0.251,-0.46126,0.99972,0.63908,0.24988,-0.45751,0.99976,0.63566,0.25002,-0.45757,0.99977,0.63244,0.2503,-0.45758,0.99974,0.67218,0.25767,-0.34678,0.99928,0.63724,0.25603,-0.32738,0.99935,0.65319,0.27983,-0.4227,0.99988,0.63868,0.28023,-0.41705,0.99983,0.71136,0.3294,-0.23184,0.99995,0.60722,0.33606,-0.20199,0.99985,0.73017,0.43363,-0.15436,0.99277,0.59469,0.43935,-0.14391,0.96551,0.74352,0.5344,-0.23603,0.9772,0.59526,0.52929,-0.25492,0.95406,0.74593,0.56402,-0.26551,0.9465,0.57089,0.55554,-0.28881,0.90992,0.73858,0.56123,-0.30239,0.95112,0.57465,0.5509,-0.32828,0.91555,0.7336,0.5525,-0.25177,0.9454,0.57819,0.53865,-0.27258,0.90907,0.69288,0.52251,-0.02764,0.99973,0.62976,0.51698,0.02764,0.99941,0.6781,0.67337,-0.07544,0.98581,0.61752,0.65968,0.10305,0.95576,0.669,0.8218,0.04219,0.98363,0.63028,0.75173,0.38033,0.92624,0.67162,0.84263,0.04506,0.83934,0.63553,0.75951,0.40254,0.80644,0.65125,0.86793,-0.10164,0.97393,0.61223,0.81758,0.31398,0.9301
30.jpeg,0,0.52414,0.19554,-0.38535,0.99992,0.53032,0.18056,-0.36877,0.99972,0.53523,0.18014,-0.36884,0.99975,0.54,0.18001,-0.36889,0.99976,0.51829,0.18231,-0.36424,0.99963,0.51476,0.183,-0.36426,0.99955,0.51143,0.18387,-0.36432,0.99951,0.54902,0.1899,-0.24498,0.99971,0.50969,0.19301,-0.2251,0.99894,0.53482,0.21183,-0.33748,0.99993,0.51718,0.21247,-0.33176,0.99988,0.59618,0.29544,-0.16134,0.99995,0.47538,0.29437,-0.10104,0.99988,0.61893,0.42561,-0.10735,0.99434,0.45703,0.41155,0.00464,0.96654,0.62755,0.55295,-0.23137,0.98892,0.44731,0.52398,-0.0949,0.96246,0.63481,0.58857,-0.26743,0.97335,0.43878,0.55558,-0.1231,0.93492,0.6271,0.58846,-0.31222,0.97508,0.44001,0.55483,-0.17064,0.94172,0.62125,0.57695,-0.25037,0.96921,0.44556,0.54588,-0.11645,0.93431,0.57015,0.55137,-0.007,0.99876,0.50709,0.55053,0.00708,0.99945,0.56499,0.74059,0.02223,0.93883,0.52078,0.73784,-0.00495,0.96237,0.54682,0.87652,0.32152,0.80045,0.5409,0.91143,0.17384,0.91402,0.54357,0.88786,0.34419,0.51522,0.54762,0.932,0.18271,0.62072,0.5502,0.94133,0.21357,0.76899,0.53119,0.96673,0.02359,0.87518
31.jpeg,0,0.4866,0.24173,-0.48914,0.99901,0.49944,0.22362,-0.4666,0.99584,0.50799,0.22618,-0.46674,0.99519,0.51632,0.22916,-0.46684,0.9946,0.48251,0.22006,-0.45809,0.99486,0.47795,0.21976,-0.45812,0.994,0.47325,0.21982,-0.45825,0.99331,0.53106,0.24563,-0.33595,0.9962,0.47375,0.23391,-0.29201,0.99384,0.50071,0.27269,-0.44168,0.99964,0.47842,0.26686,-0.42872,0.99935,0.60151,0.36686,-0.25367,0.99981,0.42204,0.37809,-0.20359,0.9977,0.6553,0.51074,-0.30443,0.99349,0.39051,0.54557,-0.18693,0.91095,0.60677,0.59502,-0.47308,0.91425,0.36519,0.68391,-0.33379,0.65776,0.58942,0.63519,-0.5236,0.81452,0.36008,0.72553,-0.37785,0.56571,0.5728,0.61804,-0.53271,0.80926,0.3691,0.72949,-0.41526,0.56566,0.57658,0.59401,-0.47704,0.79869,0.37833,0.71262,-0.35189,0.5839,0.53345,0.64728,-0.0148,0.99894,0.44047,0.63064,0.01503,0.99748,0.56133,0.82004,-0.27443,0.24114,0.39406,0.77288,-0.2554,0.35481,0.53572,0.95302,0.11732,0.10133,0.42783,0.89745,0.13989,0.21502,0.52317,0.97102,0.14779,0.18203,0.44428,0.91898,0.17325,0.36726,0.55367,1.03569,0.0151,0.07755,0.39769,0.97235,0.05457,0.18671
89.jpeg,0,0.74937,0.50336,-0.43673,0.99996,0.75695,0.49584,-0.41895,0.99984,0.76191,0.49578,-0.41902,0.99984,0.76648,0.49587,-0.41907,0.99984,0.74354,0.49746,-0.41295,0.99983,0.73933,0.49839,-0.41299,0.99981,0.73522,0.49944,-0.41309,0.99984,0.7789,0.50187,-0.28112,0.99966,0.73422,0.50545,-0.25375,0.99978,0.76222,0.51243,-0.38283,0.99997,0.74515,0.51435,-0.37499,0.99996,0.81827,0.54949,-0.17508,0.99996,0.6987,0.54748,-0.13756,0.99996,0.84334,0.60331,-0.14102,0.97305,0.66999,0.60292,-0.04957,0.98491,0.84712,0.66184,-0.31579,0.91673,0.6664,0.6556,-0.16489,0.9822,0.85283,0.67809,-0.35597,0.86385,0.66147,0.66985,-0.20125,0.96298,0.84686,0.67869,-0.39785,0.8721,0.66783,0.66883,-0.24225,0.96512,0.84211,0.67408,-0.33566,0.85953,0.6724,0.66413,-0.183,0.95861,0.77617,0.67505,-0.01688,0.9999,0.71441,0.6704,0.01676,0.99979,0.7653,0.76565,-0.06651,0.95359,0.70728,0.75472,-0.00764,0.95092,0.74546,0.84447,0.18432,0.95514,0.7536,0.80048,0.42076,0.72047,0.74091,0.85124,0.20127,0.73263,0.76266,0.80365,0.45955,0.51983,0.74245,0.8762,0.0385,0.94477,0.74678,0.83785,0.35207,0.78837
