count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.29976,0.40767,-0.12139,0.9983,0.30281,0.39732,-0.12466,0.99827,0.30469,0.39601,-0.12472,0.99824,0.30667,0.39471,-0.12477,0.99868,0.29948,0.39956,-0.10368,0.99759,0.29898,0.39989,-0.10368,0.99667,0.29854,0.40019,-0.10368,0.99723,0.31508,0.39497,-0.11157,0.99843,0.30422,0.40018,-0.0174,0.99212,0.30554,0.41358,-0.11448,0.99785,0.30122,0.41503,-0.08732,0.99563,0.33022,0.43582,-0.16289,0.99996,0.31711,0.44762,0.09545,0.99812,0.32146,0.5044,-0.21841,0.99524,0.31596,0.51161,0.14636,0.05568,0.31064,0.5689,-0.25165,0.98287,0.30953,0.56448,0.08321,0.08627,0.30727,0.58821,-0.28135,0.96323,0.30729,0.58017,0.08241,0.09749,0.30383,0.58871,-0.27665,0.96111,0.30526,0.58154,0.05295,0.09758,0.30612,0.58241,-0.24961,0.93308,0.30803,0.57715,0.06901,0.10211,0.32949,0.55691,-0.08438,0.9989,0.32188,0.56234,0.08444,0.99686,0.33428,0.65782,-0.13353,0.67543,0.32644,0.65801,0.02477,0.11125,0.34699,0.75338,-0.12178,0.74529,0.33187,0.7452,0.05874,0.14028,0.35298,0.76815,-0.12389,0.73378,0.341,0.76069,0.05867,0.26016,0.32727,0.78887,-0.20791,0.78696,0.30395,0.77752,-0.00794,0.30786,not
2,0.30029,0.40796,-0.06165,0.99846,0.30312,0.39776,-0.06072,0.99843,0.30516,0.39643,-0.06081,0.99841,0.30727,0.39514,-0.0609,0.9988,0.2995,0.40027,-0.04121,0.99782,0.29898,0.40078,-0.04117,0.99698,0.29846,0.40125,-0.04117,0.99749,0.31552,0.39517,-0.03853,0.99857,0.30405,0.40132,0.05008,0.99287,0.30691,0.41359,-0.05203,0.99804,0.30196,0.41532,-0.02658,0.99601,0.33061,0.43593,-0.10057,0.99996,0.31706,0.44777,0.15681,0.99821,0.32301,0.5037,-0.15068,0.99509,0.31584,0.51763,0.19729,0.0562,0.31064,0.56668,-0.17514,0.98156,0.30784,0.56459,0.13459,0.08719,0.30736,0.58599,-0.20075,0.96108,0.30554,0.58018,0.13275,0.09895,0.30419,0.58672,-0.19993,0.95879,0.30486,0.58154,0.10862,0.09897,0.30623,0.57974,-0.17439,0.93,0.30696,0.57716,0.12207,0.10335,0.32845,0.55845,-0.08555,0.99893,0.32119,0.56296,0.0856,0.99685,0.33424,0.65898,-0.12461,0.68538,0.32365,0.65759,0.05588,0.11689,0.34809,0.75448,-0.12184,0.74487,0.33524,0.74422,0.06926,0.14141,0.36143,0.77256,-0.12426,0.73426,0.34529,0.76009,0.06808,0.2655,0.32216,0.79166,-0.20279,0.78438,0.30925,0.7708,0.01564,0.30809,not
3,0.30058,0.40803,-0.04509,0.9986,0.30334,0.39789,-0.0456,0.99857,0.30541,0.39656,-0.04569,0.99856,0.30752,0.39527,-0.04578,0.99891,0.29956,0.40053,-0.02558,0.99802,0.29899,0.40112,-0.02554,0.99726,0.29846,0.40166,-0.02554,0.99772,0.31554,0.39531,-0.02815,0.99871,0.30401,0.40189,0.06264,0.99355,0.30757,0.41351,-0.03692,0.99822,0.30249,0.41534,-0.01086,0.99637,0.33061,0.43594,-0.09111,0.99997,0.31708,0.44771,0.16661,0.99831,0.32309,0.50367,-0.14614,0.99479,0.31583,0.51938,0.20821,0.0561,0.31043,0.56497,-0.17704,0.97925,0.30765,0.56459,0.14673,0.08578,0.30735,0.58441,-0.20323,0.95763,0.3032,0.58477,0.14494,0.09802,0.30434,0.58525,-0.20236,0.95507,0.30487,0.58136,0.12045,0.09802,0.30625,0.5779,-0.17646,0.92507,0.30688,0.57602,0.13399,0.10234,0.32761,0.55972,-0.08594,0.99896,0.32109,0.56322,0.086,0.99686,0.33413,0.66049,-0.1189,0.69179,0.32382,0.65831,0.05807,0.12208,0.34793,0.75949,-0.11971,0.74128,0.33753,0.74508,0.07189,0.14173,0.36128,0.7788,-0.12258,0.73493,0.34776,0.76123,0.07078,0.27013,0.31896,0.79698,-0.19816,0.77829,0.31238,0.77148,0.01776,0.306,not
4,0.30062,0.4086,-0.06544,0.99869,0.30334,0.39855,-0.06764,0.99868,0.30541,0.39726,-0.06772,0.99866,0.30751,0.396,-0.0678,0.99899,0.29958,0.40108,-0.04707,0.99817,0.29901,0.40163,-0.04704,0.99746,0.2985,0.40212,-0.04704,0.99788,0.31548,0.39588,-0.05292,0.99881,0.30418,0.40224,0.04035,0.99406,0.30769,0.41376,-0.05781,0.99834,0.30289,0.4156,-0.031,0.99662,0.32999,0.43606,-0.1109,0.99997,0.31804,0.44692,0.14858,0.99834,0.32196,0.50388,-0.15863,0.99423,0.3158,0.51866,0.18932,0.05524,0.30954,0.56484,-0.18065,0.97617,0.30771,0.56379,0.1263,0.08302,0.30684,0.58428,-0.20663,0.95307,0.30267,0.5848,0.12479,0.0956,0.30423,0.58518,-0.20518,0.95024,0.30489,0.58129,0.09905,0.09559,0.30608,0.57778,-0.17975,0.91857,0.30686,0.57559,0.11311,0.0999,0.32726,0.56038,-0.08683,0.99889,0.32111,0.56325,0.0869,0.99653,0.33415,0.66137,-0.11106,0.69934,0.32394,0.65924,0.07078,0.12609,0.3481,0.76052,-0.10262,0.74274,0.34024,0.74505,0.09437,0.14116,0.36369,0.77834,-0.10484,0.7385,0.35041,0.76076,0.09418,0.27329,0.3199,0.79853,-0.18216,0.77524,0.31847,0.7716,0.04057,0.30221,not
5,0.30062,0.40882,-0.06354,0.9988,0.30334,0.39888,-0.06559,0.99878,0.3054,0.39761,-0.06567,0.99877,0.3075,0.39637,-0.06575,0.99907,0.29958,0.40135,-0.0449,0.99832,0.29902,0.40189,-0.04487,0.99767,0.2985,0.40236,-0.04487,0.99805,0.3155,0.39624,-0.05167,0.99891,0.30424,0.40245,0.04209,0.99457,0.30769,0.4139,-0.0563,0.99847,0.30297,0.41572,-0.02935,0.99689,0.32995,0.4365,-0.11094,0.99997,0.31806,0.44693,0.1494,0.99841,0.3219,0.50429,-0.15743,0.99395,0.31538,0.51895,0.18935,0.05556,0.30895,0.56522,-0.17672,0.9747,0.30736,0.56507,0.12501,0.08305,0.30559,0.58447,-0.20261,0.95083,0.30183,0.58745,0.12308,0.09618,0.3031,0.58519,-0.20125,0.94786,0.30449,0.58159,0.09772,0.09614,0.3054,0.5779,-0.1757,0.91542,0.30647,0.57657,0.11196,0.10042,0.32716,0.5613,-0.08715,0.99886,0.3211,0.56411,0.08721,0.99635,0.33427,0.66196,-0.1107,0.70564,0.32457,0.65978,0.06746,0.13061,0.34826,0.76157,-0.10362,0.74382,0.34242,0.74559,0.08972,0.14241,0.36314,0.7807,-0.10622,0.74193,0.35251,0.76123,0.08937,0.27965,0.3188,0.79982,-0.18467,0.77318,0.31967,0.77186,0.03541,0.303,not
6,0.30066,0.40892,-0.07437,0.99889,0.30336,0.399,-0.07621,0.99888,0.30543,0.39772,-0.07628,0.99887,0.30754,0.39645,-0.07635,0.99915,0.29959,0.40152,-0.05565,0.99845,0.29902,0.40207,-0.05563,0.99786,0.2985,0.40254,-0.05564,0.99821,0.31555,0.39627,-0.06002,0.99901,0.30427,0.40254,0.03198,0.99503,0.30778,0.41391,-0.06695,0.9986,0.30308,0.41577,-0.04015,0.99714,0.33006,0.43654,-0.1194,0.99997,0.31805,0.44683,0.1407,0.99848,0.32249,0.50459,-0.16709,0.994,0.31544,0.51632,0.18723,0.05722,0.30895,0.56593,-0.18658,0.9749,0.30701,0.56523,0.11823,0.086,0.30561,0.58459,-0.21284,0.95117,0.30208,0.58568,0.11475,0.09977,0.30311,0.58528,-0.21101,0.94826,0.30426,0.5818,0.09091,0.09976,0.30533,0.5784,-0.18524,0.91615,0.30606,0.57657,0.10592,0.10393,0.32649,0.56115,-0.08747,0.99885,0.32109,0.56403,0.08753,0.99629,0.33425,0.66187,-0.1061,0.71129,0.32708,0.65976,0.07146,0.13249,0.34826,0.76266,-0.09318,0.74863,0.34504,0.74772,0.09764,0.14523,0.36302,0.7806,-0.09502,0.74954,0.35487,0.76339,0.09775,0.28637,0.31886,0.79988,-0.17186,0.7749,0.32188,0.77247,0.04312,0.30553,not
7,0.3013,0.40936,-0.07829,0.99898,0.30371,0.39955,-0.08016,0.99897,0.3058,0.3982,-0.08023,0.99896,0.30793,0.39686,-0.08031,0.99921,0.29987,0.40214,-0.05985,0.99858,0.29924,0.4027,-0.05983,0.99803,0.29865,0.40317,-0.05983,0.99835,0.31576,0.39648,-0.0627,0.99909,0.30434,0.40313,0.02793,0.99544,0.30849,0.41415,-0.07003,0.9987,0.30365,0.41607,-0.04376,0.99736,0.33008,0.4366,-0.11671,0.99997,0.31816,0.44667,0.13681,0.99854,0.3225,0.50506,-0.15675,0.99382,0.31544,0.51476,0.18623,0.05898,0.3088,0.56703,-0.17349,0.97398,0.3061,0.56547,0.11411,0.08786,0.30545,0.58516,-0.19865,0.94984,0.30188,0.58497,0.11027,0.10207,0.30293,0.58598,-0.19787,0.94695,0.30222,0.58245,0.08743,0.10205,0.30507,0.57945,-0.1726,0.91445,0.30502,0.57728,0.10231,0.10618,0.3261,0.56107,-0.08742,0.99882,0.32109,0.5638,0.08748,0.99616,0.33423,0.66177,-0.10482,0.71495,0.32802,0.65991,0.07195,0.13434,0.34828,0.76313,-0.09205,0.75058,0.34491,0.74783,0.09734,0.14697,0.36299,0.78033,-0.09392,0.75532,0.35481,0.76365,0.09737,0.29217,0.31865,0.79927,-0.17005,0.77436,0.32058,0.77222,0.04339,0.30634,not
8,0.30142,0.40996,-0.08444,0.99904,0.30372,0.40034,-0.08644,0.99904,0.30581,0.39899,-0.08652,0.99903,0.30796,0.39759,-0.0866,0.99926,0.29988,0.40279,-0.06647,0.99867,0.29924,0.40329,-0.06644,0.99816,0.29865,0.4037,-0.06644,0.99845,0.31578,0.39678,-0.06591,0.99916,0.30434,0.40349,0.024,0.99578,0.30864,0.41467,-0.07448,0.99879,0.30379,0.4165,-0.04842,0.99753,0.33044,0.43661,-0.12027,0.99998,0.31805,0.44668,0.13522,0.99858,0.32293,0.5052,-0.16236,0.99362,0.31524,0.51375,0.17886,0.06027,0.3089,0.56681,-0.18244,0.97276,0.3053,0.56493,0.10656,0.08924,0.30547,0.58521,-0.20846,0.94805,0.30061,0.58406,0.10255,0.10371,0.30293,0.58604,-0.20805,0.94517,0.30084,0.58267,0.0782,0.10374,0.30506,0.57946,-0.18182,0.91187,0.30406,0.57727,0.09401,0.10787,0.32615,0.56093,-0.08757,0.99879,0.32093,0.56353,0.08763,0.99599,0.33428,0.66167,-0.10777,0.72137,0.32793,0.65981,0.07123,0.13773,0.34829,0.7627,-0.09632,0.75607,0.34383,0.74777,0.09551,0.15051,0.36311,0.78035,-0.09847,0.76001,0.35365,0.76356,0.0953,0.29935,0.3169,0.7988,-0.17667,0.77743,0.31947,0.7714,0.04077,0.31157,not
9,0.30141,0.41038,-0.08458,0.99909,0.30366,0.40072,-0.0867,0.99909,0.30575,0.39934,-0.08677,0.99909,0.3079,0.39792,-0.08685,0.9993,0.29983,0.4032,-0.06664,0.99875,0.29918,0.40369,-0.06661,0.99826,0.29858,0.40409,-0.06661,0.99853,0.31554,0.39706,-0.06768,0.99921,0.30418,0.40387,0.02313,0.99607,0.30865,0.415,-0.07507,0.99886,0.30383,0.41687,-0.04883,0.99767,0.33019,0.43706,-0.12029,0.99998,0.31828,0.44662,0.13379,0.99861,0.32289,0.50576,-0.16008,0.99317,0.31526,0.51324,0.17848,0.05937,0.30935,0.56761,-0.17867,0.97023,0.30539,0.5648,0.10641,0.08745,0.30584,0.5858,-0.20391,0.94444,0.29949,0.5846,0.10283,0.10219,0.30312,0.58628,-0.20457,0.94145,0.30049,0.58287,0.07784,0.10228,0.30522,0.58009,-0.17847,0.90666,0.30404,0.57727,0.09357,0.1065,0.32618,0.56086,-0.08759,0.99877,0.32103,0.56321,0.08765,0.9959,0.33442,0.66165,-0.10981,0.73065,0.32809,0.65979,0.07052,0.14267,0.34865,0.76285,-0.09893,0.76313,0.34359,0.74779,0.09446,0.1558,0.36382,0.78074,-0.10115,0.76674,0.35376,0.76395,0.09411,0.3082,0.31718,0.79851,-0.17976,0.78193,0.31872,0.77134,0.03933,0.31882,not
10,0.29685,0.41098,-0.05576,0.99884,0.29873,0.40212,-0.06862,0.99892,0.30019,0.40114,-0.06866,0.99895,0.30173,0.40014,-0.06871,0.9992,0.29687,0.40369,-0.04368,0.99835,0.29688,0.40397,-0.04366,0.99779,0.29688,0.4042,-0.04368,0.99813,0.31036,0.39918,-0.09045,0.99917,0.30345,0.40388,0.02242,0.99559,0.30409,0.41614,-0.0631,0.99882,0.30132,0.41721,-0.03065,0.9975,0.32761,0.43838,-0.15302,0.99998,0.32056,0.44561,0.11147,0.99863,0.3218,0.50829,-0.20223,0.99324,0.31592,0.51315,0.15328,0.05734,0.30922,0.57022,-0.21893,0.97077,0.30642,0.56541,0.09867,0.08385,0.30562,0.58832,-0.24703,0.94558,0.29982,0.58586,0.09862,0.09839,0.30295,0.58876,-0.24364,0.94253,0.30089,0.58296,0.07094,0.09848,0.30514,0.58245,-0.21728,0.90768,0.30405,0.57787,0.08477,0.10295,0.32591,0.56115,-0.08764,0.9988,0.32145,0.56316,0.0877,0.99585,0.33442,0.66164,-0.11328,0.743,0.32757,0.65895,0.08876,0.14332,0.34888,0.76296,-0.10608,0.77441,0.34327,0.74652,0.12548,0.15638,0.36438,0.78104,-0.10887,0.77633,0.35366,0.76198,0.12637,0.31064,0.31739,0.80154,-0.18978,0.79041,0.31841,0.77133,0.07521,0.32249,not
