count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.43284,0.40276,-0.16185,0.97795,0.43567,0.39405,-0.16757,0.97738,0.43764,0.39341,-0.16762,0.97804,0.43984,0.39276,-0.16769,0.97972,0.43269,0.39478,-0.14821,0.97604,0.43235,0.39471,-0.14824,0.98123,0.43208,0.39463,-0.14829,0.98351,0.44874,0.39573,-0.1575,0.97519,0.43729,0.39754,-0.06995,0.96678,0.43877,0.41021,-0.15558,0.98128,0.43397,0.41029,-0.13033,0.97425,0.47042,0.44026,-0.18173,0.98887,0.4372,0.4497,0.02876,0.99643,0.47041,0.50945,-0.21072,0.85044,0.43678,0.5148,0.07415,0.3093,0.45629,0.56961,-0.24553,0.67018,0.4266,0.56959,0.00305,0.28919,0.45396,0.58447,-0.27311,0.61251,0.42278,0.5868,-0.00226,0.25993,0.44897,0.58031,-0.27495,0.61456,0.42013,0.58754,-0.03163,0.27217,0.44959,0.57473,-0.24636,0.57026,0.4251,0.58124,-0.01096,0.27864,0.46316,0.56576,-0.07644,0.90986,0.44716,0.57017,0.07648,0.93733,0.45867,0.6665,-0.0935,0.86605,0.45623,0.66808,0.08361,0.22485,0.46493,0.76485,-0.04511,0.90693,0.46367,0.76513,0.13662,0.33055,0.47029,0.77943,-0.04407,0.85814,0.4702,0.77688,0.13822,0.40157,0.44385,0.78571,-0.12177,0.8877,0.43611,0.7819,0.07581,0.40328,not
3,0.43234,0.40255,-0.13448,0.98003,0.43564,0.39354,-0.14069,0.9795,0.43764,0.39276,-0.14075,0.98011,0.43986,0.39202,-0.14082,0.98163,0.43219,0.3946,-0.1189,0.97824,0.43157,0.39459,-0.1189,0.98288,0.43095,0.39456,-0.11893,0.98494,0.44892,0.39541,-0.13781,0.97756,0.43634,0.3973,-0.0383,0.96961,0.43855,0.41001,-0.13127,0.98307,0.43354,0.41028,-0.10256,0.97664,0.4707,0.44026,-0.17094,0.98998,0.43629,0.45013,0.05817,0.99671,0.4704,0.50973,-0.20839,0.86464,0.4337,0.51479,0.1093,0.29558,0.45493,0.57284,-0.23876,0.69871,0.42481,0.57026,0.03873,0.29121,0.45261,0.58982,-0.26743,0.6434,0.41878,0.58913,0.03347,0.26583,0.44612,0.58585,-0.2686,0.64504,0.41879,0.5899,0.00329,0.27719,0.44669,0.5795,-0.23883,0.60114,0.42343,0.58303,0.02425,0.28323,0.46316,0.56574,-0.07931,0.91875,0.4452,0.57024,0.0794,0.9433,0.4589,0.66628,-0.11395,0.86916,0.45473,0.66674,0.08358,0.22926,0.46581,0.76487,-0.08318,0.90899,0.46297,0.76495,0.14024,0.33569,0.47533,0.77938,-0.08413,0.86291,0.46788,0.77146,0.14236,0.41161,0.44388,0.79532,-0.16216,0.88908,0.43547,0.78018,0.0827,0.41662,not
4,0.43168,0.40233,-0.12632,0.98187,0.43547,0.39318,-0.13411,0.98137,0.43754,0.39234,-0.13418,0.98194,0.43979,0.39153,-0.13425,0.98334,0.43174,0.39442,-0.11172,0.98014,0.43103,0.39444,-0.11173,0.98429,0.4303,0.39444,-0.11176,0.98616,0.44892,0.39513,-0.13734,0.9797,0.43589,0.39712,-0.03566,0.97211,0.43812,0.40977,-0.1254,0.98468,0.43307,0.41021,-0.09598,0.97877,0.47097,0.44027,-0.17191,0.99098,0.43576,0.45053,0.05912,0.99698,0.4704,0.51,-0.20842,0.87741,0.43259,0.5149,0.11007,0.28399,0.4552,0.57561,-0.2384,0.72442,0.42369,0.57108,0.04109,0.29404,0.45333,0.59316,-0.26719,0.6714,0.4174,0.59059,0.03603,0.27184,0.44618,0.58956,-0.26856,0.67258,0.41818,0.59144,0.00576,0.28245,0.44688,0.58296,-0.23852,0.62925,0.42257,0.58439,0.02656,0.28853,0.46336,0.5657,-0.08043,0.92676,0.4447,0.57031,0.08055,0.94867,0.45924,0.66628,-0.1198,0.87023,0.45428,0.66633,0.07708,0.22904,0.46638,0.76579,-0.09019,0.9093,0.46292,0.76495,0.13269,0.33381,0.47719,0.78013,-0.09131,0.86613,0.46703,0.77129,0.13456,0.41518,0.44394,0.79879,-0.16974,0.88834,0.43526,0.78028,0.07432,0.42195,not
5,0.43101,0.40221,-0.1168,0.98354,0.43507,0.39308,-0.12533,0.98308,0.43716,0.39224,-0.1254,0.98362,0.43942,0.39144,-0.12547,0.98489,0.43124,0.39434,-0.10265,0.9819,0.43051,0.39437,-0.10266,0.9856,0.42976,0.39439,-0.1027,0.9873,0.44878,0.39512,-0.13286,0.98163,0.43541,0.39709,-0.02957,0.97441,0.43747,0.40968,-0.11743,0.98614,0.43253,0.41016,-0.08761,0.98071,0.47118,0.44048,-0.16963,0.99188,0.4353,0.45114,0.06119,0.99722,0.47041,0.51031,-0.2076,0.88899,0.43216,0.51514,0.11106,0.27448,0.45968,0.57541,-0.23563,0.74807,0.42262,0.57172,0.04389,0.29812,0.45795,0.59213,-0.26417,0.69741,0.41644,0.59148,0.03899,0.27806,0.45113,0.58915,-0.26575,0.69819,0.4176,0.59231,0.00888,0.28806,0.44746,0.58505,-0.23572,0.65559,0.42184,0.58525,0.02941,0.29423,0.4635,0.5657,-0.08076,0.93399,0.44448,0.57065,0.08088,0.95355,0.4594,0.66628,-0.12765,0.87241,0.45392,0.66619,0.07579,0.22831,0.4669,0.7663,-0.1043,0.91039,0.46271,0.76498,0.1319,0.33201,0.47765,0.78159,-0.10613,0.86878,0.4663,0.77168,0.13378,0.41893,0.4439,0.80019,-0.18585,0.88869,0.43247,0.77973,0.07343,0.42819,not
6,0.42989,0.40217,-0.10273,0.98502,0.43413,0.39308,-0.11302,0.98458,0.43617,0.39225,-0.11308,0.98509,0.43832,0.39145,-0.11314,0.98626,0.4305,0.39433,-0.0893,0.98342,0.42988,0.39436,-0.0893,0.98673,0.42923,0.39437,-0.08935,0.98829,0.44799,0.39511,-0.12804,0.98334,0.43521,0.39704,-0.02018,0.97641,0.43632,0.4096,-0.10608,0.98743,0.43176,0.4101,-0.07489,0.9824,0.47117,0.44042,-0.16799,0.99269,0.43523,0.45136,0.0655,0.99743,0.47015,0.51031,-0.2075,0.89917,0.43221,0.5152,0.11297,0.26281,0.45682,0.57508,-0.23452,0.76859,0.42259,0.57186,0.04776,0.29608,0.45507,0.59186,-0.2632,0.71985,0.41629,0.59167,0.04369,0.27857,0.44786,0.5885,-0.26381,0.72023,0.41745,0.59243,0.0135,0.28803,0.44632,0.58397,-0.23431,0.67764,0.42174,0.58536,0.03325,0.29454,0.46356,0.5657,-0.0811,0.94047,0.44447,0.57068,0.08122,0.95789,0.45937,0.66605,-0.12195,0.87573,0.4537,0.66566,0.07981,0.22924,0.4669,0.76626,-0.09598,0.91257,0.46183,0.76446,0.13551,0.33305,0.47713,0.78158,-0.09741,0.8726,0.4652,0.77029,0.1375,0.42432,0.44269,0.79964,-0.17504,0.89039,0.4327,0.77975,0.08098,0.4371,not
7,0.42908,0.40214,-0.0876,0.98634,0.43347,0.39308,-0.09828,0.98592,0.43549,0.39225,-0.09834,0.98641,0.43761,0.39146,-0.0984,0.98748,0.42997,0.39432,-0.07419,0.98479,0.42943,0.39434,-0.07419,0.98774,0.42887,0.39435,-0.07423,0.98918,0.44747,0.39511,-0.11687,0.98488,0.43513,0.39695,-0.00704,0.97823,0.43547,0.40954,-0.09234,0.98859,0.43111,0.41003,-0.06064,0.98393,0.47105,0.44021,-0.16046,0.99341,0.43519,0.4515,0.07444,0.99762,0.47016,0.51031,-0.20335,0.90828,0.43237,0.51523,0.11942,0.25069,0.45659,0.57477,-0.23025,0.78659,0.42269,0.57193,0.05494,0.29108,0.45498,0.59146,-0.25885,0.73934,0.4164,0.59173,0.0511,0.27614,0.44771,0.58803,-0.2587,0.73925,0.41747,0.59246,0.02123,0.28498,0.44649,0.58351,-0.22988,0.69634,0.42178,0.58543,0.04042,0.29178,0.46355,0.56567,-0.08101,0.94631,0.44428,0.57072,0.08112,0.96178,0.45941,0.66535,-0.1205,0.87952,0.45336,0.66464,0.08459,0.23221,0.46732,0.76534,-0.09808,0.91445,0.46124,0.76339,0.14077,0.33307,0.47682,0.78066,-0.09988,0.87609,0.46402,0.76665,0.1429,0.42814,0.44187,0.79838,-0.17742,0.89199,0.43284,0.77738,0.08874,0.44467,not
8,0.42826,0.40213,-0.09287,0.98753,0.43277,0.39308,-0.10488,0.98714,0.43475,0.39225,-0.10493,0.9876,0.43683,0.39146,-0.10498,0.98859,0.4295,0.39432,-0.08012,0.98602,0.42908,0.39434,-0.08012,0.98867,0.42863,0.39434,-0.08016,0.98998,0.44698,0.39511,-0.12578,0.98627,0.43513,0.39688,-0.01527,0.97986,0.43464,0.40954,-0.09913,0.98963,0.43054,0.41001,-0.06666,0.98529,0.47069,0.44021,-0.16649,0.99407,0.43521,0.45158,0.06676,0.99779,0.47015,0.51037,-0.21367,0.91664,0.43249,0.51522,0.11227,0.2387,0.45996,0.57369,-0.23308,0.80424,0.4227,0.57195,0.05077,0.28629,0.45499,0.59296,-0.26205,0.75892,0.41667,0.59165,0.04819,0.27373,0.44771,0.58946,-0.26,0.75847,0.41742,0.5924,0.01813,0.28211,0.44656,0.58385,-0.23074,0.71595,0.42171,0.5854,0.03635,0.28925,0.46355,0.56566,-0.0811,0.95157,0.4443,0.57078,0.0812,0.96529,0.45948,0.665,-0.11545,0.88431,0.4534,0.66439,0.09359,0.23607,0.46732,0.76395,-0.09074,0.91792,0.46113,0.76214,0.15097,0.33732,0.4766,0.77872,-0.09161,0.88115,0.46397,0.76489,0.15345,0.43415,0.44297,0.79374,-0.16992,0.89532,0.4329,0.77615,0.10251,0.45565,not
9,0.42784,0.40218,-0.09796,0.98858,0.43232,0.39314,-0.1099,0.98819,0.43427,0.39231,-0.10994,0.98865,0.43634,0.39151,-0.11,0.98956,0.42922,0.39436,-0.0854,0.98708,0.42887,0.39436,-0.08541,0.98945,0.42849,0.39435,-0.08545,0.99066,0.44665,0.39511,-0.12947,0.98749,0.43511,0.39684,-0.02016,0.98128,0.43422,0.40957,-0.10362,0.99055,0.43029,0.41006,-0.07147,0.9865,0.47069,0.44022,-0.16826,0.99466,0.43523,0.45165,0.06256,0.99795,0.47015,0.51044,-0.21457,0.92403,0.43256,0.51522,0.10856,0.22961,0.4616,0.57312,-0.23557,0.81951,0.42256,0.57208,0.04579,0.2847,0.45508,0.59356,-0.26475,0.77566,0.41681,0.59166,0.0427,0.274,0.44778,0.58994,-0.26172,0.77488,0.41744,0.59239,0.01265,0.28203,0.44676,0.58388,-0.23316,0.7325,0.42169,0.58541,0.03141,0.28946,0.46354,0.56574,-0.08074,0.95628,0.44399,0.57081,0.08085,0.96845,0.45969,0.665,-0.10752,0.88864,0.45344,0.6644,0.09243,0.24305,0.46733,0.76328,-0.0767,0.92085,0.46112,0.76163,0.14877,0.34563,0.47655,0.77766,-0.07727,0.88545,0.46332,0.7652,0.15112,0.44218,0.44426,0.79085,-0.1498,0.89803,0.4338,0.77602,0.09554,0.46857,not
10,0.42773,0.40206,-0.10619,0.9895,0.43221,0.39298,-0.11525,0.98912,0.43415,0.39215,-0.11531,0.98957,0.43621,0.39137,-0.11536,0.99041,0.42916,0.39418,-0.09287,0.98799,0.42883,0.39417,-0.09288,0.9901,0.42847,0.39415,-0.09292,0.99123,0.44656,0.39482,-0.13948,0.98858,0.43512,0.39656,-0.0222,0.98246,0.43408,0.40945,-0.1062,0.99137,0.43019,0.40995,-0.07783,0.98756,0.47096,0.44053,-0.17808,0.99519,0.43524,0.45166,0.05447,0.99808,0.47015,0.51063,-0.2199,0.9306,0.43253,0.5152,0.09963,0.22201,0.46211,0.57261,-0.24151,0.83228,0.42251,0.5722,0.04065,0.28276,0.4555,0.59396,-0.27038,0.78928,0.41692,0.59161,0.03847,0.27347,0.44825,0.59035,-0.26842,0.78819,0.41746,0.59235,0.00814,0.2813,0.44747,0.58408,-0.24012,0.74557,0.42171,0.5854,0.02629,0.2892,0.46355,0.56574,-0.08073,0.96052,0.44389,0.57074,0.08083,0.97127,0.45972,0.66495,-0.10706,0.89111,0.45346,0.66442,0.08568,0.2451,0.46739,0.76258,-0.07202,0.923,0.46107,0.76122,0.13989,0.35068,0.47379,0.77604,-0.07221,0.88823,0.46281,0.7657,0.14197,0.44822,0.44494,0.78929,-0.14415,0.89955,0.43461,0.77605,0.08779,0.47819,not
11,0.42733,0.40202,-0.10638,0.99033,0.43163,0.39293,-0.11758,0.98997,0.43349,0.39209,-0.11763,0.99041,0.43548,0.39129,-0.11768,0.99119,0.42886,0.39413,-0.0938,0.98884,0.42863,0.3941,-0.09381,0.99074,0.42838,0.39407,-0.09385,0.99178,0.44597,0.39447,-0.14026,0.98955,0.43513,0.39632,-0.0259,0.98363,0.43366,0.4093,-0.11005,0.9921,0.43002,0.40983,-0.07946,0.98852,0.47108,0.44052,-0.17845,0.99566,0.43524,0.45159,0.05165,0.9982,0.47015,0.51066,-0.21883,0.93633,0.43248,0.51512,0.0954,0.21648,0.46213,0.57017,-0.24302,0.84325,0.42229,0.57219,0.0381,0.28223,0.4558,0.59368,-0.27191,0.80075,0.4169,0.59158,0.03705,0.27403,0.44872,0.59007,-0.27031,0.7994,0.41743,0.59232,0.00717,0.28167,0.44811,0.58389,-0.24203,0.75631,0.42167,0.58537,0.02408,0.2899,0.46354,0.56569,-0.08026,0.96429,0.44381,0.57038,0.08035,0.97373,0.45972,0.66482,-0.10284,0.89241,0.45348,0.6644,0.09071,0.24508,0.46739,0.76179,-0.06613,0.92412,0.46095,0.76047,0.14818,0.35035,0.47199,0.77478,-0.06625,0.89062,0.46243,0.76515,0.15069,0.44946,0.44561,0.7879,-0.13768,0.89951,0.4354,0.77555,0.09824,0.48108,not
