count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.44707,0.26073,-0.35997,0.99623,0.45075,0.25095,-0.34021,0.99543,0.45322,0.25096,-0.34024,0.99572,0.45531,0.25114,-0.3403,0.99612,0.44257,0.25131,-0.34607,0.99441,0.43951,0.25174,-0.34616,0.99476,0.43691,0.25235,-0.34624,0.99564,0.4595,0.25681,-0.225,0.99596,0.43291,0.25859,-0.25199,0.99299,0.45289,0.27068,-0.31669,0.99758,0.44216,0.27091,-0.32463,0.99564,0.48597,0.32567,-0.13322,0.99952,0.41184,0.33197,-0.1833,0.99944,0.49533,0.3941,-0.07122,0.90882,0.4034,0.40756,-0.15896,0.43717,0.5017,0.45607,-0.14431,0.66432,0.40701,0.47274,-0.23605,0.43426,0.50378,0.47854,-0.16671,0.59206,0.40494,0.49497,-0.26568,0.36996,0.49901,0.47883,-0.19274,0.59164,0.41298,0.49377,-0.28897,0.38496,0.49687,0.47062,-0.15708,0.52447,0.41521,0.48548,-0.24636,0.40492,0.47544,0.46628,0.00381,0.99411,0.43323,0.46966,-0.00384,0.99381,0.46813,0.57305,-0.03939,0.91697,0.44016,0.57455,-0.01936,0.45689,0.46223,0.66817,0.19254,0.93396,0.44184,0.6565,0.22287,0.55241,0.4597,0.67619,0.20899,0.85713,0.44085,0.66583,0.24127,0.58244,0.46666,0.70005,0.08795,0.90851,0.44046,0.6882,0.10754,0.64033,not
3,0.44793,0.25885,-0.31833,0.99659,0.45126,0.24894,-0.30047,0.99584,0.45359,0.24886,-0.30051,0.9961,0.45585,0.24894,-0.30056,0.99645,0.44357,0.24954,-0.30353,0.99492,0.44069,0.24993,-0.30358,0.99524,0.43791,0.25053,-0.30364,0.99603,0.45963,0.25417,-0.19247,0.99621,0.434,0.25634,-0.20627,0.9936,0.45328,0.26904,-0.27739,0.99781,0.44346,0.26947,-0.28157,0.99606,0.48581,0.3223,-0.11464,0.99952,0.4132,0.32642,-0.13429,0.99946,0.49521,0.39326,-0.06083,0.90261,0.40364,0.4007,-0.10116,0.48968,0.50075,0.45585,-0.13309,0.65027,0.40375,0.46058,-0.18054,0.47728,0.50289,0.47802,-0.15564,0.57488,0.40159,0.48222,-0.20708,0.41001,0.4984,0.47828,-0.18035,0.57628,0.40814,0.48006,-0.23552,0.42458,0.49632,0.47033,-0.14502,0.51462,0.40987,0.47179,-0.19337,0.43986,0.47511,0.46458,-0.00082,0.99462,0.43311,0.46517,0.00079,0.99428,0.46811,0.56861,-0.04547,0.92006,0.44003,0.57092,-0.02028,0.50212,0.46293,0.66383,0.1812,0.93419,0.44184,0.65535,0.21189,0.58904,0.46157,0.67112,0.19699,0.83459,0.44085,0.66507,0.22915,0.5895,0.46668,0.69623,0.07877,0.90887,0.43993,0.68762,0.10215,0.66862,not
4,0.44841,0.23958,-0.23983,0.99693,0.45168,0.23064,-0.22097,0.99623,0.45393,0.23093,-0.22105,0.99646,0.45627,0.23134,-0.22109,0.99677,0.44435,0.23076,-0.22261,0.9954,0.44156,0.23118,-0.22261,0.99569,0.43867,0.23182,-0.22268,0.99641,0.45973,0.23784,-0.11546,0.99652,0.43479,0.23872,-0.12275,0.9942,0.45347,0.25035,-0.20061,0.99802,0.44375,0.25047,-0.20274,0.99645,0.48543,0.30522,-0.05588,0.99955,0.41499,0.31185,-0.04824,0.9995,0.49613,0.37578,-0.0241,0.90407,0.40306,0.38859,-0.01252,0.53853,0.50891,0.43777,-0.13171,0.66659,0.39149,0.45469,-0.1114,0.5264,0.51417,0.45528,-0.15745,0.59035,0.38474,0.47267,-0.13909,0.46302,0.51377,0.45544,-0.18202,0.59399,0.38711,0.47348,-0.17308,0.47684,0.51003,0.44931,-0.14515,0.53729,0.39178,0.4672,-0.12714,0.48994,0.47839,0.45728,-0.00907,0.99508,0.43706,0.46088,0.00908,0.99475,0.46893,0.56961,-0.05665,0.92097,0.43767,0.57106,-0.00996,0.535,0.46246,0.66316,0.1856,0.92672,0.4419,0.6545,0.22922,0.6101,0.45999,0.67078,0.20472,0.80276,0.44254,0.66334,0.24707,0.58363,0.46509,0.69512,0.09402,0.89993,0.43691,0.68475,0.13072,0.68246,not
5,0.44843,0.22095,-0.25172,0.99723,0.45186,0.21205,-0.2336,0.9966,0.45425,0.21226,-0.23366,0.9968,0.45682,0.21259,-0.2337,0.99709,0.44454,0.21242,-0.23425,0.99585,0.44178,0.21285,-0.23424,0.99611,0.43887,0.21348,-0.23428,0.99676,0.46044,0.21988,-0.12731,0.99685,0.43554,0.2197,-0.1314,0.99476,0.45347,0.23276,-0.21231,0.99822,0.44374,0.23339,-0.21349,0.9968,0.48484,0.2888,-0.06328,0.9996,0.41599,0.29327,-0.05146,0.99953,0.49728,0.36243,-0.02833,0.91088,0.39782,0.36674,-0.013,0.5815,0.51829,0.4252,-0.13381,0.69535,0.37271,0.4211,-0.11157,0.56962,0.52703,0.4422,-0.15918,0.6225,0.3629,0.43589,-0.13699,0.5095,0.52765,0.44428,-0.18804,0.62696,0.36302,0.43692,-0.17536,0.52299,0.52306,0.43786,-0.14718,0.57487,0.36778,0.43216,-0.12974,0.53437,0.47823,0.4446,-0.00784,0.99553,0.43704,0.44733,0.00785,0.99519,0.46982,0.56385,-0.0543,0.92337,0.43658,0.56246,-0.01587,0.57025,0.46295,0.66305,0.13741,0.92809,0.44055,0.65507,0.16599,0.63719,0.45997,0.67118,0.14884,0.78959,0.44091,0.66562,0.17732,0.58134,0.46512,0.69539,0.02876,0.9016,0.43603,0.68485,0.05607,0.702,not
6,0.44885,0.21335,-0.27858,0.99751,0.45222,0.20458,-0.25984,0.99694,0.45465,0.20485,-0.25991,0.99712,0.45732,0.20515,-0.25995,0.99738,0.44504,0.20451,-0.25974,0.99627,0.44229,0.20484,-0.25972,0.9965,0.43937,0.20521,-0.25973,0.99708,0.46075,0.21136,-0.14826,0.99716,0.43593,0.21144,-0.14881,0.99528,0.45358,0.22504,-0.23703,0.99839,0.44394,0.22523,-0.23723,0.99712,0.48391,0.27742,-0.08281,0.99963,0.41599,0.28176,-0.04821,0.99957,0.50577,0.34176,-0.04246,0.91864,0.38629,0.3476,-0.00771,0.62081,0.5409,0.3989,-0.17859,0.72419,0.34377,0.3972,-0.11732,0.61059,0.55286,0.41423,-0.20883,0.65647,0.32785,0.40824,-0.13976,0.55443,0.55419,0.4168,-0.24084,0.66109,0.32698,0.40812,-0.18024,0.56731,0.5497,0.41216,-0.19505,0.61374,0.33444,0.40503,-0.13696,0.57731,0.47805,0.42731,-0.01678,0.99593,0.43722,0.431,0.0168,0.99556,0.47375,0.54715,-0.06744,0.92487,0.43516,0.55013,-0.00547,0.60068,0.46696,0.65776,0.07559,0.9297,0.43806,0.64849,0.13982,0.66292,0.46285,0.66872,0.08231,0.78249,0.4429,0.65952,0.1469,0.59052,0.46623,0.69402,-0.03502,0.90511,0.4323,0.68134,0.03439,0.72172,not
7,0.44886,0.20697,-0.2434,0.99776,0.45227,0.19811,-0.22719,0.99724,0.45466,0.19817,-0.22728,0.9974,0.45733,0.19827,-0.22732,0.99763,0.44503,0.19862,-0.22458,0.99663,0.44229,0.19895,-0.22458,0.99684,0.43939,0.19936,-0.22458,0.99736,0.46095,0.20456,-0.12815,0.99743,0.43628,0.20583,-0.11772,0.99573,0.45364,0.21781,-0.20717,0.99855,0.44405,0.21752,-0.20389,0.9974,0.48467,0.27407,-0.07582,0.99966,0.41639,0.27568,-0.03223,0.99959,0.51968,0.32898,-0.07169,0.9248,0.3772,0.32753,-0.00462,0.65673,0.56495,0.36258,-0.21518,0.74847,0.32598,0.35625,-0.11026,0.64742,0.57806,0.37113,-0.2451,0.68399,0.308,0.36306,-0.13192,0.59426,0.58102,0.36777,-0.27624,0.68939,0.30747,0.36142,-0.16854,0.60665,0.57604,0.36653,-0.23238,0.64642,0.31408,0.3602,-0.12924,0.61556,0.47822,0.42136,-0.01559,0.99626,0.43711,0.42506,0.0156,0.99588,0.47854,0.54033,-0.03601,0.92906,0.43359,0.54369,0.01183,0.63737,0.47798,0.65091,0.09932,0.93488,0.42926,0.64385,0.16423,0.69411,0.47054,0.66401,0.10537,0.79244,0.43319,0.65729,0.17301,0.61507,0.48914,0.69203,-0.01087,0.91236,0.42659,0.67963,0.06115,0.74667,not
8,0.44956,0.20402,-0.20537,0.99798,0.45287,0.19563,-0.18805,0.9975,0.4553,0.1956,-0.18813,0.99765,0.45802,0.19568,-0.18817,0.99786,0.44567,0.19652,-0.18604,0.99696,0.443,0.19698,-0.18606,0.99714,0.44014,0.19764,-0.18605,0.99761,0.46179,0.20206,-0.09225,0.99766,0.43703,0.20499,-0.0843,0.99613,0.45447,0.21484,-0.17163,0.99868,0.44548,0.21551,-0.16907,0.99765,0.48827,0.27526,-0.04983,0.99967,0.41624,0.27509,-0.02954,0.9996,0.53462,0.31259,-0.10553,0.93078,0.36892,0.30859,-0.03836,0.68968,0.58487,0.32376,-0.2735,0.77162,0.31128,0.3161,-0.20652,0.6808,0.59802,0.32184,-0.30395,0.71136,0.29314,0.31528,-0.23495,0.63019,0.59976,0.31795,-0.33264,0.71715,0.29317,0.31146,-0.25971,0.64212,0.59473,0.32076,-0.29082,0.67832,0.29888,0.31318,-0.22339,0.65011,0.47885,0.4227,-0.00269,0.99656,0.437,0.42371,0.00272,0.99623,0.48762,0.53346,0.00291,0.93429,0.42804,0.53852,-0.03602,0.67308,0.49033,0.64525,0.1036,0.94035,0.41683,0.6445,0.0822,0.7242,0.48193,0.65986,0.10653,0.80772,0.42233,0.65686,0.08767,0.64556,0.50942,0.68704,-0.00467,0.91968,0.40816,0.68018,-0.02239,0.77116,not
9,0.45076,0.21091,-0.22957,0.99818,0.4543,0.20108,-0.21005,0.99775,0.45704,0.201,-0.21011,0.99788,0.45987,0.201,-0.21014,0.99807,0.44691,0.20147,-0.21074,0.99726,0.44416,0.20181,-0.21077,0.99742,0.4413,0.20239,-0.21074,0.99784,0.46367,0.20691,-0.1065,0.99788,0.43798,0.20904,-0.11111,0.99651,0.45547,0.22259,-0.19324,0.99881,0.44648,0.22314,-0.19447,0.99788,0.49097,0.2782,-0.06191,0.99966,0.41426,0.27789,-0.06307,0.99962,0.54205,0.29244,-0.14657,0.9368,0.35962,0.285,-0.15417,0.72002,0.58858,0.2822,-0.31662,0.79275,0.30812,0.27071,-0.33539,0.71109,0.60089,0.27887,-0.34885,0.73601,0.29318,0.26833,-0.37213,0.66266,0.60246,0.27518,-0.37323,0.74204,0.29372,0.2625,-0.39029,0.67397,0.59823,0.27802,-0.33323,0.7071,0.29832,0.26476,-0.35035,0.68104,0.4812,0.42483,0.00561,0.99685,0.43724,0.42717,-0.00562,0.99658,0.49504,0.53177,0.01905,0.9398,0.42266,0.53738,-0.06046,0.70557,0.50214,0.64151,0.11977,0.94563,0.40618,0.64413,0.04845,0.75157,0.49361,0.65713,0.12336,0.82309,0.41046,0.65674,0.05221,0.67622,0.52578,0.683,0.01101,0.92676,0.39593,0.68075,-0.06358,0.79362,not
10,0.45155,0.21631,-0.22864,0.99836,0.45485,0.20682,-0.2072,0.99797,0.45746,0.2068,-0.20723,0.99809,0.46028,0.20688,-0.20726,0.99826,0.44761,0.20719,-0.20915,0.99753,0.44487,0.20753,-0.20918,0.99768,0.44199,0.20808,-0.20918,0.99806,0.46407,0.21288,-0.09861,0.99809,0.43865,0.2145,-0.10825,0.99685,0.45613,0.22749,-0.19065,0.99892,0.44697,0.22799,-0.19343,0.99809,0.49438,0.28145,-0.04621,0.9996,0.41379,0.28218,-0.06602,0.99961,0.54913,0.26986,-0.11248,0.94256,0.35888,0.27108,-0.15101,0.74764,0.58953,0.2411,-0.24561,0.81166,0.31725,0.2398,-0.31572,0.73868,0.60256,0.23093,-0.27345,0.75598,0.30346,0.23156,-0.34983,0.69176,0.60357,0.2267,-0.29718,0.76235,0.30432,0.22618,-0.36628,0.70225,0.59936,0.23096,-0.26035,0.73097,0.30822,0.22907,-0.32942,0.70843,0.48397,0.42979,0.00513,0.99711,0.43918,0.43218,-0.00513,0.99689,0.50356,0.53843,0.00922,0.94514,0.41851,0.54083,-0.04683,0.73479,0.51784,0.64541,0.10962,0.95053,0.39601,0.64493,0.08853,0.77615,0.50946,0.65886,0.11138,0.83675,0.39893,0.65748,0.09293,0.7038,0.53849,0.68491,-0.00689,0.93316,0.38365,0.68586,-0.02273,0.81361,not
11,0.45267,0.21794,-0.20406,0.99852,0.45559,0.21163,-0.1807,0.99817,0.4581,0.21215,-0.18073,0.99828,0.46087,0.21277,-0.18077,0.99843,0.44867,0.21081,-0.1841,0.99778,0.44606,0.21098,-0.18413,0.99791,0.44335,0.21125,-0.18412,0.99825,0.4648,0.22061,-0.06774,0.99828,0.43963,0.21964,-0.0837,0.99717,0.4575,0.22863,-0.1642,0.99903,0.44847,0.22862,-0.16894,0.99828,0.49454,0.28391,-0.01425,0.99952,0.41424,0.28602,-0.05051,0.99955,0.54276,0.25873,-0.03903,0.94737,0.36405,0.26433,-0.12304,0.77256,0.57963,0.21683,-0.12047,0.82841,0.32754,0.21279,-0.25438,0.76373,0.59155,0.20187,-0.14277,0.77309,0.31579,0.19886,-0.28582,0.71837,0.59037,0.19702,-0.16024,0.77954,0.31817,0.19106,-0.31113,0.72791,0.58634,0.20236,-0.1335,0.75133,0.32207,0.19602,-0.26897,0.7332,0.48572,0.43796,0.00701,0.99736,0.44017,0.43975,-0.00701,0.99716,0.51185,0.54709,0.00507,0.94976,0.41229,0.54466,-0.04236,0.7609,0.53382,0.65705,0.11181,0.9547,0.38351,0.6558,0.09021,0.79808,0.52858,0.67462,0.11475,0.84711,0.38498,0.66973,0.0946,0.72562,0.54973,0.70073,-0.0032,0.93822,0.37545,0.69844,-0.02548,0.83102,not
