count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.40045,0.22579,-0.30682,0.99982,0.40483,0.21536,-0.28965,0.99964,0.40753,0.21538,-0.2897,0.99962,0.40993,0.21554,-0.28974,0.99962,0.39611,0.21553,-0.28994,0.99963,0.39289,0.21575,-0.28997,0.99964,0.39022,0.21617,-0.29002,0.99966,0.41485,0.22178,-0.1817,0.99918,0.38638,0.22269,-0.18143,0.99948,0.40658,0.23616,-0.26622,0.99978,0.39562,0.23677,-0.26645,0.99976,0.4418,0.28665,-0.11321,0.99936,0.36312,0.29063,-0.09714,0.99953,0.44686,0.35315,-0.11212,0.93258,0.35625,0.3677,-0.07177,0.97274,0.44551,0.4134,-0.25073,0.86999,0.35037,0.42482,-0.16175,0.95252,0.44437,0.43249,-0.28731,0.81947,0.35236,0.44486,-0.1913,0.91609,0.44173,0.42903,-0.31118,0.82961,0.35739,0.44173,-0.22172,0.9215,0.43887,0.42377,-0.26375,0.82149,0.35901,0.43444,-0.17565,0.91305,0.42785,0.43798,-0.0036,0.99884,0.38367,0.4382,0.00357,0.99859,0.43137,0.5515,-0.00979,0.94449,0.38835,0.55097,0.00409,0.93703,0.43424,0.65755,0.15939,0.95649,0.39834,0.65809,0.17735,0.94459,0.43198,0.6714,0.16969,0.85165,0.40323,0.67007,0.18736,0.76295,0.43179,0.70249,0.04125,0.95281,0.39827,0.69793,0.06135,0.94613,not
2,0.39354,0.23056,-0.3308,0.99982,0.39722,0.21953,-0.31381,0.99963,0.39993,0.2193,-0.31385,0.99961,0.4027,0.21922,-0.31388,0.99961,0.38945,0.22038,-0.31244,0.99961,0.38664,0.22074,-0.31248,0.99962,0.38373,0.22122,-0.31254,0.99964,0.40864,0.22521,-0.20289,0.99916,0.3818,0.22693,-0.19629,0.99942,0.39855,0.24016,-0.28858,0.99979,0.38919,0.24132,-0.28688,0.99977,0.43731,0.2895,-0.12179,0.9994,0.36,0.29554,-0.10666,0.99954,0.44649,0.36516,-0.09103,0.93258,0.3531,0.37319,-0.05968,0.96953,0.44715,0.42495,-0.18584,0.85795,0.3514,0.4345,-0.15294,0.94326,0.44676,0.44443,-0.21557,0.80152,0.35438,0.45347,-0.18285,0.90344,0.44455,0.4445,-0.24463,0.8118,0.35951,0.45091,-0.21432,0.90952,0.44136,0.43765,-0.1982,0.80148,0.36099,0.44468,-0.1675,0.89998,0.42559,0.44359,-0.00455,0.99881,0.37933,0.44285,0.00454,0.99852,0.43002,0.55725,-0.02526,0.94643,0.38857,0.55502,-0.0139,0.93899,0.4274,0.65794,0.18064,0.95646,0.39473,0.65782,0.18028,0.94435,0.42459,0.6699,0.19397,0.83518,0.4003,0.66667,0.1934,0.7539,0.42506,0.70226,0.06415,0.95133,0.39777,0.69792,0.06164,0.94523,not
3,0.39387,0.23532,-0.33112,0.99981,0.39816,0.22452,-0.31439,0.99958,0.40127,0.22454,-0.31444,0.99956,0.40435,0.22472,-0.31447,0.99956,0.39027,0.22459,-0.31477,0.99956,0.38804,0.22475,-0.31483,0.99957,0.38559,0.22498,-0.31493,0.99961,0.40964,0.2308,-0.20513,0.99909,0.38362,0.23144,-0.20539,0.99935,0.39963,0.2455,-0.28951,0.99979,0.38954,0.246,-0.28992,0.99977,0.43731,0.29706,-0.1232,0.99939,0.35781,0.30362,-0.12037,0.99955,0.44688,0.37181,-0.08459,0.93111,0.34982,0.38059,-0.07628,0.96943,0.44438,0.43269,-0.18563,0.83878,0.35215,0.4413,-0.1739,0.93975,0.4435,0.45225,-0.21571,0.77797,0.35537,0.46039,-0.20585,0.89755,0.43947,0.4502,-0.24524,0.78804,0.36134,0.45846,-0.23588,0.90392,0.4381,0.44486,-0.19932,0.77593,0.36213,0.45079,-0.18792,0.89326,0.42408,0.45289,-0.0048,0.99863,0.3789,0.45343,0.00482,0.9984,0.42736,0.56542,-0.03032,0.95027,0.38637,0.57187,-0.01554,0.9432,0.42714,0.66344,0.17576,0.95855,0.39702,0.6734,0.16675,0.94713,0.4251,0.67432,0.18821,0.82655,0.40137,0.68615,0.17752,0.75645,0.42635,0.71006,0.05499,0.9526,0.39888,0.71895,0.04076,0.94702,not
4,0.39394,0.24853,-0.35314,0.99982,0.398,0.23776,-0.33637,0.99959,0.40098,0.23765,-0.3364,0.99957,0.40394,0.23761,-0.33641,0.99956,0.38992,0.23815,-0.33726,0.99958,0.38718,0.23833,-0.33734,0.99959,0.38479,0.23872,-0.33743,0.99962,0.4085,0.24243,-0.22572,0.99912,0.38221,0.24449,-0.2287,0.99938,0.4,0.25881,-0.31105,0.9998,0.38947,0.25999,-0.31221,0.99978,0.43781,0.30706,-0.13615,0.9994,0.35899,0.31615,-0.14217,0.99958,0.44632,0.38125,-0.08253,0.93174,0.34997,0.39256,-0.0897,0.97075,0.44641,0.44165,-0.17152,0.83205,0.35548,0.45323,-0.18775,0.94045,0.44556,0.46058,-0.19753,0.76728,0.35811,0.47299,-0.21876,0.89734,0.44145,0.45896,-0.22897,0.77676,0.36341,0.47166,-0.24748,0.9035,0.43905,0.45235,-0.18544,0.7628,0.36445,0.463,-0.20096,0.89215,0.42454,0.46298,-0.00526,0.99847,0.38053,0.46332,0.00528,0.99835,0.42532,0.57134,-0.0242,0.95376,0.38638,0.58241,-0.01224,0.94733,0.42647,0.6765,0.17044,0.96036,0.39739,0.68714,0.1549,0.94975,0.42502,0.68709,0.18072,0.81676,0.40171,0.70096,0.16406,0.75946,0.42756,0.7245,0.04864,0.95333,0.39627,0.73341,0.02843,0.94868,not
5,0.39322,0.26254,-0.37652,0.99982,0.39782,0.25179,-0.35892,0.9996,0.40083,0.25186,-0.35895,0.99958,0.4038,0.25194,-0.35897,0.99957,0.38887,0.25182,-0.36008,0.99959,0.38594,0.25211,-0.36017,0.9996,0.38333,0.25266,-0.36025,0.99963,0.40748,0.25673,-0.24663,0.99914,0.38096,0.25896,-0.25176,0.99939,0.39935,0.27345,-0.33439,0.99981,0.38836,0.27475,-0.33612,0.99979,0.43765,0.32262,-0.16082,0.99942,0.35852,0.33298,-0.16202,0.99958,0.44877,0.39639,-0.10186,0.93457,0.35003,0.41248,-0.10291,0.97071,0.44902,0.46008,-0.177,0.83068,0.35735,0.4689,-0.19002,0.93537,0.4487,0.47829,-0.20216,0.76091,0.35981,0.49117,-0.21777,0.88806,0.44454,0.47759,-0.23122,0.76994,0.36532,0.48838,-0.24738,0.8943,0.44289,0.47048,-0.1901,0.75447,0.36642,0.47776,-0.20321,0.88203,0.42499,0.47773,-0.00559,0.99837,0.3806,0.47901,0.00562,0.99826,0.42539,0.58852,-0.01335,0.95605,0.38647,0.5951,-0.00522,0.95013,0.42647,0.69526,0.17615,0.96131,0.39564,0.69811,0.16754,0.95098,0.42394,0.70746,0.18619,0.8094,0.39931,0.71345,0.17756,0.75802,0.42859,0.74019,0.0569,0.95287,0.39379,0.74201,0.04321,0.94867,not
6,0.39256,0.27906,-0.35889,0.99983,0.39715,0.26953,-0.33596,0.99962,0.40015,0.26966,-0.33604,0.9996,0.40308,0.26983,-0.33631,0.99959,0.38826,0.26974,-0.34462,0.99961,0.3854,0.27012,-0.34468,0.99962,0.38267,0.2707,-0.34464,0.99965,0.40666,0.27516,-0.20827,0.99917,0.38001,0.27769,-0.22673,0.99942,0.39881,0.29043,-0.30423,0.99982,0.38783,0.29155,-0.3118,0.99981,0.43635,0.34055,-0.12644,0.99945,0.3588,0.35163,-0.15911,0.9996,0.45056,0.41479,-0.06952,0.93736,0.35197,0.43139,-0.08,0.97107,0.45205,0.47882,-0.14881,0.83306,0.35881,0.48901,-0.16394,0.93333,0.45113,0.50058,-0.1736,0.76043,0.36034,0.51429,-0.19019,0.88402,0.44703,0.50042,-0.20184,0.76919,0.36654,0.51193,-0.22069,0.8903,0.44529,0.49183,-0.16133,0.75316,0.36762,0.50059,-0.17719,0.87781,0.42678,0.49793,-0.00623,0.99828,0.38288,0.50185,0.00626,0.99819,0.42801,0.61071,-0.01395,0.95765,0.3904,0.61634,-8e-05,0.95157,0.42866,0.72195,0.16542,0.96093,0.39798,0.72432,0.16,0.94953,0.42503,0.73403,0.17346,0.79726,0.39954,0.73833,0.16871,0.75136,0.43266,0.76201,0.04567,0.95014,0.393,0.76426,0.03983,0.9456,not
7,0.39405,0.29873,-0.29956,0.99984,0.39784,0.29092,-0.27996,0.99963,0.40055,0.29114,-0.28002,0.99962,0.4032,0.29133,-0.28004,0.99961,0.39032,0.29169,-0.28339,0.99963,0.38793,0.29249,-0.28343,0.99964,0.38567,0.29336,-0.28349,0.99966,0.40616,0.29845,-0.17115,0.99921,0.38227,0.30151,-0.18336,0.99944,0.39933,0.31006,-0.25846,0.99983,0.38996,0.31146,-0.26254,0.99982,0.43514,0.36295,-0.10252,0.99948,0.35922,0.37564,-0.11229,0.99962,0.4513,0.43676,-0.0486,0.9397,0.35237,0.45538,-0.06429,0.97151,0.45371,0.50078,-0.13967,0.83712,0.35925,0.51534,-0.1525,0.93234,0.45368,0.52269,-0.16626,0.76277,0.36059,0.54162,-0.1797,0.88185,0.4495,0.52193,-0.19473,0.77142,0.36759,0.53994,-0.20923,0.88803,0.44726,0.51271,-0.15273,0.75462,0.36889,0.52753,-0.16557,0.87497,0.42818,0.52269,-0.00538,0.99828,0.38443,0.5273,0.00543,0.99821,0.42984,0.63679,-0.02651,0.9592,0.39364,0.63939,-0.00638,0.95317,0.42742,0.75434,0.13132,0.96102,0.40064,0.75735,0.14136,0.94978,0.42418,0.76807,0.13848,0.79501,0.4017,0.77203,0.14781,0.7488,0.43367,0.78595,0.0148,0.94961,0.39531,0.78726,0.02004,0.94468,not
8,0.39322,0.3234,-0.32129,0.99985,0.39718,0.31521,-0.30306,0.99964,0.39995,0.31552,-0.30309,0.99962,0.40256,0.31577,-0.30307,0.99962,0.38931,0.31563,-0.30436,0.99964,0.38675,0.31633,-0.30443,0.99965,0.38431,0.31713,-0.3045,0.99968,0.40586,0.32251,-0.19793,0.99922,0.38111,0.32538,-0.20207,0.99945,0.39902,0.3354,-0.28236,0.99983,0.38878,0.33647,-0.28384,0.99982,0.43594,0.38951,-0.13107,0.99951,0.35939,0.40014,-0.12142,0.99964,0.45326,0.46174,-0.0846,0.94355,0.35251,0.47926,-0.07698,0.97275,0.45571,0.52366,-0.16479,0.84302,0.3591,0.54032,-0.16661,0.93468,0.45522,0.5441,-0.19394,0.76747,0.35956,0.56326,-0.19368,0.88426,0.45098,0.54355,-0.21887,0.77569,0.36643,0.56132,-0.22456,0.89023,0.44893,0.53519,-0.17517,0.75848,0.36805,0.5517,-0.18033,0.8773,0.42963,0.54171,-0.01528,0.99821,0.38617,0.5467,0.01534,0.99818,0.42954,0.65165,-0.02499,0.96056,0.39425,0.65645,0.01435,0.95257,0.42753,0.76271,0.13345,0.96067,0.40184,0.76634,0.16856,0.94768,0.42669,0.77651,0.14065,0.78161,0.40345,0.78167,0.17662,0.74841,0.42904,0.79408,0.01661,0.94777,0.39382,0.79654,0.05289,0.94255,not
9,0.39358,0.34623,-0.32127,0.99985,0.39802,0.33618,-0.30298,0.99964,0.40094,0.33611,-0.30302,0.99962,0.40345,0.33609,-0.303,0.99961,0.38952,0.33692,-0.30427,0.99964,0.38674,0.33739,-0.30433,0.99965,0.38426,0.33794,-0.3044,0.99968,0.40716,0.34156,-0.19703,0.99919,0.38098,0.34402,-0.20222,0.99945,0.39969,0.35748,-0.2821,0.99984,0.38916,0.35901,-0.2838,0.99983,0.43638,0.41018,-0.12859,0.99954,0.3601,0.41957,-0.12468,0.99966,0.4525,0.48363,-0.09058,0.94671,0.35369,0.49838,-0.08145,0.974,0.45395,0.54647,-0.1805,0.84711,0.35903,0.55951,-0.17397,0.93719,0.45312,0.56714,-0.21083,0.76985,0.35888,0.58155,-0.20211,0.88729,0.44797,0.56648,-0.2351,0.77761,0.36593,0.57915,-0.23193,0.89303,0.44657,0.55781,-0.19153,0.7596,0.36753,0.57009,-0.18776,0.88008,0.42853,0.56021,-0.01211,0.99827,0.3857,0.56353,0.01216,0.99825,0.42782,0.66342,-0.04961,0.9619,0.39509,0.66656,-0.00382,0.95294,0.42742,0.76528,0.11673,0.96024,0.40156,0.76612,0.16449,0.94692,0.42584,0.77808,0.12503,0.77469,0.40175,0.78145,0.17464,0.74947,0.43083,0.79584,-0.00055,0.94612,0.39432,0.79132,0.04486,0.9421,not
10,0.39345,0.35306,-0.32505,0.99984,0.39724,0.34356,-0.30912,0.99957,0.40003,0.34359,-0.30916,0.99955,0.40239,0.34361,-0.30918,0.99953,0.38916,0.34406,-0.30941,0.99958,0.38652,0.34436,-0.30947,0.99959,0.38421,0.34462,-0.30955,0.99963,0.40654,0.35002,-0.20985,0.99902,0.38152,0.35166,-0.20985,0.99933,0.39965,0.36422,-0.28747,0.99982,0.38907,0.36455,-0.28782,0.99981,0.43663,0.41787,-0.13933,0.99951,0.36076,0.42618,-0.12707,0.99967,0.447,0.48977,-0.08659,0.93994,0.35699,0.49859,-0.07621,0.97049,0.45405,0.55026,-0.14836,0.80979,0.3617,0.55982,-0.15038,0.92811,0.45482,0.57209,-0.17077,0.73186,0.36224,0.57976,-0.17448,0.87421,0.45102,0.57177,-0.19729,0.73954,0.36664,0.5775,-0.20743,0.88025,0.44754,0.56366,-0.16025,0.72257,0.36827,0.56943,-0.165,0.86703,0.4286,0.56495,-0.01585,0.99828,0.38539,0.56597,0.01587,0.99827,0.42503,0.67182,-0.0385,0.96314,0.39412,0.67238,0.01258,0.95403,0.42495,0.76989,0.15078,0.96135,0.40051,0.76844,0.20964,0.94845,0.42535,0.78188,0.16182,0.76585,0.40182,0.78097,0.22248,0.75749,0.42368,0.79576,0.03802,0.94649,0.39059,0.7946,0.10093,0.94381,not
