count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.73553,0.38311,-0.13162,0.99982,0.73931,0.37261,-0.12983,0.99943,0.74153,0.37206,-0.12994,0.99939,0.74386,0.37154,-0.13005,0.99935,0.73511,0.37283,-0.10986,0.99942,0.73441,0.37242,-0.10982,0.99939,0.73386,0.37193,-0.10978,0.99944,0.75176,0.37416,-0.09503,0.99882,0.73913,0.37346,-0.00524,0.99888,0.74173,0.39146,-0.11756,0.99982,0.7361,0.39179,-0.0915,0.99979,0.76883,0.42256,-0.13156,0.99959,0.74344,0.42855,0.10722,0.99961,0.78672,0.49257,-0.18523,0.8981,0.74617,0.49894,0.14613,0.84306,0.79967,0.55627,-0.2211,0.66044,0.7338,0.55684,0.06028,0.78205,0.80541,0.57462,-0.25182,0.58257,0.72984,0.5762,0.04985,0.724,0.79639,0.57602,-0.25511,0.59284,0.72948,0.57875,0.02018,0.73566,0.79406,0.57127,-0.22246,0.56703,0.73338,0.57258,0.0443,0.72376,0.7686,0.57068,-0.0819,0.99855,0.76157,0.57151,0.08216,0.99834,0.75062,0.65731,-0.19606,0.96967,0.79812,0.65484,0.1267,0.91641,0.7347,0.77432,-0.20717,0.96357,0.86409,0.72278,0.20595,0.93556,0.73859,0.79391,-0.21232,0.70129,0.8818,0.7203,0.21018,0.7908,0.70972,0.79835,-0.30964,0.93701,0.86266,0.76492,0.15784,0.92829,not
3,0.72079,0.38755,-0.12434,0.99983,0.72501,0.37715,-0.1248,0.99948,0.72721,0.3768,-0.12489,0.99944,0.72947,0.37644,-0.12498,0.99941,0.72088,0.37705,-0.10205,0.99946,0.72017,0.37663,-0.10199,0.99942,0.71961,0.37616,-0.10193,0.99947,0.73773,0.37894,-0.09636,0.99894,0.72646,0.3776,0.00295,0.99889,0.72659,0.39663,-0.11355,0.99984,0.72104,0.39664,-0.08392,0.99979,0.75207,0.42905,-0.13845,0.99963,0.73312,0.43246,0.11901,0.99953,0.77068,0.50586,-0.18732,0.90739,0.73808,0.50345,0.1613,0.76259,0.76705,0.56722,-0.2101,0.68838,0.72981,0.55812,0.07658,0.71269,0.76974,0.59399,-0.23961,0.61427,0.72507,0.5762,0.06687,0.6639,0.76227,0.58804,-0.24081,0.62325,0.72415,0.57821,0.03899,0.6753,0.76129,0.5828,-0.20979,0.59566,0.72736,0.57227,0.06142,0.66468,0.75332,0.5709,-0.08626,0.99869,0.7433,0.57196,0.08646,0.99837,0.73844,0.65877,-0.18853,0.97064,0.76583,0.65624,0.12516,0.89221,0.7342,0.77454,-0.18453,0.967,0.84345,0.71291,0.19619,0.93131,0.74052,0.79321,-0.18784,0.73061,0.85778,0.71059,0.20004,0.80547,0.70755,0.80485,-0.2797,0.94283,0.8442,0.76155,0.15695,0.92638,not
4,0.70007,0.39955,-0.14737,0.9998,0.70497,0.38805,-0.14481,0.99949,0.70774,0.38732,-0.14489,0.99946,0.71065,0.38655,-0.14498,0.99944,0.70002,0.38805,-0.1231,0.99942,0.69909,0.38739,-0.12308,0.99934,0.69837,0.38667,-0.12303,0.9994,0.7195,0.38786,-0.10919,0.99902,0.70557,0.38748,-0.00898,0.99866,0.70655,0.40825,-0.13309,0.99983,0.70049,0.4083,-0.10426,0.99975,0.73817,0.43853,-0.14623,0.99967,0.70881,0.44128,0.10957,0.99941,0.74815,0.51429,-0.20649,0.91591,0.71167,0.51359,0.16546,0.69127,0.74149,0.58028,-0.24826,0.71372,0.70545,0.56403,0.09626,0.65475,0.74207,0.60153,-0.28092,0.64288,0.70154,0.5798,0.08887,0.61446,0.73302,0.59894,-0.27868,0.65093,0.7002,0.57975,0.0598,0.62588,0.73282,0.59198,-0.2476,0.62111,0.70281,0.57408,0.08165,0.6166,0.73346,0.58038,-0.08914,0.99877,0.71562,0.58118,0.0893,0.99831,0.71439,0.66799,-0.17076,0.97024,0.72492,0.66543,0.05619,0.86893,0.73834,0.75516,-0.08018,0.9696,0.79369,0.72591,0.1381,0.92814,0.75185,0.75767,-0.07411,0.75496,0.81583,0.71203,0.14294,0.81842,0.72193,0.80432,-0.14843,0.94718,0.78886,0.7638,0.08418,0.92658,not
5,0.68268,0.4093,-0.1979,0.99975,0.68826,0.3985,-0.19856,0.99945,0.69082,0.39789,-0.19864,0.99944,0.69358,0.39724,-0.19876,0.99943,0.68345,0.39789,-0.17649,0.99929,0.68264,0.39698,-0.17647,0.99914,0.68208,0.39607,-0.17646,0.99918,0.70225,0.39822,-0.16701,0.99908,0.68964,0.39594,-0.06451,0.99805,0.68941,0.4188,-0.18367,0.99981,0.68365,0.41736,-0.15438,0.99965,0.72155,0.45035,-0.19408,0.9997,0.69334,0.44987,0.06538,0.99929,0.72579,0.52528,-0.24094,0.92337,0.69932,0.52414,0.13349,0.62478,0.71101,0.5827,-0.2688,0.73646,0.69663,0.57301,0.0633,0.59615,0.70905,0.60099,-0.30037,0.66901,0.69391,0.58875,0.05842,0.56325,0.70195,0.5972,-0.29946,0.67637,0.69242,0.58733,0.02618,0.57415,0.70307,0.59058,-0.26788,0.64434,0.69468,0.58093,0.04825,0.56596,0.7202,0.5893,-0.08934,0.99885,0.70441,0.58848,0.08951,0.99833,0.69848,0.67802,-0.15459,0.97067,0.70443,0.67771,0.07763,0.85671,0.74011,0.72954,-0.0109,0.97101,0.76496,0.72587,0.16873,0.92779,0.75382,0.72486,0.00095,0.77498,0.76722,0.74043,0.17266,0.83009,0.73573,0.77805,-0.05458,0.9499,0.75078,0.77294,0.11932,0.92722,not
6,0.66579,0.41033,-0.20936,0.99882,0.67057,0.39952,-0.21081,0.99819,0.67276,0.39892,-0.2109,0.99835,0.6751,0.39835,-0.21102,0.99861,0.66588,0.39947,-0.1903,0.99667,0.66484,0.39882,-0.19028,0.99562,0.66398,0.39815,-0.1903,0.99559,0.68237,0.39978,-0.18166,0.99864,0.66899,0.39861,-0.08581,0.98884,0.67104,0.41848,-0.19627,0.99949,0.66518,0.41822,-0.16894,0.99882,0.70439,0.45022,-0.20226,0.99971,0.66855,0.4498,0.03414,0.9991,0.71909,0.52842,-0.24428,0.92896,0.67001,0.52116,0.09454,0.56737,0.70483,0.59007,-0.27062,0.74598,0.6653,0.57354,0.01363,0.54686,0.70571,0.60832,-0.30031,0.67809,0.66212,0.58993,0.00638,0.52008,0.69853,0.60589,-0.30275,0.68505,0.66148,0.58957,-0.02731,0.53086,0.69762,0.59847,-0.27133,0.64827,0.66435,0.58289,-0.00259,0.5243,0.70562,0.58594,-0.08625,0.99888,0.68855,0.58638,0.08642,0.99837,0.67595,0.67487,-0.15503,0.97066,0.6866,0.6791,0.0756,0.84373,0.73349,0.71728,-0.00433,0.97005,0.73342,0.75347,0.17165,0.92624,0.75281,0.70463,0.00748,0.7797,0.74408,0.76571,0.17627,0.83699,0.72928,0.76616,-0.05272,0.94889,0.72212,0.78953,0.11204,0.92583,not
7,0.64205,0.40637,-0.1802,0.99777,0.64717,0.39524,-0.18157,0.99699,0.64918,0.3945,-0.18166,0.9974,0.65121,0.39375,-0.18176,0.99792,0.64411,0.39503,-0.15813,0.99443,0.64403,0.39423,-0.1581,0.99293,0.6441,0.39341,-0.1581,0.99345,0.65953,0.39511,-0.18838,0.99825,0.65236,0.39397,-0.06711,0.98566,0.64847,0.41465,-0.17032,0.99916,0.64437,0.41395,-0.1386,0.99824,0.67966,0.44693,-0.23335,0.99973,0.65793,0.44652,0.03893,0.99902,0.67105,0.52822,-0.28266,0.93329,0.66469,0.5178,0.08356,0.51401,0.65242,0.59212,-0.28062,0.75533,0.66546,0.57144,0.01361,0.49638,0.65205,0.60924,-0.31296,0.68884,0.66516,0.58804,0.00574,0.47365,0.64728,0.60755,-0.31122,0.69431,0.66409,0.58875,-0.02227,0.48359,0.64731,0.60106,-0.27981,0.65108,0.66521,0.58183,-0.00074,0.47767,0.68647,0.58425,-0.084,0.9989,0.66718,0.58457,0.08412,0.99839,0.66743,0.67488,-0.11753,0.97005,0.64634,0.67478,0.04066,0.83726,0.71508,0.73427,0.06483,0.96857,0.7053,0.7431,0.16105,0.91791,0.73077,0.72952,0.08011,0.78624,0.71679,0.75009,0.16898,0.83567,0.70732,0.77395,0.01979,0.94783,0.70048,0.78836,0.10642,0.9207,not
8,0.62321,0.39447,-0.17538,0.99771,0.62744,0.38442,-0.18836,0.997,0.62882,0.38411,-0.18843,0.99742,0.63028,0.38391,-0.1885,0.99795,0.62595,0.38428,-0.15857,0.99452,0.62628,0.38378,-0.15853,0.99309,0.62675,0.38332,-0.15855,0.99365,0.63834,0.38688,-0.21594,0.99833,0.63542,0.38572,-0.07645,0.98644,0.62864,0.40344,-0.1804,0.99916,0.62645,0.40384,-0.14092,0.99823,0.65671,0.44496,-0.27332,0.99975,0.64688,0.43932,0.03402,0.99906,0.64977,0.52267,-0.33033,0.93892,0.66422,0.51616,0.07892,0.46616,0.61492,0.57427,-0.3166,0.7744,0.65815,0.57652,0.01503,0.4516,0.60502,0.58866,-0.35264,0.71123,0.65591,0.59185,0.00611,0.43254,0.60119,0.58219,-0.34649,0.7155,0.65509,0.59211,-0.02151,0.44146,0.60592,0.57645,-0.31385,0.66822,0.65683,0.58595,0.00028,0.43598,0.6639,0.58166,-0.09124,0.99898,0.65566,0.58055,0.09128,0.99845,0.66225,0.67306,-0.12856,0.97199,0.61887,0.66214,0.04166,0.84343,0.70939,0.74063,-0.04419,0.97114,0.68245,0.74046,0.16829,0.91718,0.72467,0.73238,-0.03722,0.80308,0.70185,0.74596,0.17585,0.84079,0.69408,0.77467,-0.11977,0.95219,0.6763,0.78496,0.11535,0.92275,not
9,0.59939,0.38206,-0.15097,0.99785,0.60503,0.37128,-0.17697,0.9972,0.60697,0.37108,-0.17694,0.99759,0.60892,0.37091,-0.1769,0.99808,0.60252,0.37121,-0.14014,0.99495,0.60272,0.37088,-0.14011,0.99363,0.60311,0.37048,-0.14013,0.99413,0.61787,0.37478,-0.19604,0.99845,0.61268,0.37344,-0.06247,0.98755,0.60597,0.392,-0.17698,0.9992,0.60269,0.39182,-0.12422,0.99829,0.63252,0.4329,-0.25753,0.99978,0.62464,0.43004,0.04643,0.99911,0.62053,0.50968,-0.29711,0.94453,0.63772,0.50617,0.09638,0.42287,0.58456,0.54435,-0.27906,0.79347,0.62826,0.56619,0.03853,0.4123,0.57578,0.55487,-0.30603,0.73389,0.62452,0.57976,0.03203,0.39659,0.57076,0.55018,-0.30013,0.73747,0.62505,0.57946,0.00916,0.40475,0.57483,0.54629,-0.27218,0.68897,0.62701,0.57409,0.02656,0.39958,0.64615,0.57004,-0.09479,0.99908,0.632,0.56976,0.09477,0.99858,0.66104,0.65572,-0.12552,0.97455,0.59998,0.64755,0.13247,0.85245,0.70659,0.74368,-0.06113,0.97395,0.64858,0.73857,0.27641,0.9233,0.7192,0.73269,-0.05768,0.8219,0.66189,0.74974,0.28588,0.85317,0.68907,0.7788,-0.1438,0.95685,0.60987,0.77399,0.23943,0.92891,not
10,0.58087,0.37441,-0.15194,0.99785,0.58607,0.3633,-0.17341,0.99722,0.58773,0.36316,-0.17343,0.9976,0.58944,0.36313,-0.17345,0.99808,0.58372,0.3633,-0.13876,0.99517,0.58376,0.363,-0.13873,0.9939,0.58395,0.36263,-0.13874,0.99432,0.59716,0.36711,-0.18639,0.99848,0.59158,0.36492,-0.05557,0.9878,0.58675,0.3842,-0.16772,0.99913,0.58331,0.384,-0.12154,0.99812,0.60903,0.42456,-0.24738,0.99979,0.6046,0.42053,0.06401,0.99909,0.59607,0.49713,-0.2851,0.9495,0.61494,0.49849,0.13045,0.38263,0.55726,0.52802,-0.24577,0.81114,0.6039,0.55446,0.07362,0.37637,0.54698,0.53693,-0.27329,0.75542,0.59989,0.56882,0.06669,0.36446,0.54342,0.53091,-0.27112,0.75849,0.60027,0.56721,0.03853,0.37201,0.54828,0.52776,-0.24184,0.70958,0.60194,0.56186,0.05899,0.36712,0.62296,0.56726,-0.09935,0.99915,0.60783,0.56671,0.09933,0.99865,0.65407,0.65498,-0.10863,0.97682,0.57754,0.64734,0.15854,0.85988,0.70403,0.73988,-0.04731,0.97646,0.60287,0.74391,0.29666,0.92909,0.71647,0.74248,-0.04514,0.83843,0.61452,0.76103,0.3053,0.86449,0.69254,0.78053,-0.1381,0.96101,0.56442,0.77127,0.25462,0.93454,not
11,0.56031,0.36999,-0.13938,0.99716,0.56526,0.35904,-0.15594,0.99629,0.56704,0.35892,-0.15602,0.99657,0.56889,0.35888,-0.15607,0.99728,0.56279,0.35912,-0.12378,0.99434,0.56282,0.35892,-0.12374,0.99246,0.56301,0.35865,-0.12376,0.9931,0.57777,0.363,-0.17596,0.99799,0.57124,0.36142,-0.03862,0.98311,0.56607,0.3797,-0.14845,0.99841,0.56258,0.37973,-0.10519,0.99661,0.59044,0.41668,-0.23778,0.9998,0.58615,0.41694,0.08751,0.99903,0.58019,0.48909,-0.28712,0.95373,0.59777,0.49634,0.14608,0.3456,0.543,0.52434,-0.24694,0.82586,0.58352,0.54907,0.08042,0.34196,0.53248,0.53564,-0.27521,0.773,0.57852,0.56401,0.07437,0.33284,0.52919,0.53062,-0.2718,0.77549,0.57744,0.56195,0.04411,0.33986,0.53418,0.52772,-0.2434,0.72486,0.57925,0.55632,0.06451,0.3357,0.6028,0.56716,-0.09811,0.99913,0.58991,0.56706,0.09813,0.99868,0.63268,0.65436,-0.11022,0.97782,0.56294,0.64967,0.10183,0.86005,0.69065,0.72384,-0.04465,0.97838,0.56813,0.76157,0.17678,0.93375,0.70485,0.72573,-0.04168,0.85145,0.57558,0.78403,0.17845,0.87382,0.69072,0.77579,-0.123,0.96436,0.53384,0.77924,0.11224,0.93876,not
