count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.07237,0.38062,-0.30921,0.99229,0.07518,0.3725,-0.29619,0.99209,0.0776,0.37255,-0.29623,0.99285,0.08004,0.37261,-0.29627,0.99413,0.06837,0.3727,-0.29556,0.98816,0.0658,0.37292,-0.29562,0.98572,0.06327,0.37327,-0.29569,0.98767,0.08382,0.37856,-0.20564,0.99564,0.06007,0.38065,-0.20438,0.97874,0.0774,0.38995,-0.27488,0.99552,0.06836,0.39017,-0.27461,0.99268,0.10705,0.43089,-0.14936,0.99981,0.04442,0.43686,-0.12608,0.99899,0.11421,0.49895,-0.11512,0.97269,0.03911,0.50788,-0.07636,0.1658,0.11011,0.55682,-0.18154,0.89936,0.03823,0.56954,-0.14488,0.18193,0.10897,0.57326,-0.2039,0.85786,0.03615,0.59012,-0.1667,0.18644,0.10625,0.5712,-0.22724,0.85444,0.03956,0.59118,-0.19645,0.19268,0.10529,0.56602,-0.19202,0.79826,0.04175,0.58436,-0.1583,0.19119,0.1008,0.56541,-0.01308,0.99831,0.06271,0.56691,0.01312,0.99706,0.09495,0.66367,-0.03672,0.94877,0.06395,0.66186,-0.02152,0.78158,0.09339,0.75267,0.09323,0.94614,0.05832,0.75956,0.0947,0.87351,0.09051,0.75952,0.09985,0.87051,0.06047,0.76939,0.10027,0.83597,0.10045,0.78047,0.0038,0.93592,0.04536,0.79889,-0.00173,0.88956,not
2,0.08578,0.37916,-0.34104,0.99301,0.08758,0.37181,-0.32613,0.99275,0.08966,0.37193,-0.32616,0.99344,0.09157,0.37215,-0.32621,0.99459,0.08009,0.37224,-0.32891,0.98922,0.0772,0.37199,-0.32897,0.98702,0.07451,0.3721,-0.32904,0.98878,0.09423,0.37687,-0.22206,0.99578,0.07037,0.37839,-0.23593,0.98064,0.09095,0.38978,-0.30081,0.99588,0.0815,0.38992,-0.3048,0.99331,0.11932,0.42838,-0.13311,0.99963,0.05365,0.43361,-0.15922,0.999,0.12732,0.49755,-0.08021,0.94861,0.04395,0.50516,-0.11332,0.2358,0.12421,0.55521,-0.1424,0.84673,0.04577,0.56488,-0.17328,0.22318,0.12314,0.57135,-0.16157,0.79999,0.04536,0.58792,-0.19566,0.21753,0.12035,0.56859,-0.18753,0.79833,0.0485,0.58929,-0.22191,0.22456,0.11844,0.56369,-0.15435,0.74736,0.04877,0.57971,-0.18509,0.22245,0.11086,0.55617,0.0062,0.99777,0.07374,0.55893,-0.00615,0.9969,0.10078,0.66214,0.00118,0.91436,0.08651,0.66069,-0.03465,0.77378,0.09406,0.75635,0.10798,0.91267,0.0862,0.75885,0.07963,0.85314,0.097,0.77289,0.1119,0.8217,0.08884,0.76948,0.08473,0.78506,0.10643,0.78829,0.00419,0.9003,0.09009,0.79773,-0.03396,0.86597,not
3,0.09558,0.37361,-0.28608,0.99368,0.09781,0.36677,-0.2744,0.99343,0.09999,0.36664,-0.27446,0.99405,0.10223,0.36658,-0.27452,0.99509,0.09102,0.36826,-0.27131,0.99025,0.08842,0.36891,-0.27132,0.98826,0.08563,0.36984,-0.27135,0.98984,0.10607,0.37276,-0.19771,0.99614,0.08242,0.37729,-0.17606,0.98245,0.10073,0.38454,-0.25334,0.99626,0.09229,0.38537,-0.24929,0.99393,0.13024,0.42526,-0.12992,0.99963,0.06891,0.43098,-0.08727,0.99899,0.13828,0.48713,-0.09173,0.94759,0.0692,0.50289,-0.03457,0.27961,0.13017,0.55122,-0.1399,0.8384,0.07107,0.56269,-0.10351,0.26379,0.1306,0.56922,-0.1598,0.78576,0.07215,0.58449,-0.12128,0.25282,0.12659,0.56838,-0.17988,0.78513,0.07427,0.58393,-0.15133,0.26093,0.12454,0.56263,-0.14855,0.73681,0.07515,0.57384,-0.11714,0.25851,0.12321,0.54999,-0.02129,0.9978,0.08887,0.55187,0.02132,0.99691,0.12075,0.6574,-0.04161,0.90097,0.10054,0.65828,-0.00566,0.76438,0.11561,0.75816,0.02333,0.90547,0.11408,0.75802,0.07214,0.84378,0.11321,0.77284,0.02003,0.7859,0.11792,0.76913,0.07417,0.76097,0.11959,0.78973,-0.09263,0.88819,0.10312,0.79424,-0.02519,0.85586,not
4,0.10649,0.37172,-0.33436,0.99431,0.1084,0.36414,-0.32157,0.99407,0.11051,0.36385,-0.3216,0.99462,0.11269,0.36362,-0.32166,0.99556,0.10175,0.36626,-0.32001,0.9912,0.09923,0.36735,-0.32003,0.98941,0.09654,0.36873,-0.32006,0.99083,0.1165,0.37029,-0.22979,0.9965,0.09329,0.37627,-0.22133,0.98414,0.1119,0.38232,-0.29886,0.99663,0.10356,0.38351,-0.2966,0.99452,0.14126,0.42417,-0.1575,0.99964,0.08074,0.43075,-0.13085,0.99904,0.14495,0.48541,-0.11738,0.94866,0.08086,0.50173,-0.0746,0.33724,0.15387,0.55067,-0.16728,0.83562,0.0812,0.56093,-0.13908,0.316,0.15711,0.56836,-0.1884,0.77774,0.08181,0.58162,-0.15853,0.29908,0.15318,0.56717,-0.20799,0.7781,0.08456,0.58114,-0.19027,0.30809,0.15062,0.56163,-0.17597,0.73182,0.08693,0.57248,-0.1531,0.30441,0.13964,0.54837,-0.01712,0.99786,0.10425,0.55234,0.01713,0.99704,0.14272,0.65477,-0.05254,0.90703,0.11456,0.65828,0.00114,0.78116,0.1512,0.75177,0.07667,0.91,0.12338,0.75531,0.08925,0.85315,0.15688,0.76495,0.08234,0.76625,0.12663,0.76703,0.1056,0.75799,0.15654,0.78682,-0.03933,0.89005,0.11364,0.79017,0.01756,0.86169,not
5,0.1149,0.36902,-0.33639,0.99487,0.1179,0.36269,-0.32467,0.99465,0.1198,0.36272,-0.32468,0.99515,0.12173,0.36272,-0.32474,0.99599,0.11273,0.36387,-0.3234,0.99206,0.11091,0.36487,-0.32344,0.99045,0.10893,0.36618,-0.32346,0.99173,0.12504,0.36986,-0.23702,0.99684,0.10641,0.37595,-0.23,0.98569,0.12092,0.37986,-0.30258,0.99696,0.11428,0.38092,-0.30078,0.99506,0.14369,0.42399,-0.16681,0.99967,0.09259,0.43003,-0.13644,0.99911,0.16236,0.48366,-0.12057,0.95189,0.09237,0.50087,-0.06573,0.3945,0.17252,0.54101,-0.16085,0.84387,0.09296,0.55877,-0.1021,0.36732,0.17267,0.55937,-0.17954,0.78487,0.09319,0.5794,-0.11649,0.34433,0.16863,0.55839,-0.20339,0.78562,0.09621,0.57881,-0.14659,0.35372,0.16682,0.55348,-0.17038,0.74049,0.09816,0.57111,-0.11486,0.34864,0.14825,0.54578,-0.017,0.99797,0.11628,0.55107,0.01701,0.99722,0.15451,0.64878,-0.04452,0.9146,0.1242,0.65631,0.0108,0.79966,0.17386,0.75109,0.08442,0.9168,0.13241,0.75143,0.11374,0.86386,0.17889,0.75896,0.09001,0.75564,0.13716,0.76104,0.12606,0.75687,0.17564,0.77835,-0.02714,0.89664,0.12659,0.78459,0.02788,0.86999,not
6,0.13186,0.37495,-0.29257,0.99538,0.13319,0.36799,-0.28133,0.99516,0.13521,0.36795,-0.28136,0.99561,0.13703,0.36796,-0.2814,0.99637,0.12555,0.36952,-0.27989,0.99284,0.12209,0.37065,-0.27993,0.99138,0.11856,0.37193,-0.27995,0.99253,0.13688,0.37491,-0.20786,0.99712,0.10687,0.38045,-0.19266,0.98708,0.13685,0.38565,-0.26147,0.99725,0.12662,0.38771,-0.2594,0.99554,0.16376,0.42849,-0.13802,0.99968,0.10472,0.43584,-0.11192,0.99918,0.17649,0.48837,-0.09784,0.95384,0.10459,0.50395,-0.05965,0.44975,0.18335,0.54618,-0.14789,0.84777,0.10496,0.56396,-0.11817,0.4211,0.18406,0.56541,-0.16841,0.78626,0.10446,0.58387,-0.13724,0.39516,0.17877,0.56652,-0.19161,0.78746,0.10743,0.58311,-0.16716,0.40452,0.17682,0.56022,-0.15764,0.74333,0.10922,0.57552,-0.13142,0.39829,0.16322,0.54797,-0.01386,0.99805,0.12447,0.55686,0.01388,0.99741,0.18903,0.65126,-0.02947,0.92194,0.12999,0.66073,0.01347,0.81824,0.20569,0.74832,0.07838,0.92363,0.13592,0.75185,0.11661,0.87568,0.20093,0.75819,0.08219,0.76235,0.14005,0.76329,0.12347,0.76571,0.22172,0.77478,-0.02466,0.90406,0.13193,0.78464,0.02372,0.87976,not
7,0.15122,0.39121,-0.30179,0.99582,0.15032,0.3841,-0.28965,0.9956,0.15158,0.38403,-0.28969,0.996,0.15277,0.38401,-0.28974,0.99669,0.14486,0.38569,-0.28967,0.99351,0.14208,0.38689,-0.28974,0.9922,0.13926,0.38815,-0.28979,0.99324,0.15038,0.39041,-0.20682,0.99733,0.13158,0.39534,-0.20301,0.98829,0.1539,0.40105,-0.26931,0.9975,0.14627,0.40378,-0.26896,0.99596,0.17913,0.44093,-0.14946,0.99968,0.11023,0.45047,-0.12587,0.99924,0.19014,0.50345,-0.12541,0.95179,0.10754,0.51705,-0.08357,0.49935,0.19364,0.56023,-0.18278,0.83367,0.10784,0.57408,-0.1442,0.46911,0.19723,0.58281,-0.20756,0.76742,0.10635,0.59281,-0.16439,0.44037,0.19311,0.58433,-0.23256,0.76912,0.11568,0.59191,-0.19503,0.44973,0.1886,0.57276,-0.1952,0.72517,0.11778,0.58478,-0.15803,0.44262,0.17796,0.56345,-0.01504,0.99813,0.1383,0.57139,0.01506,0.99761,0.20984,0.65433,-0.0339,0.92868,0.14081,0.67241,0.01807,0.83457,0.23622,0.74718,0.07378,0.93011,0.1504,0.75542,0.126,0.88645,0.23218,0.75658,0.07782,0.77094,0.15694,0.77094,0.13188,0.7753,0.25323,0.77186,-0.02625,0.91147,0.13866,0.78663,0.0258,0.88863,not
8,0.16561,0.40385,-0.31398,0.99621,0.16474,0.39577,-0.30073,0.99598,0.1661,0.39566,-0.30076,0.99634,0.16748,0.39562,-0.30082,0.99696,0.15918,0.39743,-0.30119,0.99412,0.15661,0.39864,-0.30128,0.99294,0.15394,0.39991,-0.30134,0.99388,0.16649,0.40149,-0.21352,0.99748,0.14853,0.40729,-0.21371,0.98938,0.16894,0.41368,-0.28097,0.99772,0.16145,0.41582,-0.28128,0.99633,0.19662,0.45295,-0.15454,0.99962,0.13111,0.46415,-0.14087,0.9993,0.20477,0.51551,-0.12567,0.94411,0.12952,0.52982,-0.09877,0.54379,0.20616,0.56837,-0.17391,0.79578,0.12914,0.58447,-0.14944,0.507,0.20916,0.58896,-0.19518,0.72611,0.12778,0.60259,-0.16915,0.47308,0.20584,0.59041,-0.2184,0.72805,0.13291,0.60185,-0.1977,0.48275,0.20263,0.58309,-0.18476,0.68677,0.13542,0.5954,-0.16233,0.47509,0.194,0.57515,-0.01146,0.99821,0.15564,0.58256,0.01143,0.99778,0.22919,0.66134,-0.0329,0.93376,0.14513,0.68238,0.01607,0.84822,0.26169,0.74911,0.07198,0.93477,0.15017,0.7674,0.12579,0.89468,0.26056,0.76074,0.07614,0.76808,0.15394,0.78414,0.13186,0.77424,0.28091,0.77695,-0.02709,0.91516,0.13596,0.8024,0.029,0.8934,not
9,0.17937,0.4121,-0.25367,0.99658,0.18093,0.4056,-0.23896,0.99636,0.18315,0.40565,-0.239,0.99668,0.18538,0.40572,-0.23904,0.99724,0.17418,0.40656,-0.24089,0.99468,0.1717,0.40736,-0.24096,0.99362,0.16923,0.40821,-0.24099,0.99447,0.18702,0.41146,-0.15576,0.99768,0.16568,0.4149,-0.1618,0.9904,0.18353,0.42206,-0.2222,0.99793,0.17553,0.42328,-0.22477,0.99668,0.21383,0.46355,-0.10068,0.99961,0.14998,0.47215,-0.107,0.99936,0.22232,0.5269,-0.06647,0.9325,0.15024,0.53715,-0.06437,0.57977,0.22433,0.57941,-0.10975,0.7529,0.14766,0.59406,-0.11668,0.53102,0.2267,0.59868,-0.12827,0.6801,0.14645,0.6128,-0.13626,0.49171,0.22424,0.60038,-0.14705,0.68259,0.15073,0.61231,-0.16292,0.50197,0.2212,0.59412,-0.11869,0.64519,0.15234,0.60569,-0.12908,0.4949,0.21007,0.58722,-0.00414,0.99836,0.17043,0.59174,0.00407,0.99797,0.25131,0.67199,-0.02439,0.93903,0.15304,0.68419,0.01785,0.86163,0.28621,0.7527,0.08499,0.93982,0.14918,0.76724,0.15078,0.90293,0.28647,0.76572,0.09004,0.77335,0.15012,0.78137,0.15936,0.77338,0.30781,0.77542,-0.01026,0.91977,0.13527,0.79991,0.06281,0.89901,not
10,0.19516,0.41917,-0.25845,0.99692,0.19705,0.41205,-0.24512,0.99671,0.19924,0.41189,-0.24515,0.997,0.20152,0.41178,-0.24519,0.9975,0.19043,0.41335,-0.24513,0.99521,0.18809,0.41409,-0.24519,0.99425,0.18537,0.41509,-0.24522,0.99501,0.20446,0.41697,-0.16086,0.99786,0.18245,0.4218,-0.16211,0.99134,0.19945,0.42794,-0.22791,0.99813,0.19162,0.43004,-0.22761,0.997,0.23103,0.468,-0.09903,0.99958,0.16957,0.47788,-0.10677,0.99941,0.23939,0.53156,-0.06407,0.91311,0.16952,0.54158,-0.07344,0.61309,0.23892,0.58314,-0.10971,0.7064,0.16611,0.60112,-0.12866,0.55161,0.24008,0.59796,-0.12652,0.63286,0.16499,0.61827,-0.14959,0.50613,0.23953,0.60263,-0.14568,0.63596,0.16802,0.61896,-0.17281,0.51676,0.23697,0.59668,-0.11865,0.60135,0.17018,0.61248,-0.13949,0.50898,0.22756,0.59284,3e-05,0.9985,0.18836,0.59483,-0.00011,0.99815,0.2651,0.67647,-0.01861,0.94444,0.16736,0.6813,0.0165,0.87471,0.30074,0.75425,0.09313,0.94535,0.14904,0.76518,0.15505,0.91188,0.29922,0.76789,0.09847,0.788,0.1474,0.77771,0.16377,0.78227,0.32191,0.77806,-0.00131,0.92625,0.13717,0.79315,0.06736,0.90706,not
