count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.84821,0.26244,-0.03791,0.99852,0.85389,0.25288,-0.05501,0.99624,0.8558,0.25281,-0.05507,0.99571,0.85783,0.25279,-0.05511,0.99544,0.85135,0.25308,-0.02774,0.99699,0.85147,0.25312,-0.02773,0.99713,0.85169,0.25313,-0.02779,0.9976,0.868,0.25795,-0.09272,0.98928,0.86199,0.25762,0.02892,0.99594,0.85314,0.27313,-0.04927,0.99813,0.84993,0.27345,-0.01411,0.99841,0.88401,0.30702,-0.16285,0.99769,0.8716,0.31562,0.12027,0.99956,0.87704,0.38399,-0.17549,0.62875,0.87797,0.38423,0.17071,0.78374,0.8333,0.41362,-0.11266,0.36511,0.85786,0.42896,0.142,0.72613,0.82218,0.42203,-0.12527,0.32293,0.85195,0.43982,0.13784,0.67748,0.8206,0.41449,-0.12466,0.32904,0.85034,0.43682,0.12018,0.686,0.826,0.41219,-0.10949,0.30766,0.85279,0.43323,0.13112,0.66343,0.90645,0.46721,-0.0842,0.99771,0.88356,0.46617,0.08414,0.99837,0.90595,0.57734,-0.09984,0.92067,0.83885,0.54263,0.09275,0.91966,0.95045,0.67364,-0.05795,0.92156,0.89582,0.62289,0.22001,0.92235,0.96688,0.69055,-0.05692,0.73723,0.90981,0.62672,0.22971,0.76761,0.92623,0.72605,-0.1287,0.89255,0.86926,0.65875,0.21498,0.92395,not
3,0.83101,0.26127,-0.07452,0.9986,0.83665,0.25176,-0.08749,0.99647,0.83868,0.25163,-0.08755,0.99602,0.84088,0.25156,-0.08758,0.99579,0.83384,0.25191,-0.0632,0.99718,0.83377,0.25186,-0.06318,0.9973,0.83381,0.2518,-0.06325,0.99773,0.85073,0.25662,-0.10885,0.99023,0.84333,0.25639,-0.00016,0.99621,0.8363,0.27205,-0.08019,0.99821,0.83282,0.27224,-0.04865,0.99835,0.86717,0.30401,-0.1695,0.99791,0.85416,0.31565,0.09392,0.99947,0.87317,0.37973,-0.19223,0.66126,0.86809,0.38585,0.12907,0.71178,0.84806,0.42652,-0.16679,0.41374,0.85174,0.43266,0.07,0.67152,0.84299,0.44318,-0.18262,0.37146,0.84198,0.44636,0.0631,0.63021,0.84138,0.4401,-0.18465,0.37575,0.83571,0.44416,0.04255,0.63848,0.84339,0.43301,-0.16559,0.35019,0.84459,0.43968,0.05784,0.61716,0.8932,0.46486,-0.08214,0.9979,0.8712,0.46439,0.08206,0.9984,0.88414,0.57422,-0.09976,0.92798,0.8302,0.54361,0.08174,0.92133,0.91928,0.67809,-0.06188,0.92915,0.88425,0.62317,0.20794,0.92196,0.92969,0.69222,-0.06276,0.76095,0.89752,0.63158,0.2172,0.77949,0.88766,0.71854,-0.13728,0.90279,0.86274,0.6601,0.20207,0.92487,not
4,0.81288,0.26151,-0.14582,0.99865,0.81859,0.25177,-0.14741,0.99672,0.821,0.25165,-0.1475,0.99632,0.82373,0.25157,-0.14759,0.99614,0.81418,0.25194,-0.12682,0.99733,0.81351,0.25189,-0.12678,0.99738,0.81298,0.25183,-0.1268,0.99778,0.83327,0.25645,-0.12234,0.99115,0.8205,0.25641,-0.02892,0.99628,0.8193,0.27229,-0.13434,0.99827,0.81414,0.27262,-0.10744,0.99814,0.85567,0.30392,-0.16858,0.99811,0.83345,0.31647,0.08647,0.99802,0.87288,0.3763,-0.20005,0.69322,0.85739,0.38638,0.12544,0.64144,0.86483,0.43864,-0.20086,0.46205,0.85604,0.43908,0.05409,0.60583,0.86341,0.4633,-0.22307,0.41825,0.85694,0.45819,0.04637,0.56959,0.85723,0.46128,-0.22303,0.42134,0.84979,0.45906,0.02208,0.57713,0.85761,0.4551,-0.19932,0.39363,0.85086,0.45193,0.04081,0.55809,0.87423,0.46306,-0.08223,0.99797,0.85389,0.46383,0.08214,0.9979,0.85893,0.57198,-0.12208,0.93057,0.82372,0.55117,-0.00488,0.90495,0.88247,0.68339,-0.07153,0.93406,0.8782,0.63255,0.08013,0.90115,0.89534,0.69937,-0.07211,0.77205,0.89401,0.64036,0.08511,0.77449,0.84966,0.71968,-0.15621,0.90873,0.86988,0.67985,0.04244,0.90842,not
5,0.79141,0.26773,-0.09833,0.99862,0.7968,0.25595,-0.10927,0.99686,0.79905,0.25535,-0.10935,0.99656,0.80151,0.25479,-0.10941,0.99643,0.79322,0.25677,-0.08386,0.99735,0.79307,0.25671,-0.08385,0.99734,0.79308,0.25661,-0.08392,0.99771,0.81246,0.25807,-0.11396,0.99197,0.80249,0.25905,-0.00775,0.99612,0.79872,0.27749,-0.0987,0.99832,0.79439,0.27861,-0.06638,0.99795,0.83972,0.30514,-0.17492,0.9983,0.81647,0.31945,0.09046,0.99754,0.87027,0.37703,-0.22535,0.72349,0.84842,0.3908,0.12167,0.57885,0.86017,0.45168,-0.21778,0.5141,0.84521,0.4516,0.06463,0.54862,0.86022,0.47788,-0.24115,0.47295,0.84625,0.47067,0.06002,0.51737,0.85375,0.47812,-0.23641,0.47536,0.84058,0.47286,0.03576,0.5243,0.85326,0.47028,-0.2137,0.44851,0.84329,0.46517,0.05166,0.50738,0.85212,0.46501,-0.08478,0.9981,0.84066,0.46757,0.08477,0.99778,0.83172,0.57232,-0.11128,0.93377,0.82641,0.56756,0.04167,0.8737,0.83867,0.69071,-0.06912,0.93931,0.88067,0.65988,0.09921,0.89014,0.85782,0.70319,-0.06966,0.79092,0.89619,0.67086,0.10056,0.77981,0.8098,0.72039,-0.15206,0.91579,0.86459,0.70206,0.06038,0.90074,not
6,0.77268,0.2773,-0.10755,0.99871,0.77736,0.26598,-0.11958,0.99713,0.77944,0.26518,-0.11963,0.99687,0.7817,0.26437,-0.11968,0.99676,0.77449,0.26689,-0.09463,0.99754,0.77443,0.2668,-0.09461,0.99752,0.7745,0.26662,-0.09463,0.99785,0.79283,0.26714,-0.14052,0.99276,0.78378,0.26842,-0.03118,0.9963,0.7798,0.28657,-0.11291,0.99846,0.77613,0.28739,-0.08096,0.99804,0.8223,0.3143,-0.20072,0.99847,0.7988,0.3307,0.06297,0.99732,0.85758,0.38273,-0.24645,0.75101,0.82173,0.40073,0.09254,0.52326,0.8561,0.46264,-0.24254,0.56229,0.83328,0.46257,0.03634,0.49932,0.85698,0.48731,-0.26804,0.52469,0.83397,0.48202,0.03176,0.47301,0.84966,0.48861,-0.26494,0.52675,0.83041,0.48461,0.00721,0.47956,0.84886,0.48234,-0.23874,0.50191,0.83119,0.47771,0.02376,0.46433,0.83667,0.47166,-0.08502,0.99823,0.82349,0.4748,0.08503,0.99751,0.81705,0.57979,-0.1101,0.93522,0.82226,0.58061,0.07258,0.83721,0.80629,0.70367,-0.08445,0.94423,0.87826,0.65836,0.12214,0.87858,0.81898,0.72271,-0.08833,0.80898,0.89624,0.66782,0.12354,0.78458,0.76834,0.72959,-0.16834,0.92238,0.85921,0.69842,0.08409,0.89429,not
7,0.75543,0.29023,-0.10843,0.99881,0.76093,0.27912,-0.12083,0.99738,0.76307,0.27831,-0.12087,0.99716,0.7654,0.27749,-0.12091,0.99707,0.75814,0.27995,-0.09471,0.99774,0.75824,0.27971,-0.0947,0.99772,0.75845,0.27934,-0.0947,0.99802,0.77822,0.28067,-0.14607,0.99347,0.76916,0.28173,-0.02991,0.99657,0.76285,0.29909,-0.11566,0.9986,0.75933,0.29945,-0.08194,0.99819,0.81105,0.32959,-0.20529,0.99862,0.78122,0.34409,0.06097,0.99743,0.84016,0.40323,-0.25394,0.77578,0.79998,0.41624,0.09346,0.47541,0.83621,0.48525,-0.25213,0.60545,0.81083,0.48034,0.03386,0.45789,0.83825,0.50635,-0.28222,0.5707,0.80996,0.4998,0.02872,0.43613,0.83155,0.50684,-0.27536,0.57239,0.80857,0.50115,0.0018,0.44235,0.82982,0.49987,-0.24762,0.54895,0.81031,0.49335,0.02056,0.42894,0.82209,0.48412,-0.0851,0.99835,0.80574,0.48775,0.08513,0.9975,0.7992,0.59101,-0.10677,0.93757,0.81336,0.59317,0.08844,0.8067,0.79253,0.71113,-0.07869,0.94868,0.86776,0.67668,0.13214,0.86938,0.80191,0.72965,-0.08076,0.82595,0.88214,0.68841,0.13324,0.79018,0.76577,0.74534,-0.16571,0.92821,0.85042,0.71342,0.08985,0.88812,not
8,0.74291,0.30187,-0.09827,0.99889,0.7484,0.29141,-0.11201,0.99757,0.75041,0.29072,-0.11205,0.99738,0.75271,0.29001,-0.1121,0.99731,0.74568,0.29211,-0.08506,0.99788,0.74572,0.29187,-0.08505,0.99784,0.74591,0.29149,-0.08506,0.99812,0.76449,0.29277,-0.13866,0.99409,0.75612,0.29382,-0.01808,0.99673,0.74966,0.3108,-0.10572,0.9987,0.7463,0.31113,-0.07076,0.99829,0.79234,0.34618,-0.19844,0.99876,0.76942,0.35493,0.07499,0.99765,0.80887,0.42042,-0.24864,0.79763,0.78712,0.42773,0.11223,0.43271,0.8118,0.49502,-0.23799,0.64079,0.793,0.48987,0.05867,0.42154,0.81646,0.51839,-0.26524,0.60601,0.79346,0.50763,0.05536,0.40344,0.80813,0.51934,-0.25678,0.60717,0.79105,0.50865,0.02943,0.40942,0.8057,0.51147,-0.2334,0.5819,0.79283,0.50233,0.04551,0.39765,0.80303,0.49858,-0.08844,0.99848,0.7884,0.50085,0.08851,0.9977,0.78053,0.59949,-0.13161,0.94255,0.78828,0.60113,0.08642,0.79263,0.84353,0.67839,-0.0755,0.95273,0.79821,0.70685,0.11657,0.87119,0.85813,0.67568,-0.07822,0.83968,0.80933,0.72368,0.11566,0.79552,0.79573,0.71566,-0.11359,0.93391,0.77303,0.74272,0.06373,0.88901,not
9,0.73018,0.30499,-0.13018,0.99899,0.73536,0.29439,-0.13727,0.99781,0.73759,0.29406,-0.13729,0.99763,0.74014,0.29366,-0.13733,0.99757,0.73232,0.29463,-0.11279,0.99808,0.73211,0.29444,-0.11277,0.99805,0.73203,0.29417,-0.11279,0.9983,0.75136,0.29796,-0.14189,0.99467,0.74152,0.29786,-0.03237,0.99703,0.73621,0.31528,-0.13012,0.99882,0.73219,0.31532,-0.09869,0.99844,0.77217,0.35102,-0.20184,0.99888,0.75545,0.36118,0.07291,0.99785,0.78405,0.42922,-0.24365,0.81727,0.76609,0.44088,0.11034,0.39902,0.75559,0.49293,-0.2356,0.67478,0.75317,0.4934,0.04029,0.40616,0.74795,0.51198,-0.26272,0.64184,0.74149,0.51258,0.03463,0.39372,0.74496,0.5168,-0.25853,0.64273,0.7457,0.51068,0.00737,0.40006,0.74769,0.51035,-0.23254,0.61814,0.74781,0.50506,0.02616,0.38861,0.78673,0.50558,-0.08877,0.99859,0.77729,0.50634,0.0888,0.9978,0.76721,0.60676,-0.09303,0.94663,0.77537,0.60144,0.1367,0.78096,0.79064,0.69688,-0.02425,0.95644,0.82466,0.68078,0.21009,0.87049,0.80454,0.70041,-0.02056,0.85413,0.8371,0.70044,0.21435,0.80618,0.76958,0.73768,-0.06724,0.93894,0.811,0.71847,0.18805,0.88922,not
10,0.71332,0.30269,-0.08038,0.99899,0.71782,0.29224,-0.09087,0.99794,0.71958,0.29194,-0.09093,0.99778,0.72153,0.29162,-0.09098,0.99775,0.71558,0.29236,-0.06329,0.99818,0.71567,0.29219,-0.06326,0.99811,0.71592,0.29198,-0.06327,0.99836,0.73276,0.29548,-0.10991,0.99514,0.72725,0.29514,0.01273,0.99715,0.71921,0.31371,-0.08517,0.99882,0.71666,0.31402,-0.04948,0.99837,0.75032,0.34788,-0.18572,0.99898,0.74626,0.35665,0.1239,0.99789,0.74264,0.42664,-0.24272,0.83384,0.76143,0.43362,0.17754,0.36087,0.6985,0.48595,-0.19444,0.70098,0.74153,0.48109,0.13266,0.37006,0.68625,0.49084,-0.21837,0.66812,0.73531,0.49773,0.13181,0.36132,0.68299,0.4812,-0.2086,0.6684,0.73212,0.4971,0.1083,0.36729,0.68893,0.47847,-0.18827,0.64019,0.73453,0.49094,0.12031,0.35711,0.77114,0.50334,-0.09385,0.99864,0.76902,0.50302,0.09381,0.99774,0.74161,0.6058,-0.09532,0.94502,0.75571,0.60367,0.11352,0.75025,0.78943,0.6967,-0.01873,0.95702,0.81183,0.68109,0.18601,0.8455,0.8072,0.70543,-0.01281,0.86121,0.82594,0.69152,0.19063,0.79759,0.76116,0.73379,-0.05682,0.93979,0.79676,0.71606,0.16681,0.86732,not
11,0.69692,0.29713,-0.08159,0.99897,0.70203,0.28677,-0.09052,0.99808,0.7039,0.28649,-0.09059,0.99793,0.706,0.28626,-0.09063,0.99791,0.69974,0.28682,-0.06402,0.99828,0.69989,0.28661,-0.064,0.99819,0.70019,0.28638,-0.064,0.99844,0.7179,0.29039,-0.09402,0.99556,0.71278,0.28985,0.02406,0.99733,0.70261,0.30818,-0.08265,0.99879,0.70009,0.30818,-0.04811,0.9983,0.73075,0.34132,-0.17119,0.99907,0.73711,0.35198,0.14666,0.99801,0.70684,0.41381,-0.29577,0.84926,0.73939,0.43091,0.26226,0.32801,0.65699,0.43866,-0.36707,0.72879,0.7118,0.46864,0.29625,0.34777,0.64443,0.44874,-0.40358,0.69793,0.70528,0.4779,0.31303,0.34483,0.64219,0.44187,-0.38965,0.698,0.70287,0.47681,0.28732,0.35044,0.64639,0.43912,-0.36232,0.66895,0.70496,0.47368,0.28691,0.34156,0.75548,0.49715,-0.09687,0.9987,0.76321,0.49814,0.09685,0.99789,0.72723,0.59477,-0.11449,0.94279,0.75016,0.60286,0.07026,0.71568,0.785,0.6775,-0.03155,0.94997,0.80016,0.69495,0.12865,0.82138,0.8033,0.68253,-0.02406,0.86523,0.8152,0.71,0.13142,0.786,0.77062,0.71666,-0.04987,0.9344,0.77083,0.72735,0.09363,0.84368,not
