count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.16225,0.32743,-0.06289,0.99618,0.15856,0.31787,-0.05024,0.99539,0.15814,0.3177,-0.05026,0.99543,0.15771,0.3176,-0.05025,0.99643,0.15778,0.3179,-0.0732,0.99494,0.15676,0.31765,-0.07323,0.99361,0.15569,0.31742,-0.07335,0.99466,0.152,0.31967,-0.00424,0.99513,0.14898,0.31987,-0.08169,0.99169,0.16431,0.33579,-0.02599,0.99575,0.16405,0.33558,-0.06384,0.99475,0.21246,0.3683,0.06757,0.9991,0.19728,0.37557,-0.11997,0.999,0.21062,0.45119,0.08713,0.88756,0.18681,0.44119,-0.15328,0.14983,0.20084,0.47864,0.04212,0.84792,0.21514,0.46283,-0.16395,0.15508,0.21,0.49012,0.0344,0.81886,0.2213,0.47301,-0.19117,0.15916,0.21218,0.48435,0.01495,0.81508,0.22404,0.4648,-0.18486,0.15978,0.20956,0.47999,0.03182,0.75999,0.22093,0.46101,-0.1625,0.15676,0.25162,0.50455,0.06575,0.99209,0.24246,0.51055,-0.06572,0.99749,0.27775,0.55898,0.12404,0.89824,0.2632,0.57572,-0.11983,0.684,0.3171,0.63031,0.24282,0.90171,0.27162,0.69819,-0.0572,0.78802,0.31957,0.64959,0.25118,0.87894,0.26705,0.71944,-0.05368,0.78798,0.33353,0.6599,0.20031,0.89872,0.29239,0.71446,-0.13652,0.7956,not
2,0.16952,0.33824,-0.05644,0.99651,0.1672,0.32831,-0.04464,0.99578,0.16673,0.32786,-0.04465,0.99581,0.16624,0.32739,-0.04461,0.99674,0.16608,0.32874,-0.07081,0.9954,0.1647,0.32872,-0.07081,0.99418,0.16316,0.32878,-0.07089,0.99515,0.15772,0.32949,0.01915,0.9955,0.15188,0.33199,-0.11355,0.99245,0.16661,0.34725,-0.02897,0.99612,0.16472,0.34793,-0.0684,0.99523,0.14803,0.38372,0.09174,0.99913,0.13412,0.39055,-0.1546,0.99908,0.17628,0.45871,0.13641,0.80307,0.1212,0.47558,-0.19344,0.23313,0.2023,0.4861,0.09951,0.78461,0.11248,0.54178,-0.21461,0.23622,0.21422,0.49274,0.10177,0.76243,0.10671,0.55812,-0.23741,0.23815,0.21691,0.48755,0.08125,0.76052,0.10984,0.55718,-0.24215,0.23884,0.21144,0.48738,0.08835,0.70979,0.11261,0.55232,-0.21695,0.2341,0.17981,0.52931,0.07203,0.99246,0.17889,0.54302,-0.07206,0.99733,0.15211,0.63405,0.10082,0.85901,0.19135,0.64838,-0.05355,0.70213,0.0936,0.7286,0.15053,0.88876,0.22678,0.74634,0.02086,0.801,0.10288,0.74389,0.15272,0.87748,0.22166,0.76237,0.02552,0.80475,0.12987,0.75732,0.10109,0.89024,0.26437,0.77122,-0.0426,0.80634,not
3,0.17998,0.34184,-0.09487,0.99672,0.17787,0.33109,-0.08007,0.99597,0.17747,0.3307,-0.08007,0.99595,0.17699,0.33031,-0.08005,0.99686,0.17662,0.33137,-0.11096,0.99563,0.17528,0.33121,-0.11094,0.99451,0.17367,0.33107,-0.11098,0.99542,0.16874,0.33209,-0.01511,0.99525,0.1627,0.33338,-0.14886,0.99288,0.17704,0.351,-0.06454,0.99633,0.17547,0.35118,-0.10606,0.99558,0.15372,0.39115,0.08358,0.99902,0.14697,0.38805,-0.20459,0.99916,0.16898,0.474,0.12702,0.72581,0.15588,0.46547,-0.245,0.30204,0.20744,0.49917,0.09354,0.71562,0.18213,0.50798,-0.24133,0.29717,0.21827,0.50479,0.09667,0.69893,0.18488,0.52007,-0.26829,0.29762,0.22337,0.49993,0.07472,0.69776,0.1894,0.51581,-0.26348,0.29819,0.21923,0.49832,0.08188,0.65211,0.18698,0.51213,-0.23888,0.2878,0.16533,0.55474,0.08995,0.99276,0.16626,0.55933,-0.09001,0.99736,0.13341,0.6517,0.20237,0.82073,0.20494,0.65963,-0.04495,0.72715,0.08957,0.74011,0.30857,0.88748,0.23998,0.7608,0.01524,0.81925,0.07286,0.75564,0.31677,0.88174,0.23343,0.77627,0.01859,0.82277,0.10151,0.77285,0.28283,0.89037,0.2807,0.77682,-0.04711,0.82307,not
4,0.19131,0.33943,-0.06883,0.99697,0.18963,0.32765,-0.05539,0.99622,0.18953,0.32726,-0.05539,0.99615,0.18937,0.32691,-0.05535,0.99703,0.18716,0.32751,-0.07939,0.99597,0.18541,0.32707,-0.07939,0.99494,0.1835,0.32671,-0.07946,0.9958,0.18194,0.32995,0.01832,0.99527,0.17436,0.32989,-0.11992,0.9935,0.18818,0.34768,-0.03744,0.9966,0.18543,0.34761,-0.07396,0.99597,0.16694,0.38994,0.11266,0.99894,0.16109,0.38584,-0.18523,0.99924,0.16848,0.46564,0.13949,0.65489,0.17954,0.46449,-0.22548,0.36838,0.19772,0.52337,0.08784,0.64734,0.22195,0.50188,-0.19932,0.35394,0.20419,0.53894,0.08431,0.6341,0.23172,0.51685,-0.22658,0.35077,0.20701,0.53546,0.06541,0.63301,0.23463,0.51286,-0.21869,0.35015,0.20455,0.53018,0.07673,0.59196,0.23103,0.50724,-0.19466,0.33374,0.17847,0.55501,0.08714,0.99268,0.1809,0.55868,-0.08717,0.99718,0.15346,0.65045,0.14414,0.78453,0.21193,0.65543,-0.02977,0.74143,0.09784,0.73735,0.21641,0.8817,0.24009,0.76106,0.0506,0.83202,0.08309,0.75265,0.22089,0.88309,0.23534,0.77811,0.05561,0.83547,0.10831,0.77533,0.17845,0.88663,0.27647,0.7798,-0.00368,0.83335,not
5,0.20294,0.33831,-0.05016,0.99703,0.20077,0.32664,-0.03205,0.99609,0.2005,0.3262,-0.03207,0.99594,0.20013,0.32591,-0.03201,0.99687,0.19881,0.32667,-0.06649,0.99601,0.19721,0.32626,-0.06648,0.99507,0.19541,0.32598,-0.06654,0.99594,0.1922,0.32964,0.02898,0.9942,0.18605,0.32935,-0.11138,0.99381,0.19968,0.34651,-0.01863,0.99659,0.19751,0.3465,-0.0604,0.99619,0.18077,0.3888,0.11425,0.99881,0.17251,0.38428,-0.17953,0.99931,0.17288,0.47009,0.12117,0.59171,0.18213,0.46916,-0.21579,0.42517,0.18822,0.53552,0.05344,0.58651,0.22163,0.5115,-0.19029,0.40026,0.19291,0.55447,0.04545,0.5765,0.22267,0.54692,-0.21553,0.39544,0.19527,0.55335,0.02794,0.57548,0.23744,0.52752,-0.21013,0.39353,0.19316,0.54694,0.04223,0.53852,0.22993,0.52287,-0.18621,0.37206,0.19769,0.55137,0.09054,0.99238,0.19589,0.55377,-0.09051,0.99711,0.17702,0.64894,0.1472,0.74831,0.22136,0.65922,-0.06309,0.75673,0.10964,0.73023,0.2244,0.87014,0.24208,0.76662,-0.00735,0.84401,0.09305,0.73757,0.22916,0.88203,0.23383,0.78281,-0.00492,0.84687,0.11748,0.76967,0.19107,0.88034,0.27964,0.7864,-0.07212,0.84324,not
6,0.21231,0.33735,-0.05302,0.99692,0.21054,0.32531,-0.03723,0.99573,0.21037,0.32493,-0.03725,0.99548,0.21015,0.32465,-0.03722,0.99652,0.20852,0.32544,-0.07146,0.9959,0.20695,0.32513,-0.07148,0.99503,0.2052,0.32492,-0.07156,0.99593,0.20279,0.32865,0.02075,0.99275,0.1966,0.32833,-0.11736,0.99392,0.20949,0.34609,-0.02526,0.9963,0.20721,0.34611,-0.06701,0.99624,0.1914,0.38812,0.10924,0.99849,0.18438,0.38457,-0.18319,0.99935,0.1899,0.46729,0.11895,0.53423,0.18685,0.47153,-0.21918,0.46691,0.20996,0.52563,0.0557,0.53059,0.21701,0.53141,-0.19011,0.42066,0.21568,0.54246,0.05004,0.52303,0.22129,0.55212,-0.21321,0.4148,0.21795,0.54093,0.03152,0.52215,0.22775,0.53773,-0.20836,0.41137,0.21568,0.53538,0.04404,0.48892,0.22553,0.53083,-0.18634,0.38524,0.21054,0.55089,0.0896,0.99166,0.20684,0.55321,-0.08956,0.99679,0.20272,0.65127,0.15248,0.71841,0.23179,0.65277,-0.06203,0.76945,0.13157,0.72492,0.23402,0.85824,0.24254,0.76724,0.00074,0.85392,0.11357,0.72753,0.23907,0.87821,0.23493,0.78306,0.00384,0.85581,0.13741,0.76902,0.19964,0.87272,0.27885,0.78905,-0.06348,0.85139,not
7,0.21703,0.33423,-0.08013,0.99551,0.21343,0.32248,-0.06495,0.99298,0.21237,0.32216,-0.065,0.99223,0.21108,0.32194,-0.06497,0.99398,0.20968,0.32266,-0.09779,0.99422,0.20858,0.32247,-0.09782,0.99344,0.20886,0.32234,-0.09793,0.99463,0.21111,0.32569,0.00021,0.98568,0.20582,0.32562,-0.13869,0.99225,0.2145,0.3433,-0.0505,0.99423,0.21309,0.34349,-0.09273,0.99517,0.20401,0.38458,0.09011,0.99717,0.19679,0.38241,-0.19766,0.99936,0.20396,0.46535,0.1064,0.48219,0.19612,0.47009,-0.23339,0.503,0.21607,0.53268,0.053,0.47951,0.20922,0.55057,-0.22223,0.43902,0.21995,0.55284,0.04995,0.47362,0.20812,0.57294,-0.24767,0.43103,0.2221,0.55211,0.03083,0.47288,0.21567,0.57298,-0.24622,0.42612,0.22029,0.54534,0.0417,0.44307,0.21532,0.56548,-0.22056,0.39531,0.22334,0.54531,0.09018,0.99087,0.21679,0.54684,-0.09019,0.99635,0.21679,0.6483,0.15122,0.68497,0.23851,0.6499,-0.06663,0.77958,0.15243,0.72379,0.24255,0.84106,0.24317,0.76744,-0.00369,0.8621,0.13788,0.72829,0.24811,0.8705,0.23242,0.77953,-0.00152,0.86273,0.17622,0.76708,0.2053,0.86207,0.2836,0.7929,-0.07608,0.85809,not
8,0.23651,0.33119,-0.07752,0.99399,0.23355,0.31941,-0.06546,0.98938,0.23266,0.31907,-0.0655,0.9879,0.23169,0.31881,-0.06547,0.99055,0.23129,0.31951,-0.09675,0.99202,0.22942,0.31924,-0.09677,0.99141,0.22786,0.31903,-0.09688,0.99295,0.22141,0.32223,-0.00582,0.9775,0.21557,0.32221,-0.14675,0.99051,0.23119,0.34031,-0.05162,0.9915,0.22927,0.34057,-0.09229,0.994,0.20996,0.37967,0.08193,0.99638,0.20611,0.37702,-0.20895,0.9994,0.20894,0.4658,0.10449,0.43507,0.20247,0.46242,-0.25268,0.54498,0.21933,0.53373,0.06136,0.43364,0.21649,0.53993,-0.25104,0.47931,0.22253,0.5538,0.06127,0.42941,0.21238,0.56062,-0.28004,0.46838,0.2254,0.55239,0.04031,0.42877,0.21919,0.55978,-0.27589,0.46264,0.2228,0.53959,0.04953,0.40209,0.21968,0.55416,-0.24898,0.42705,0.23011,0.53971,0.09006,0.9911,0.22519,0.54128,-0.09011,0.99612,0.23278,0.64236,0.13464,0.64368,0.24462,0.64242,-0.05789,0.78864,0.18159,0.73104,0.21907,0.80194,0.23602,0.75499,0.02062,0.86399,0.17411,0.74408,0.22374,0.84239,0.21761,0.76782,0.02387,0.86097,0.22427,0.76748,0.18157,0.83854,0.27011,0.78436,-0.04065,0.86047,not
9,0.25017,0.32905,-0.08204,0.99239,0.24758,0.31746,-0.06885,0.98595,0.24686,0.3171,-0.06891,0.98426,0.24607,0.31682,-0.06889,0.98742,0.24612,0.31757,-0.10135,0.98975,0.24446,0.31729,-0.10137,0.98952,0.24272,0.31707,-0.10149,0.99102,0.23404,0.31995,-0.00569,0.97101,0.22987,0.32016,-0.1502,0.98888,0.24616,0.33814,-0.0546,0.98854,0.24441,0.33838,-0.09693,0.99248,0.21098,0.37814,0.09046,0.99565,0.20913,0.37406,-0.20934,0.99941,0.21944,0.46679,0.1226,0.39278,0.20975,0.46018,-0.25164,0.57709,0.2331,0.53266,0.07922,0.39223,0.22506,0.53748,-0.25361,0.49792,0.23584,0.55225,0.08006,0.38932,0.22318,0.5516,-0.2836,0.48405,0.23744,0.54494,0.05625,0.3888,0.2288,0.54993,-0.27863,0.4766,0.23638,0.53866,0.06637,0.36487,0.22614,0.55077,-0.25138,0.43399,0.23384,0.53927,0.09465,0.9912,0.23168,0.54023,-0.09465,0.99567,0.24801,0.64218,0.13491,0.60968,0.25024,0.64174,-0.06495,0.80168,0.20698,0.73338,0.23272,0.77087,0.22273,0.74803,0.0277,0.8696,0.19208,0.75162,0.23772,0.82096,0.20571,0.76286,0.03167,0.86307,0.24171,0.77062,0.18774,0.8207,0.24904,0.77737,-0.03577,0.86593,not
10,0.261,0.32875,-0.07762,0.9905,0.25816,0.31714,-0.0657,0.98125,0.25759,0.3166,-0.06576,0.97887,0.25696,0.31614,-0.06575,0.98279,0.25701,0.31739,-0.09796,0.98658,0.25566,0.31701,-0.09798,0.98701,0.25421,0.31666,-0.0981,0.98869,0.24645,0.31848,-0.0018,0.96148,0.24352,0.31872,-0.15165,0.98729,0.25782,0.33735,-0.05181,0.98517,0.25624,0.33744,-0.09325,0.9909,0.22551,0.37601,0.102,0.99532,0.22801,0.37225,-0.22187,0.99944,0.23634,0.46341,0.14893,0.35447,0.22964,0.45658,-0.2708,0.61344,0.25265,0.52611,0.11985,0.35543,0.25637,0.52954,-0.27655,0.5329,0.25604,0.54467,0.12404,0.35391,0.26366,0.55006,-0.31108,0.51586,0.26105,0.54027,0.09794,0.35347,0.26976,0.54802,-0.3018,0.5073,0.25914,0.53367,0.10644,0.33206,0.26564,0.54222,-0.27288,0.459,0.24386,0.54061,0.09583,0.99161,0.24408,0.54096,-0.09582,0.99546,0.263,0.64408,0.11729,0.58989,0.2629,0.64064,-0.07362,0.81563,0.23416,0.74964,0.23188,0.74428,0.23493,0.7483,0.04292,0.8751,0.22787,0.76977,0.23878,0.80039,0.22054,0.76245,0.05165,0.86137,0.27971,0.77898,0.18682,0.80624,0.26605,0.78531,-0.01995,0.87154,not
