count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.11371,0.26329,-0.06554,0.99396,0.10663,0.25413,-0.05452,0.98617,0.10572,0.25416,-0.05457,0.98427,0.1049,0.25436,-0.05457,0.9874,0.10606,0.25446,-0.08556,0.99062,0.10477,0.2547,-0.08561,0.99141,0.1035,0.25508,-0.08567,0.99248,0.09741,0.2615,0.00858,0.96743,0.09545,0.26197,-0.13148,0.99162,0.11139,0.2736,-0.03863,0.98933,0.11061,0.27378,-0.07924,0.99418,0.09328,0.32442,0.10977,0.99674,0.07835,0.31875,-0.20089,0.99982,0.0843,0.40637,0.13432,0.04294,0.06161,0.39913,-0.23108,0.93312,0.08018,0.47525,0.07091,0.08343,0.06474,0.47678,-0.18966,0.84169,0.08002,0.4951,0.06195,0.10311,0.06033,0.49734,-0.21143,0.80691,0.08094,0.49574,0.03933,0.10694,0.06273,0.50658,-0.20624,0.79573,0.07995,0.48827,0.05679,0.10459,0.06855,0.493,-0.18571,0.72783,0.10177,0.47694,0.10119,0.99581,0.09455,0.47533,-0.10113,0.99634,0.11816,0.59097,0.10894,0.51323,0.10878,0.59408,-0.12164,0.94174,0.10788,0.69974,0.18503,0.7557,0.02596,0.66868,-0.03956,0.9595,0.09941,0.71995,0.18748,0.81078,0.00931,0.67005,-0.03412,0.92736,0.14521,0.72953,0.13933,0.83066,0.04134,0.72911,-0.09382,0.95309,not
3,0.12322,0.26418,-0.06482,0.99445,0.1173,0.25435,-0.05336,0.98728,0.11613,0.25427,-0.05341,0.98553,0.1149,0.25437,-0.0534,0.98842,0.11718,0.25461,-0.08492,0.99138,0.11597,0.25474,-0.08497,0.9921,0.11469,0.25508,-0.08505,0.99306,0.10451,0.26079,0.00986,0.96987,0.10403,0.26134,-0.13173,0.99232,0.11933,0.27437,-0.03788,0.99009,0.11884,0.27473,-0.07905,0.99461,0.1004,0.32438,0.10644,0.99698,0.08471,0.31922,-0.19669,0.99983,0.09595,0.40693,0.1332,0.04309,0.07458,0.40434,-0.23353,0.93769,0.09116,0.47622,0.07213,0.0873,0.07191,0.48128,-0.23337,0.85221,0.09031,0.49746,0.06505,0.10596,0.06544,0.50081,-0.26233,0.81807,0.09039,0.4964,0.04138,0.10995,0.07127,0.50537,-0.26144,0.80743,0.08981,0.48878,0.05861,0.10714,0.07458,0.49453,-0.23228,0.74173,0.11203,0.47646,0.09999,0.99612,0.1052,0.47528,-0.09995,0.99656,0.12158,0.58612,0.09011,0.52318,0.11922,0.58688,-0.12775,0.94612,0.10787,0.69388,0.15348,0.76628,0.05592,0.67052,-0.04653,0.96258,0.09824,0.71323,0.15415,0.81357,0.03434,0.6749,-0.04216,0.92886,0.14521,0.72876,0.10109,0.83925,0.06873,0.72786,-0.10631,0.95654,not
4,0.13676,0.26399,-0.04835,0.99486,0.13085,0.25381,-0.03642,0.9883,0.12942,0.25361,-0.03646,0.9867,0.12786,0.2535,-0.03643,0.98936,0.1306,0.25394,-0.0679,0.99205,0.1292,0.25382,-0.06794,0.99272,0.12767,0.25378,-0.06804,0.9936,0.11665,0.25882,0.02173,0.9724,0.11622,0.25912,-0.11984,0.99293,0.13149,0.27435,-0.02347,0.99082,0.13129,0.27472,-0.0645,0.995,0.10941,0.3232,0.10971,0.99717,0.09996,0.31697,-0.18582,0.99983,0.10558,0.40923,0.13313,0.0417,0.08793,0.40206,-0.24583,0.93836,0.11177,0.48048,0.07676,0.08509,0.08653,0.47545,-0.27886,0.8532,0.11424,0.5022,0.07351,0.10387,0.07892,0.49788,-0.30979,0.81901,0.11604,0.50064,0.05091,0.10768,0.08527,0.49655,-0.30545,0.8082,0.11406,0.49303,0.06425,0.10497,0.0872,0.49084,-0.27737,0.74222,0.12244,0.474,0.09842,0.99637,0.11599,0.47399,-0.09841,0.99676,0.13064,0.58296,0.09466,0.50188,0.13682,0.57942,-0.127,0.94662,0.10344,0.6898,0.15115,0.74658,0.09761,0.68325,-0.05598,0.96269,0.08608,0.70491,0.15131,0.7969,0.07428,0.6928,-0.05263,0.92754,0.13516,0.72311,0.10322,0.83198,0.12732,0.72763,-0.11352,0.95769,not
5,0.14847,0.26359,-0.01637,0.99535,0.14335,0.25293,-0.00423,0.98942,0.14214,0.25261,-0.00428,0.98798,0.14074,0.25233,-0.00427,0.99039,0.14266,0.25293,-0.03449,0.99281,0.14115,0.25259,-0.0345,0.99341,0.13946,0.25224,-0.03457,0.99421,0.12926,0.25728,0.05195,0.97504,0.12736,0.25718,-0.08352,0.9936,0.14386,0.27418,0.00753,0.99168,0.1431,0.27462,-0.03172,0.99547,0.12493,0.32243,0.13778,0.99737,0.10955,0.31589,-0.15305,0.99984,0.13993,0.40532,0.16781,0.04246,0.10095,0.40193,-0.19634,0.94136,0.16577,0.46669,0.11344,0.08924,0.09653,0.47528,-0.21359,0.8604,0.17401,0.48353,0.11278,0.10749,0.08843,0.49776,-0.23778,0.82643,0.17685,0.48446,0.08872,0.11149,0.09471,0.49715,-0.24499,0.81587,0.16992,0.48032,0.10003,0.10936,0.09687,0.49063,-0.21629,0.75171,0.13375,0.46865,0.09292,0.99655,0.1242,0.47032,-0.09291,0.99688,0.14418,0.58066,0.07915,0.48662,0.15138,0.57592,-0.12688,0.94637,0.11376,0.69444,0.11081,0.72778,0.12041,0.70218,-0.09198,0.96159,0.09845,0.71144,0.10882,0.78088,0.10354,0.72242,-0.0929,0.92377,0.1457,0.72213,0.05956,0.8232,0.1557,0.72963,-0.1639,0.95753,not
6,0.16024,0.26358,-0.02989,0.99581,0.15534,0.25288,-0.01741,0.99046,0.15431,0.25255,-0.01744,0.98916,0.15306,0.25224,-0.01742,0.99133,0.15451,0.25279,-0.04835,0.99352,0.15304,0.25233,-0.04837,0.99406,0.15136,0.2518,-0.04843,0.99478,0.14138,0.25706,0.04302,0.97748,0.13902,0.2563,-0.09624,0.99423,0.15604,0.27417,-0.00433,0.9925,0.15525,0.27461,-0.04455,0.99591,0.13707,0.32108,0.13043,0.9976,0.1169,0.31478,-0.15735,0.99986,0.14699,0.40117,0.16791,0.05168,0.09927,0.40195,-0.20697,0.94587,0.1795,0.46084,0.10935,0.11928,0.09164,0.47532,-0.23539,0.87243,0.18967,0.47772,0.10808,0.13629,0.08314,0.49768,-0.26231,0.84082,0.19211,0.47909,0.0799,0.14117,0.08823,0.49793,-0.27054,0.83112,0.18647,0.47532,0.09453,0.13931,0.09212,0.49107,-0.23864,0.77166,0.14405,0.46726,0.09186,0.99674,0.13385,0.46908,-0.09188,0.99708,0.14124,0.58058,0.10312,0.48503,0.1676,0.57444,-0.11412,0.94803,0.11337,0.6886,0.15432,0.72637,0.14777,0.69518,-0.0788,0.96247,0.09885,0.70916,0.15498,0.78207,0.12889,0.71645,-0.07913,0.92436,0.14594,0.7144,0.11052,0.82365,0.17495,0.72509,-0.15182,0.95814,not
7,0.17027,0.26358,-0.03569,0.99622,0.16554,0.25285,-0.02305,0.99141,0.16467,0.25253,-0.0231,0.99023,0.16359,0.25222,-0.02308,0.99219,0.1645,0.25271,-0.05329,0.99416,0.16306,0.25225,-0.05329,0.99465,0.16142,0.2517,-0.05335,0.99529,0.1526,0.25715,0.03764,0.9797,0.14979,0.25635,-0.09853,0.9948,0.16671,0.27418,-0.01025,0.99324,0.16546,0.27462,-0.04976,0.99631,0.15105,0.3209,0.12759,0.99783,0.12799,0.31492,-0.15571,0.99987,0.15995,0.39954,0.16062,0.06724,0.10877,0.40209,-0.2109,0.94995,0.19333,0.45768,0.1007,0.16239,0.09902,0.47534,-0.24972,0.88313,0.20353,0.47379,0.09763,0.1766,0.0903,0.4977,-0.27835,0.85364,0.20485,0.47517,0.07052,0.18242,0.0948,0.49845,-0.28661,0.84472,0.20079,0.47129,0.08615,0.17999,0.09946,0.49161,-0.25343,0.78964,0.15465,0.46711,0.08849,0.99695,0.14186,0.46877,-0.0885,0.9973,0.14095,0.58181,0.10851,0.48533,0.18223,0.57429,-0.11435,0.95019,0.11512,0.69484,0.15941,0.73057,0.19234,0.69769,-0.09817,0.96348,0.103,0.71054,0.16053,0.78574,0.18468,0.71766,-0.10109,0.92488,0.1508,0.71548,0.11643,0.82648,0.2292,0.72231,-0.18154,0.9586,not
8,0.1802,0.26566,-0.0485,0.9966,0.17499,0.25533,-0.03429,0.99226,0.17422,0.25506,-0.03432,0.9912,0.17332,0.25471,-0.03428,0.99296,0.17401,0.255,-0.06353,0.99474,0.17272,0.25453,-0.06352,0.99518,0.17129,0.25393,-0.06356,0.99576,0.16418,0.25941,0.03257,0.98171,0.16188,0.25829,-0.10024,0.99531,0.17719,0.27599,-0.02168,0.99391,0.17616,0.27626,-0.06026,0.99668,0.16138,0.32374,0.12039,0.99803,0.14236,0.31719,-0.1645,0.99988,0.17093,0.39974,0.15653,0.07898,0.12052,0.40475,-0.23241,0.95383,0.2093,0.45769,0.09649,0.20882,0.10738,0.47545,-0.28579,0.89301,0.21999,0.47222,0.09244,0.22118,0.09822,0.49768,-0.31887,0.86556,0.22233,0.47359,0.07029,0.22843,0.10184,0.4988,-0.32522,0.85743,0.21736,0.46997,0.08323,0.22559,0.10707,0.49206,-0.28946,0.80658,0.16114,0.47442,0.08991,0.99719,0.15489,0.47444,-0.08991,0.99754,0.13902,0.58764,0.13806,0.4997,0.19253,0.57767,-0.0928,0.95395,0.11531,0.69935,0.20812,0.74765,0.2216,0.69894,-0.08601,0.96629,0.10398,0.71714,0.21101,0.79915,0.21822,0.7188,-0.09187,0.92987,0.15107,0.71581,0.16136,0.83704,0.25742,0.70571,-0.15467,0.96127,not
9,0.19216,0.27254,-0.06885,0.99693,0.18675,0.26251,-0.05452,0.99302,0.18588,0.26219,-0.05455,0.99206,0.18494,0.26177,-0.05453,0.99365,0.18596,0.26224,-0.08444,0.99525,0.18467,0.2618,-0.08444,0.99564,0.18329,0.26119,-0.08449,0.99617,0.17623,0.26597,0.01411,0.98349,0.17409,0.2648,-0.12163,0.99577,0.18925,0.28181,-0.04087,0.99451,0.1884,0.28188,-0.08003,0.99701,0.17288,0.32963,0.10651,0.99821,0.15525,0.32361,-0.17097,0.99989,0.18375,0.40507,0.15526,0.09551,0.13277,0.41093,-0.23153,0.95711,0.22626,0.4598,0.09429,0.26181,0.11657,0.47918,-0.26171,0.90151,0.23582,0.47352,0.09095,0.27128,0.10658,0.50044,-0.29223,0.8757,0.2383,0.47375,0.06338,0.27979,0.10946,0.50186,-0.29941,0.8683,0.23357,0.47096,0.07873,0.27711,0.11519,0.49593,-0.26496,0.82124,0.17129,0.48314,0.09124,0.99739,0.16985,0.4831,-0.09121,0.99773,0.14296,0.59238,0.15246,0.50796,0.2075,0.58656,-0.07934,0.95684,0.11627,0.70184,0.22555,0.76108,0.24879,0.7011,-0.04867,0.96852,0.104,0.72231,0.22905,0.81015,0.24955,0.72456,-0.05081,0.93416,0.15125,0.71664,0.18278,0.84382,0.28728,0.69189,-0.12557,0.96307,not
10,0.20357,0.27485,-0.07725,0.99723,0.19716,0.26437,-0.06299,0.9937,0.19613,0.26406,-0.06302,0.99283,0.19497,0.26366,-0.06299,0.99427,0.19655,0.26411,-0.09367,0.99571,0.19525,0.26368,-0.09366,0.99607,0.1938,0.26315,-0.09371,0.99654,0.1857,0.26809,0.0077,0.98509,0.18416,0.26724,-0.13162,0.99618,0.20062,0.28479,-0.04813,0.99505,0.19978,0.28497,-0.08817,0.9973,0.18528,0.33333,0.10174,0.99837,0.16713,0.32957,-0.18079,0.9999,0.19407,0.40787,0.15332,0.10401,0.14733,0.41607,-0.23318,0.96007,0.23752,0.46097,0.08569,0.30142,0.13083,0.48421,-0.25701,0.90941,0.24864,0.47481,0.08158,0.30928,0.11971,0.50622,-0.28837,0.88517,0.25209,0.47358,0.05074,0.31939,0.12234,0.50867,-0.29739,0.87849,0.24722,0.47092,0.06916,0.31737,0.12845,0.50273,-0.26098,0.835,0.1832,0.4904,0.09263,0.9976,0.1832,0.4919,-0.09264,0.99792,0.14704,0.59683,0.173,0.53328,0.22338,0.59225,-0.04796,0.95977,0.11735,0.70189,0.25949,0.77874,0.25922,0.70237,0.02596,0.97082,0.10482,0.72199,0.26503,0.82504,0.25844,0.7233,0.03004,0.93886,0.15163,0.71786,0.21944,0.85204,0.29833,0.69555,-0.04122,0.96487,not
11,0.21359,0.27857,-0.07009,0.9975,0.20715,0.26712,-0.05738,0.99431,0.20624,0.26687,-0.05742,0.99353,0.20525,0.26656,-0.05741,0.99483,0.20667,0.26669,-0.08865,0.99613,0.20559,0.26625,-0.08867,0.99645,0.20436,0.26574,-0.0887,0.99688,0.19722,0.27151,0.00986,0.98653,0.19555,0.27062,-0.12555,0.99655,0.2104,0.28891,-0.0422,0.99554,0.20972,0.28894,-0.08262,0.99757,0.19723,0.33876,0.10297,0.99852,0.17781,0.33529,-0.17657,0.99991,0.20795,0.41355,0.15231,0.10846,0.16354,0.42258,-0.22452,0.96264,0.24688,0.46362,0.07948,0.33107,0.14642,0.49222,-0.25103,0.91645,0.25652,0.47551,0.07409,0.3383,0.13551,0.51205,-0.28484,0.89361,0.26007,0.47518,0.04286,0.35003,0.13676,0.51419,-0.28737,0.88755,0.25522,0.47131,0.06254,0.34844,0.14261,0.50872,-0.25804,0.84723,0.20186,0.49186,0.09334,0.99776,0.19611,0.4929,-0.09332,0.99809,0.15751,0.59882,0.16594,0.5335,0.23521,0.59398,-0.06969,0.96175,0.11823,0.70171,0.248,0.79078,0.26668,0.70288,-0.01598,0.97275,0.10547,0.7191,0.2527,0.836,0.26244,0.72395,-0.01399,0.94269,0.15142,0.71891,0.20286,0.85967,0.30619,0.70497,-0.07776,0.96671,not
