count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.38473,0.38259,-0.29396,0.99982,0.38805,0.37283,-0.28017,0.99949,0.39009,0.37272,-0.28016,0.99938,0.39194,0.37267,-0.2802,0.99931,0.38129,0.37312,-0.2794,0.99939,0.37868,0.37325,-0.27948,0.99934,0.37617,0.37352,-0.2795,0.99935,0.39494,0.37586,-0.17915,0.99885,0.37405,0.37585,-0.17608,0.99858,0.38924,0.3906,-0.25398,0.9993,0.38077,0.39112,-0.25322,0.999,0.41726,0.42809,-0.10333,0.99849,0.35336,0.41861,-0.09506,0.99937,0.42525,0.4911,-0.08982,0.86928,0.3058,0.41316,-0.09806,0.99652,0.42263,0.53391,-0.18971,0.71674,0.26114,0.40911,-0.22105,0.99278,0.4225,0.55201,-0.21368,0.56481,0.24729,0.41119,-0.24861,0.97671,0.42305,0.54635,-0.2351,0.59437,0.24808,0.41164,-0.27129,0.97985,0.42126,0.54057,-0.20151,0.58853,0.25348,0.41262,-0.23531,0.97944,0.40545,0.55719,-0.0148,0.99862,0.36967,0.55932,0.01472,0.99871,0.40163,0.65472,-0.06913,0.97689,0.37312,0.66031,0.02192,0.95407,0.40605,0.74386,0.08606,0.95959,0.37932,0.74223,0.20671,0.93519,0.40378,0.75152,0.09617,0.76486,0.38222,0.75042,0.22023,0.74791,0.40947,0.77666,-0.01224,0.95379,0.37302,0.77285,0.12054,0.93754,wave
2,0.38467,0.38268,-0.19761,0.99981,0.38796,0.37302,-0.18272,0.99948,0.39002,0.37283,-0.18272,0.99937,0.39182,0.37274,-0.18275,0.9993,0.38129,0.37336,-0.18058,0.99939,0.37869,0.37346,-0.18064,0.99934,0.37623,0.37368,-0.18066,0.99935,0.39487,0.37593,-0.09146,0.99889,0.37405,0.37636,-0.08253,0.99861,0.3891,0.39082,-0.16286,0.99932,0.38073,0.39129,-0.16044,0.99902,0.41728,0.43112,-0.04611,0.99854,0.35323,0.41888,-0.01729,0.99938,0.4256,0.49128,-0.05612,0.86902,0.30647,0.41318,-0.0675,0.99549,0.42273,0.53476,-0.14755,0.71469,0.26175,0.40901,-0.23107,0.99203,0.42289,0.55254,-0.17034,0.56662,0.24724,0.4105,-0.26283,0.97576,0.42334,0.55231,-0.18766,0.5951,0.24806,0.41028,-0.28435,0.97907,0.41997,0.54234,-0.15719,0.58847,0.25348,0.41153,-0.24638,0.9788,0.40492,0.55713,-0.01905,0.99857,0.36954,0.55929,0.01901,0.9987,0.4011,0.65469,-0.06745,0.97703,0.3731,0.66026,0.00862,0.95072,0.40605,0.74472,0.05966,0.9589,0.37944,0.74337,0.14342,0.93326,0.40401,0.75385,0.06546,0.75049,0.38261,0.75397,0.15127,0.74713,0.40607,0.77491,-0.03918,0.95183,0.36923,0.77075,0.05539,0.93574,wave
3,0.38431,0.38274,-0.17915,0.99981,0.38747,0.37315,-0.16492,0.99948,0.38954,0.37292,-0.16492,0.99937,0.39137,0.37278,-0.16495,0.9993,0.38109,0.37354,-0.16136,0.9994,0.37863,0.37359,-0.16142,0.99935,0.37623,0.37376,-0.16145,0.99936,0.39463,0.37608,-0.07944,0.99893,0.37408,0.37674,-0.06395,0.99865,0.38873,0.39098,-0.14681,0.99934,0.38053,0.3914,-0.14251,0.99906,0.41728,0.43271,-0.04292,0.99855,0.3532,0.41906,0.00098,0.99939,0.42563,0.49191,-0.05922,0.8686,0.3068,0.41249,-0.04566,0.99436,0.42269,0.53576,-0.15073,0.70559,0.26227,0.40603,-0.20913,0.99116,0.42292,0.55346,-0.17363,0.56128,0.24723,0.40718,-0.23949,0.97448,0.42337,0.55598,-0.1893,0.58859,0.24805,0.40648,-0.26038,0.97793,0.41891,0.54407,-0.15976,0.5814,0.25345,0.4078,-0.22442,0.97787,0.40451,0.55709,-0.02574,0.99854,0.36948,0.55884,0.02568,0.99873,0.40075,0.65457,-0.07596,0.97697,0.37235,0.65973,0.00308,0.94831,0.40607,0.7447,0.04058,0.95887,0.37945,0.74356,0.13828,0.93248,0.405,0.75423,0.04588,0.74257,0.38346,0.75498,0.14642,0.75236,0.40616,0.77465,-0.05625,0.95052,0.36601,0.76971,0.05542,0.93477,wave
4,0.38421,0.38192,-0.15204,0.99979,0.38726,0.37273,-0.13727,0.99947,0.3893,0.37251,-0.13728,0.99935,0.39113,0.37236,-0.13732,0.99928,0.38104,0.37306,-0.13425,0.99939,0.37863,0.37307,-0.13432,0.99934,0.37629,0.3732,-0.13435,0.99935,0.39452,0.37605,-0.0552,0.99895,0.37414,0.37673,-0.04245,0.99868,0.38864,0.39047,-0.1215,0.99935,0.38052,0.39066,-0.11801,0.99907,0.41736,0.43353,-0.0301,0.99851,0.35317,0.41922,0.01074,0.99939,0.42577,0.49234,-0.06097,0.86239,0.30701,0.41037,-0.06127,0.99278,0.42255,0.53623,-0.15311,0.68382,0.26345,0.39979,-0.2371,0.98983,0.42502,0.55793,-0.17559,0.54629,0.24795,0.40035,-0.26964,0.9726,0.42338,0.55777,-0.18863,0.57261,0.24895,0.39907,-0.28615,0.97619,0.41931,0.54984,-0.16127,0.56562,0.25424,0.40045,-0.25138,0.97636,0.40449,0.55707,-0.02777,0.99852,0.36947,0.55854,0.02771,0.99875,0.40065,0.65454,-0.08339,0.97607,0.37189,0.65974,0.00357,0.94155,0.40685,0.74464,0.03011,0.95693,0.38033,0.74302,0.14278,0.92753,0.40658,0.75442,0.03559,0.73132,0.38507,0.75472,0.15159,0.75238,0.40645,0.77467,-0.06047,0.94641,0.36373,0.76828,0.06629,0.92976,wave
5,0.38422,0.38141,-0.15634,0.99976,0.38724,0.37237,-0.14126,0.99941,0.38928,0.37218,-0.14128,0.99927,0.39111,0.37208,-0.14132,0.9992,0.38104,0.37267,-0.13926,0.99934,0.37865,0.37267,-0.13933,0.99928,0.37635,0.37279,-0.13935,0.9993,0.39451,0.37604,-0.05709,0.99891,0.37414,0.37671,-0.0488,0.99864,0.38864,0.39027,-0.12514,0.99935,0.38053,0.39029,-0.1229,0.99907,0.41753,0.43437,-0.03148,0.99845,0.35276,0.41992,0.00116,0.99939,0.42584,0.49257,-0.07072,0.85412,0.30701,0.40649,-0.06818,0.99197,0.42337,0.54098,-0.18688,0.66175,0.26439,0.38758,-0.24763,0.98896,0.42525,0.55896,-0.21391,0.53032,0.24914,0.38608,-0.28225,0.97129,0.4229,0.55757,-0.22542,0.55577,0.25016,0.38462,-0.29778,0.97494,0.4193,0.55073,-0.19534,0.54899,0.25498,0.38667,-0.26148,0.97524,0.40452,0.55708,-0.02578,0.99853,0.36947,0.55862,0.02571,0.99879,0.40067,0.65493,-0.08118,0.97521,0.37177,0.66226,-0.0009,0.93839,0.40757,0.74465,0.04772,0.95485,0.38111,0.74288,0.15307,0.9243,0.40683,0.75517,0.05505,0.72136,0.38561,0.75454,0.1633,0.75161,0.40813,0.77482,-0.05918,0.94213,0.36444,0.76822,0.07483,0.92546,wave
6,0.38422,0.38096,-0.16579,0.9997,0.38724,0.37204,-0.14988,0.9993,0.38928,0.3719,-0.1499,0.99913,0.39111,0.37186,-0.14994,0.99904,0.38104,0.3723,-0.14824,0.99922,0.37866,0.37229,-0.14831,0.99917,0.37639,0.37241,-0.14834,0.99921,0.39452,0.37605,-0.06291,0.99879,0.37412,0.37667,-0.05596,0.99854,0.38864,0.39006,-0.13369,0.99933,0.38054,0.38996,-0.13187,0.99904,0.41771,0.43541,-0.0326,0.99834,0.35202,0.42008,-0.00875,0.99937,0.42603,0.49346,-0.07497,0.84525,0.30722,0.40016,-0.08548,0.99167,0.42238,0.54037,-0.19591,0.63375,0.2664,0.37158,-0.26488,0.98838,0.42608,0.56084,-0.22334,0.50767,0.2522,0.36821,-0.30235,0.97023,0.42291,0.55865,-0.23663,0.53215,0.25349,0.36611,-0.31575,0.97385,0.4195,0.55231,-0.20532,0.52617,0.25816,0.36832,-0.27797,0.97416,0.40458,0.5571,-0.02262,0.99857,0.36937,0.5587,0.02259,0.99885,0.40068,0.6567,-0.07934,0.97444,0.3715,0.66419,-0.00998,0.93668,0.40767,0.74478,0.06935,0.9526,0.38131,0.74307,0.15807,0.92147,0.40681,0.75562,0.07853,0.70972,0.38554,0.75442,0.16935,0.74916,0.40832,0.77491,-0.02599,0.93775,0.36511,0.76809,0.07524,0.92157,wave
7,0.38422,0.38097,-0.16357,0.99966,0.38724,0.37204,-0.14708,0.99925,0.38928,0.37191,-0.1471,0.99905,0.39111,0.37188,-0.14716,0.99896,0.38103,0.3723,-0.14673,0.99917,0.37866,0.37228,-0.1468,0.99911,0.37639,0.3724,-0.14683,0.99916,0.39455,0.37623,-0.0579,0.99874,0.37389,0.37667,-0.05633,0.99852,0.38865,0.39016,-0.13047,0.99933,0.38054,0.38997,-0.13025,0.99902,0.41771,0.43539,-0.02401,0.9982,0.35125,0.42007,-0.01773,0.99936,0.42596,0.49335,-0.07467,0.82468,0.30873,0.39423,-0.12712,0.9911,0.42163,0.5403,-0.19121,0.59685,0.27256,0.35797,-0.32224,0.98773,0.424,0.56066,-0.21675,0.47858,0.25942,0.35208,-0.36309,0.96925,0.42265,0.55954,-0.23116,0.5018,0.26014,0.3493,-0.37073,0.97271,0.41944,0.55342,-0.20074,0.49708,0.26485,0.35235,-0.33338,0.97287,0.40456,0.55711,-0.01788,0.99863,0.36919,0.55874,0.01786,0.99892,0.40066,0.65878,-0.07212,0.97391,0.37118,0.66545,-0.00924,0.9356,0.40779,0.74518,0.075,0.95079,0.38138,0.7433,0.16056,0.91954,0.40681,0.7559,0.08402,0.69907,0.38553,0.75433,0.17209,0.7465,0.40835,0.77501,-0.0177,0.93363,0.36522,0.76799,0.07755,0.91848,wave
8,0.38418,0.38119,-0.15454,0.99966,0.38721,0.3722,-0.13669,0.99928,0.38925,0.37208,-0.13671,0.99907,0.39109,0.37206,-0.13676,0.99898,0.38094,0.37236,-0.13711,0.9992,0.37857,0.37231,-0.13718,0.99915,0.37628,0.37241,-0.1372,0.99919,0.39454,0.37653,-0.04531,0.9988,0.37368,0.37671,-0.04705,0.99862,0.38864,0.3905,-0.12084,0.99936,0.38042,0.39008,-0.12159,0.99907,0.41756,0.43555,-0.01168,0.9982,0.35013,0.42016,-0.01522,0.99937,0.42556,0.49332,-0.06087,0.8129,0.30973,0.39154,-0.13276,0.9913,0.42128,0.54028,-0.17176,0.56925,0.28004,0.34611,-0.31897,0.98812,0.42557,0.56107,-0.19537,0.4566,0.26953,0.33506,-0.35915,0.97016,0.42279,0.5591,-0.20737,0.47862,0.27141,0.33109,-0.36393,0.97331,0.41965,0.55303,-0.18048,0.47482,0.27497,0.33534,-0.32865,0.97331,0.40457,0.55703,-0.01599,0.99872,0.36906,0.55885,0.01598,0.999,0.40074,0.65933,-0.07379,0.97421,0.37104,0.66592,-0.01237,0.93674,0.40796,0.74524,0.07474,0.95081,0.38155,0.74343,0.15785,0.92023,0.40682,0.75585,0.08327,0.69461,0.38542,0.75426,0.16953,0.74853,0.40835,0.77502,-0.01994,0.93212,0.36583,0.76808,0.07615,0.91759,wave
9,0.38418,0.38134,-0.1466,0.99964,0.38721,0.37228,-0.12887,0.99927,0.38925,0.37215,-0.12889,0.99905,0.39108,0.37213,-0.12896,0.99896,0.38088,0.37241,-0.12909,0.99919,0.37845,0.37235,-0.12916,0.99914,0.37607,0.37244,-0.12918,0.99919,0.39442,0.37664,-0.03939,0.99882,0.37308,0.37675,-0.03972,0.99866,0.38864,0.39073,-0.11354,0.99937,0.38033,0.39024,-0.11389,0.99908,0.41722,0.43535,-0.0105,0.99815,0.34956,0.42029,-0.00534,0.99935,0.42433,0.49412,-0.05473,0.8004,0.31166,0.39104,-0.12077,0.991,0.42259,0.54008,-0.15347,0.54184,0.28945,0.3377,-0.29757,0.98822,0.42558,0.55815,-0.17547,0.43542,0.28066,0.32225,-0.33516,0.97051,0.42263,0.55441,-0.18625,0.45601,0.28222,0.31713,-0.33949,0.97329,0.41957,0.54924,-0.16116,0.45281,0.28547,0.32251,-0.30652,0.9731,0.4046,0.5569,-0.01632,0.99877,0.36901,0.55899,0.01633,0.99906,0.40085,0.6593,-0.07461,0.97343,0.37075,0.66668,-0.00821,0.93577,0.40817,0.74523,0.07021,0.94929,0.38181,0.74282,0.16074,0.91851,0.40688,0.75564,0.07885,0.68634,0.38544,0.75322,0.17221,0.74941,0.40842,0.77502,-0.02115,0.9276,0.36579,0.76814,0.08331,0.91393,wave
10,0.38393,0.38165,-0.1596,0.99964,0.38698,0.37241,-0.14158,0.9993,0.38905,0.37225,-0.1416,0.99908,0.3909,0.37219,-0.14166,0.99899,0.38051,0.37262,-0.14047,0.99921,0.37805,0.37259,-0.14054,0.99915,0.37564,0.37274,-0.14057,0.99921,0.39426,0.37676,-0.05138,0.99887,0.37286,0.37717,-0.04481,0.99874,0.38856,0.3911,-0.12638,0.99939,0.38004,0.39071,-0.12485,0.99911,0.41683,0.43521,-0.02265,0.99813,0.34968,0.42116,-0.00799,0.99934,0.42303,0.49588,-0.0703,0.79894,0.31307,0.38597,-0.11973,0.99133,0.42293,0.5406,-0.16564,0.51863,0.30042,0.3236,-0.28898,0.98861,0.42556,0.55783,-0.18824,0.41665,0.29535,0.30434,-0.3222,0.97109,0.42197,0.5539,-0.19196,0.43571,0.29809,0.29885,-0.31118,0.97339,0.41904,0.54895,-0.16932,0.43321,0.30099,0.306,-0.29021,0.97316,0.40445,0.55688,-0.02013,0.99883,0.36899,0.5591,0.02013,0.99912,0.40085,0.65992,-0.08182,0.97263,0.37023,0.6676,-0.00607,0.93688,0.40908,0.74544,0.0604,0.94863,0.38229,0.74277,0.16774,0.91902,0.40868,0.75659,0.06879,0.68277,0.3862,0.75302,0.18052,0.75547,0.40867,0.77513,-0.03417,0.92403,0.36515,0.76819,0.0934,0.91235,wave
