count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.41451,0.342,-0.21101,0.99954,0.41833,0.3348,-0.19562,0.99915,0.42086,0.33554,-0.19566,0.99883,0.42368,0.3365,-0.19572,0.99874,0.41139,0.33403,-0.19307,0.99902,0.40891,0.33415,-0.19316,0.99889,0.40632,0.33441,-0.19323,0.99899,0.42857,0.34505,-0.10569,0.99876,0.40336,0.34114,-0.09638,0.99864,0.41847,0.35454,-0.17736,0.99931,0.41046,0.35281,-0.1751,0.99902,0.44667,0.41157,-0.07663,0.99783,0.37554,0.39465,-0.02848,0.99909,0.45748,0.47909,-0.06178,0.7596,0.32972,0.36957,-0.08747,0.98694,0.45797,0.53928,-0.10314,0.44273,0.28763,0.33915,-0.25571,0.98142,0.46267,0.5605,-0.11347,0.34732,0.27501,0.33216,-0.28035,0.95555,0.45839,0.55775,-0.13183,0.36253,0.27573,0.33021,-0.29811,0.95746,0.45446,0.551,-0.11075,0.35961,0.27973,0.33342,-0.26975,0.95857,0.43125,0.54059,-0.02195,0.99878,0.38573,0.54159,0.02177,0.99924,0.43359,0.64653,-0.11482,0.97166,0.38833,0.6508,-0.06405,0.92787,0.43796,0.73276,0.05189,0.94444,0.39932,0.73211,0.0945,0.92101,0.43424,0.74482,0.06173,0.68177,0.40202,0.74089,0.10424,0.78961,0.43004,0.7677,-0.03646,0.91474,0.37153,0.758,0.00417,0.91323,wave
2,0.41883,0.33811,-0.24084,0.99953,0.42272,0.33028,-0.22497,0.99913,0.4253,0.33078,-0.225,0.99881,0.42783,0.33137,-0.22506,0.99873,0.41585,0.32963,-0.2246,0.999,0.41355,0.32973,-0.2247,0.99886,0.41119,0.32997,-0.22475,0.99895,0.43198,0.33878,-0.13212,0.99873,0.40908,0.33658,-0.13265,0.99854,0.42295,0.3506,-0.20625,0.99931,0.41467,0.34964,-0.20671,0.99901,0.45101,0.40864,-0.09622,0.99773,0.37908,0.39193,-0.06353,0.999,0.46183,0.47771,-0.10668,0.77279,0.33149,0.36756,-0.12459,0.98468,0.46462,0.53778,-0.17114,0.45145,0.29085,0.33629,-0.27898,0.97609,0.46702,0.55992,-0.18691,0.35105,0.27726,0.3301,-0.30365,0.94706,0.46538,0.55733,-0.20558,0.36616,0.27762,0.3285,-0.32833,0.95019,0.46128,0.55022,-0.18018,0.36484,0.28202,0.33143,-0.29518,0.95258,0.43608,0.5401,-0.01773,0.99867,0.38882,0.5413,0.01758,0.99921,0.44129,0.64565,-0.05315,0.97119,0.39224,0.64869,-0.03807,0.92824,0.44589,0.73423,0.09454,0.94387,0.40157,0.73195,0.1278,0.9225,0.43975,0.74582,0.10252,0.68399,0.40168,0.74144,0.13907,0.79114,0.45018,0.76779,0.00172,0.9133,0.38042,0.75823,0.04223,0.91315,wave
3,0.41777,0.33842,-0.22585,0.9995,0.42198,0.33083,-0.21033,0.99906,0.42446,0.3313,-0.21036,0.99873,0.4271,0.33199,-0.2104,0.99864,0.41554,0.3305,-0.20937,0.99891,0.41339,0.33072,-0.20946,0.99879,0.41125,0.33108,-0.20952,0.99887,0.43173,0.33931,-0.12024,0.99865,0.40914,0.33727,-0.11742,0.99838,0.42178,0.35099,-0.19222,0.99929,0.41434,0.34994,-0.19175,0.99896,0.45145,0.40619,-0.08687,0.99763,0.38066,0.39155,-0.05121,0.99894,0.45917,0.47408,-0.09698,0.78013,0.33585,0.36847,-0.12473,0.98258,0.46133,0.53659,-0.16785,0.4534,0.29512,0.33743,-0.30051,0.97389,0.46409,0.55701,-0.18502,0.35132,0.28016,0.32889,-0.33157,0.94392,0.46123,0.55512,-0.20304,0.36652,0.28125,0.32664,-0.34998,0.94765,0.45823,0.54757,-0.17709,0.36713,0.28589,0.33043,-0.31546,0.95049,0.43776,0.53937,-0.01876,0.99855,0.39198,0.54037,0.01862,0.99916,0.44124,0.6442,-0.0623,0.97127,0.39322,0.6477,-0.02947,0.92878,0.44817,0.73316,0.10009,0.9442,0.4027,0.73089,0.13823,0.9242,0.44557,0.74472,0.11001,0.68401,0.40685,0.73908,0.14939,0.79509,0.45082,0.76753,0.0085,0.91291,0.38354,0.75794,0.05206,0.91394,wave
4,0.41876,0.33854,-0.23985,0.99954,0.42293,0.3307,-0.22225,0.99912,0.42549,0.33119,-0.22227,0.9988,0.42804,0.33183,-0.22233,0.99873,0.41604,0.33017,-0.22371,0.99899,0.41356,0.33035,-0.22381,0.99887,0.41112,0.33064,-0.22386,0.99895,0.4324,0.339,-0.12334,0.99872,0.40815,0.33636,-0.13145,0.99848,0.42305,0.35115,-0.20291,0.99933,0.41478,0.34979,-0.20578,0.99902,0.45175,0.40596,-0.07566,0.99747,0.37931,0.39201,-0.07238,0.99893,0.45816,0.47389,-0.04784,0.77498,0.33522,0.36889,-0.18839,0.98117,0.45993,0.53411,-0.07454,0.43944,0.29941,0.33505,-0.41584,0.9733,0.46085,0.55262,-0.08383,0.34009,0.28578,0.32388,-0.4564,0.94416,0.45806,0.55035,-0.104,0.35483,0.2861,0.32044,-0.46949,0.94788,0.45455,0.54307,-0.08316,0.35682,0.29081,0.32556,-0.42948,0.95024,0.43858,0.54013,-0.01463,0.99858,0.39278,0.54176,0.0145,0.99917,0.44235,0.64517,-0.05173,0.97237,0.3943,0.64925,0.0159,0.92626,0.44611,0.73404,0.12524,0.94551,0.40253,0.73146,0.2115,0.92413,0.4438,0.74537,0.13708,0.68675,0.40519,0.73996,0.22535,0.79074,0.45063,0.76787,0.03586,0.91466,0.38874,0.75886,0.12485,0.91288,wave
5,0.41934,0.33939,-0.26869,0.99957,0.42308,0.33102,-0.24971,0.99919,0.4256,0.33147,-0.24972,0.9989,0.42817,0.33208,-0.24975,0.99883,0.41637,0.33031,-0.25053,0.99907,0.41394,0.33036,-0.25062,0.99897,0.41156,0.33055,-0.25066,0.99904,0.43255,0.33946,-0.14261,0.99883,0.40851,0.33678,-0.148,0.9986,0.42379,0.35205,-0.22886,0.99938,0.41578,0.35057,-0.23076,0.99909,0.45232,0.40581,-0.08513,0.99751,0.38003,0.39137,-0.07388,0.9989,0.45904,0.4747,-0.05002,0.7878,0.33587,0.36543,-0.15225,0.98126,0.46239,0.53449,-0.08573,0.45606,0.30173,0.32599,-0.34053,0.97433,0.46437,0.55267,-0.09524,0.34742,0.28853,0.31476,-0.37803,0.94629,0.46165,0.55049,-0.11838,0.36237,0.28879,0.31119,-0.3898,0.94989,0.4575,0.54317,-0.09576,0.36515,0.29295,0.3156,-0.35351,0.95186,0.43954,0.53999,-0.01423,0.9986,0.39354,0.54205,0.0141,0.99919,0.44302,0.64584,-0.05781,0.9739,0.39314,0.64984,0.01374,0.93014,0.44509,0.73593,0.1094,0.94862,0.4017,0.73189,0.18725,0.92882,0.44196,0.74659,0.12263,0.70125,0.4042,0.74491,0.20093,0.80064,0.4525,0.7705,0.01832,0.91923,0.38799,0.75902,0.11149,0.91742,wave
6,0.41918,0.33755,-0.25587,0.99961,0.42276,0.32975,-0.23652,0.99927,0.42514,0.33027,-0.23653,0.999,0.4277,0.33096,-0.23657,0.99894,0.41614,0.32889,-0.23735,0.99916,0.4137,0.32892,-0.23745,0.99907,0.41129,0.32912,-0.23749,0.99913,0.43182,0.33838,-0.13049,0.99893,0.40821,0.33548,-0.13592,0.99873,0.42365,0.34988,-0.21658,0.99944,0.41541,0.34865,-0.21866,0.99917,0.45189,0.40521,-0.07856,0.99765,0.37954,0.39123,-0.06619,0.99888,0.45954,0.47295,-0.04737,0.80106,0.33732,0.36651,-0.16788,0.98141,0.46191,0.53413,-0.08262,0.47513,0.30827,0.31735,-0.37926,0.97536,0.46464,0.55236,-0.09117,0.3595,0.29523,0.30362,-0.4169,0.94846,0.4604,0.55039,-0.11283,0.37399,0.29713,0.29998,-0.42475,0.95175,0.45669,0.54314,-0.09156,0.37592,0.30164,0.30514,-0.39037,0.95316,0.44021,0.53925,-0.01401,0.99869,0.394,0.54175,0.01386,0.99924,0.44432,0.64536,-0.10309,0.97557,0.39332,0.65041,-0.01675,0.93308,0.44441,0.73571,0.09069,0.95152,0.40359,0.73239,0.18082,0.93264,0.44078,0.74586,0.10679,0.71324,0.40652,0.74505,0.1944,0.80806,0.45204,0.77043,-0.0077,0.92353,0.39146,0.75936,0.09394,0.92083,wave
7,0.41957,0.33829,-0.26081,0.99964,0.42303,0.33048,-0.24016,0.99932,0.42534,0.33102,-0.24016,0.99908,0.42775,0.3317,-0.24021,0.99901,0.41651,0.3294,-0.24269,0.99922,0.41406,0.32932,-0.24278,0.99914,0.41163,0.32947,-0.24282,0.99919,0.43147,0.33867,-0.12964,0.99901,0.40817,0.33566,-0.14187,0.99882,0.42409,0.35006,-0.21981,0.99948,0.41572,0.34868,-0.22392,0.99923,0.45155,0.40553,-0.07231,0.99769,0.37986,0.39107,-0.08248,0.99889,0.45988,0.47199,-0.02028,0.80838,0.33912,0.3646,-0.17871,0.98222,0.46033,0.53327,-0.04525,0.48133,0.31495,0.30988,-0.36352,0.97617,0.46189,0.55157,-0.05117,0.36091,0.30388,0.29433,-0.40208,0.94965,0.45813,0.54909,-0.07303,0.37476,0.30609,0.28985,-0.40905,0.95257,0.45528,0.54255,-0.05439,0.37655,0.3108,0.297,-0.37401,0.9535,0.43963,0.53921,-0.00677,0.99874,0.39383,0.5411,0.00662,0.99926,0.44238,0.64579,-0.05854,0.97648,0.39269,0.65079,-0.02358,0.93598,0.44548,0.73668,0.11286,0.95361,0.40181,0.73279,0.16908,0.93556,0.44103,0.74654,0.12372,0.71826,0.41,0.74309,0.18203,0.80899,0.45475,0.77153,0.00974,0.9264,0.39076,0.76105,0.06675,0.92357,wave
8,0.41957,0.34006,-0.25607,0.99967,0.42266,0.33195,-0.23591,0.99938,0.42481,0.33247,-0.23589,0.99916,0.42713,0.33311,-0.23593,0.9991,0.41632,0.33059,-0.23796,0.99929,0.41386,0.33036,-0.23805,0.99921,0.41142,0.33036,-0.23808,0.99926,0.43072,0.33991,-0.12754,0.99909,0.40753,0.33637,-0.1376,0.99893,0.42403,0.35129,-0.21593,0.99952,0.41563,0.34989,-0.21934,0.99929,0.4517,0.40558,-0.06659,0.99778,0.37997,0.39064,-0.08627,0.99894,0.45953,0.47097,-0.01934,0.81717,0.34121,0.36513,-0.21201,0.98328,0.46077,0.53281,-0.03962,0.50001,0.32137,0.30725,-0.41807,0.97779,0.46199,0.5509,-0.04371,0.37522,0.31282,0.29017,-0.46007,0.95272,0.45888,0.54864,-0.0645,0.38847,0.31575,0.28468,-0.4622,0.95528,0.45617,0.54187,-0.04805,0.38923,0.31987,0.29201,-0.4271,0.95581,0.43925,0.53862,-0.00597,0.99883,0.39361,0.54005,0.0058,0.99931,0.4417,0.64581,-0.04838,0.97801,0.3927,0.65085,-0.00403,0.94017,0.44629,0.73775,0.10756,0.95686,0.40144,0.73525,0.17529,0.93989,0.44156,0.74869,0.11681,0.7289,0.41198,0.74338,0.18684,0.81481,0.45626,0.77213,0.00511,0.93131,0.39044,0.76483,0.07606,0.92821,wave
9,0.41902,0.34141,-0.25036,0.99969,0.42203,0.33309,-0.23445,0.99942,0.42412,0.33346,-0.23439,0.99921,0.42639,0.33393,-0.23439,0.99916,0.41556,0.33215,-0.23542,0.99934,0.41301,0.33201,-0.23552,0.99927,0.41052,0.33208,-0.23558,0.99931,0.43021,0.34052,-0.11935,0.99915,0.4069,0.33779,-0.13409,0.999,0.42369,0.35225,-0.21291,0.99955,0.4152,0.35126,-0.21379,0.99933,0.45241,0.40623,-0.06118,0.99784,0.38011,0.39147,-0.07849,0.99895,0.45982,0.47107,-0.04071,0.82541,0.34404,0.36415,-0.211,0.98422,0.46075,0.53181,-0.1003,0.51704,0.3286,0.29945,-0.41167,0.97925,0.46201,0.55016,-0.11135,0.38884,0.32186,0.27878,-0.45352,0.95541,0.45871,0.54715,-0.12893,0.4014,0.32436,0.27341,-0.45346,0.95761,0.45617,0.54079,-0.10855,0.40131,0.32784,0.27976,-0.41968,0.95779,0.43908,0.53901,-0.00673,0.9989,0.39368,0.54012,0.00659,0.99935,0.44246,0.64602,-0.05214,0.97867,0.39259,0.651,-0.01306,0.9436,0.44632,0.73802,0.09267,0.95855,0.40101,0.7373,0.15546,0.94281,0.44082,0.74951,0.10054,0.73528,0.41056,0.74913,0.16579,0.81899,0.45735,0.7721,-0.01256,0.93362,0.39144,0.76584,0.05974,0.93089,wave
10,0.41842,0.33846,-0.22315,0.99971,0.42164,0.33082,-0.20237,0.99945,0.42375,0.33127,-0.20233,0.99925,0.42603,0.33183,-0.20235,0.9992,0.41504,0.33007,-0.20521,0.99937,0.41243,0.33014,-0.20528,0.9993,0.40982,0.3304,-0.2053,0.99934,0.42998,0.3393,-0.09461,0.99919,0.40623,0.33697,-0.10912,0.99904,0.42322,0.34968,-0.18478,0.99957,0.41448,0.34885,-0.18886,0.99935,0.45157,0.40677,-0.04088,0.99793,0.37912,0.39129,-0.0749,0.99895,0.45935,0.47191,-0.02667,0.83453,0.3446,0.35944,-0.2323,0.9851,0.46112,0.53204,-0.06046,0.54078,0.33954,0.29307,-0.43559,0.98035,0.46251,0.55089,-0.06752,0.40983,0.33589,0.27184,-0.48017,0.95714,0.45914,0.54832,-0.08635,0.42157,0.33762,0.26801,-0.47301,0.95886,0.45615,0.54107,-0.06864,0.41968,0.34038,0.27648,-0.44134,0.95853,0.43919,0.53872,-0.00564,0.99896,0.39389,0.54012,0.00551,0.99938,0.44225,0.64596,-0.04575,0.97919,0.39269,0.6511,-0.01262,0.94615,0.44641,0.73898,0.09259,0.95973,0.40131,0.73942,0.14466,0.94538,0.44106,0.75074,0.09976,0.7365,0.4091,0.75267,0.1535,0.82118,0.45735,0.77456,-0.01385,0.93525,0.39158,0.76859,0.04677,0.93364,wave
