count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.39193,0.32889,-0.21279,0.99918,0.39543,0.31965,-0.19707,0.99814,0.39776,0.31994,-0.19713,0.99803,0.40009,0.32042,-0.19713,0.99786,0.38863,0.31957,-0.19498,0.99758,0.38604,0.31973,-0.195,0.99765,0.38372,0.32008,-0.19505,0.99758,0.40361,0.32689,-0.10472,0.99753,0.3823,0.32603,-0.09769,0.99617,0.39628,0.33919,-0.17849,0.99895,0.38768,0.3395,-0.17645,0.99843,0.42731,0.38812,-0.06451,0.99788,0.35779,0.38873,-0.01979,0.9975,0.43385,0.45335,-0.05524,0.87446,0.31099,0.40021,0.00025,0.96484,0.43666,0.5215,-0.11537,0.63989,0.2568,0.40158,-0.09171,0.90652,0.43618,0.53918,-0.13488,0.50253,0.24241,0.40673,-0.11379,0.84234,0.43158,0.53814,-0.1605,0.51632,0.24231,0.40581,-0.14096,0.85027,0.42732,0.53106,-0.12831,0.51261,0.24729,0.40495,-0.10709,0.85188,0.41833,0.5416,-0.01344,0.99824,0.37679,0.54239,0.01334,0.99835,0.42092,0.64951,-0.02628,0.98169,0.38147,0.65199,0.00926,0.96127,0.42041,0.74253,0.15374,0.96825,0.39052,0.74063,0.18599,0.96095,0.41866,0.75141,0.16505,0.76918,0.39425,0.74964,0.19766,0.82685,0.42318,0.7751,0.05231,0.95312,0.385,0.76919,0.09231,0.9497,wave
2,0.38623,0.32669,-0.18871,0.99899,0.38956,0.31688,-0.17524,0.99749,0.39215,0.31708,-0.17531,0.99747,0.39489,0.3175,-0.17532,0.99697,0.38274,0.3173,-0.17161,0.99658,0.38034,0.31769,-0.17164,0.99682,0.3779,0.31832,-0.17169,0.99676,0.39918,0.32348,-0.08753,0.99647,0.37655,0.32413,-0.07265,0.99498,0.39114,0.33693,-0.1558,0.9987,0.38312,0.33754,-0.15148,0.99814,0.42375,0.38337,-0.05206,0.99794,0.35558,0.38776,0.00427,0.99756,0.42486,0.44249,-0.05236,0.86046,0.30829,0.40552,0.02666,0.96491,0.42386,0.50305,-0.13845,0.6336,0.25457,0.40204,-0.06801,0.91212,0.41725,0.51103,-0.16241,0.49743,0.23994,0.40657,-0.09024,0.85136,0.41461,0.50806,-0.18192,0.51131,0.23964,0.40346,-0.11706,0.85962,0.41235,0.50124,-0.14924,0.50721,0.24499,0.40265,-0.08342,0.86129,0.41491,0.54177,-0.01405,0.99809,0.37533,0.54243,0.01396,0.99818,0.41784,0.64979,-0.01894,0.98073,0.38053,0.65095,0.01756,0.96065,0.41844,0.74502,0.16473,0.9677,0.38897,0.74186,0.20059,0.9604,0.41606,0.75378,0.17698,0.76509,0.39288,0.75059,0.21337,0.82057,0.42188,0.77656,0.07121,0.95294,0.38355,0.77077,0.11114,0.94919,wave
3,0.38425,0.3248,-0.19861,0.99904,0.38832,0.315,-0.18492,0.99762,0.39109,0.31533,-0.18497,0.99759,0.39395,0.31588,-0.18499,0.99712,0.38141,0.31515,-0.1819,0.99673,0.37938,0.31551,-0.18194,0.99697,0.37728,0.31616,-0.182,0.99693,0.3984,0.32252,-0.09519,0.99661,0.37655,0.32311,-0.08367,0.99523,0.38995,0.33614,-0.16507,0.99878,0.3814,0.33622,-0.16178,0.99825,0.424,0.38513,-0.04846,0.99803,0.35604,0.38749,-0.01649,0.99773,0.42658,0.44772,-0.01691,0.85111,0.30762,0.4036,-0.03722,0.96661,0.42774,0.5117,-0.06221,0.63037,0.25522,0.39594,-0.17677,0.91902,0.42676,0.52461,-0.07517,0.49428,0.24112,0.39737,-0.20471,0.86256,0.42377,0.52245,-0.09701,0.50828,0.24081,0.39487,-0.22692,0.87054,0.4224,0.5143,-0.0722,0.50473,0.24586,0.39531,-0.19159,0.87209,0.41364,0.54197,-0.01248,0.99817,0.37395,0.54253,0.01233,0.99825,0.41693,0.6502,-0.01445,0.9809,0.37948,0.65111,0.01911,0.96137,0.41782,0.74563,0.17921,0.96873,0.38873,0.74298,0.21089,0.96123,0.41553,0.75468,0.19259,0.76922,0.393,0.75144,0.22502,0.81663,0.4215,0.77784,0.08608,0.95472,0.38438,0.77436,0.12025,0.95066,wave
4,0.38251,0.32279,-0.20017,0.99913,0.38756,0.31326,-0.18559,0.99784,0.39073,0.31376,-0.18568,0.99781,0.39377,0.31446,-0.18573,0.99737,0.37996,0.31296,-0.18659,0.99703,0.37789,0.31314,-0.18664,0.99725,0.37603,0.3136,-0.18671,0.99721,0.39864,0.32113,-0.09845,0.99692,0.37543,0.32091,-0.09263,0.99566,0.38833,0.33534,-0.16583,0.99889,0.37918,0.33465,-0.16741,0.99841,0.42282,0.38563,-0.05067,0.99817,0.35322,0.3868,-0.02602,0.99789,0.4305,0.45179,-0.00784,0.85417,0.3045,0.40127,-0.08965,0.96849,0.43312,0.5125,-0.03676,0.64239,0.26086,0.37974,-0.28596,0.92558,0.43345,0.52686,-0.04429,0.50598,0.24556,0.37421,-0.32025,0.87314,0.42951,0.52478,-0.06705,0.52005,0.2462,0.37006,-0.33878,0.88066,0.42769,0.51962,-0.04609,0.51672,0.25147,0.37319,-0.30056,0.88197,0.41331,0.54207,-0.0124,0.9983,0.37403,0.54262,0.01225,0.99837,0.41601,0.65122,-0.01949,0.98143,0.37893,0.6521,0.0193,0.96165,0.41797,0.74622,0.16872,0.96964,0.38827,0.74354,0.20935,0.96166,0.41496,0.75574,0.18128,0.76868,0.39212,0.75215,0.22285,0.81258,0.42213,0.7795,0.07139,0.95614,0.38454,0.77661,0.11518,0.95173,wave
5,0.38199,0.323,-0.21478,0.9992,0.38731,0.31344,-0.19558,0.99802,0.39053,0.31402,-0.19562,0.99799,0.39358,0.31475,-0.19566,0.9976,0.37931,0.3127,-0.19565,0.9973,0.37691,0.31273,-0.19571,0.99749,0.37497,0.31302,-0.19576,0.99746,0.39839,0.32159,-0.10049,0.99718,0.3747,0.32005,-0.09645,0.99601,0.38823,0.33612,-0.17666,0.99898,0.37828,0.33515,-0.17746,0.99854,0.42185,0.38633,-0.05174,0.99819,0.35134,0.38709,-0.03534,0.99796,0.43136,0.45369,-0.0164,0.8468,0.30143,0.38826,-0.16263,0.96895,0.43358,0.51414,-0.05016,0.63098,0.2654,0.35003,-0.3987,0.9284,0.43382,0.52879,-0.0585,0.49554,0.2527,0.34403,-0.44081,0.87727,0.43029,0.52613,-0.0797,0.50954,0.25501,0.34207,-0.45014,0.88447,0.42838,0.52135,-0.05894,0.50633,0.25919,0.34401,-0.41079,0.88523,0.41333,0.54211,-0.01158,0.99838,0.37409,0.54268,0.01142,0.99843,0.415,0.65211,-0.02032,0.98147,0.37913,0.65339,0.01747,0.95953,0.41656,0.7466,0.17756,0.9697,0.38782,0.74513,0.20601,0.9601,0.41371,0.75605,0.19097,0.76285,0.39075,0.75369,0.21894,0.80221,0.42126,0.78079,0.07626,0.95596,0.38423,0.77707,0.11027,0.95006,wave
6,0.38333,0.32263,-0.21808,0.99927,0.38806,0.31321,-0.19791,0.99819,0.39098,0.31363,-0.19794,0.99814,0.39376,0.31419,-0.19798,0.99778,0.37978,0.31266,-0.19815,0.99753,0.37726,0.31275,-0.19822,0.99771,0.37488,0.31312,-0.19827,0.99768,0.39756,0.32073,-0.10158,0.99739,0.37316,0.31995,-0.09834,0.99635,0.38943,0.33499,-0.17996,0.99906,0.37905,0.33478,-0.1807,0.99866,0.42119,0.38431,-0.04929,0.99821,0.35101,0.38595,-0.04171,0.99809,0.43019,0.44952,-0.00503,0.83828,0.30323,0.37992,-0.16591,0.97126,0.43322,0.51369,-0.02834,0.60914,0.26801,0.32608,-0.38276,0.93402,0.43441,0.53044,-0.03536,0.47621,0.25894,0.31293,-0.42573,0.8856,0.43147,0.52889,-0.05707,0.4897,0.26339,0.30849,-0.4306,0.89202,0.42954,0.52311,-0.0377,0.48735,0.26509,0.31235,-0.39327,0.89219,0.41341,0.54155,-0.01157,0.99847,0.37355,0.542,0.01141,0.99852,0.41457,0.65268,-0.02189,0.98198,0.37938,0.65434,0.02262,0.95981,0.41653,0.74669,0.17096,0.97045,0.38811,0.74501,0.21853,0.95995,0.41349,0.75587,0.18371,0.76189,0.39046,0.75282,0.23236,0.79826,0.42038,0.78077,0.06883,0.95682,0.38405,0.77647,0.11776,0.95045,wave
7,0.38336,0.32369,-0.23177,0.99931,0.38737,0.31392,-0.21236,0.9983,0.38999,0.31425,-0.21236,0.99822,0.39247,0.31475,-0.2124,0.99789,0.37981,0.31354,-0.21411,0.99772,0.37726,0.31365,-0.21419,0.99788,0.37481,0.31399,-0.21426,0.99787,0.39602,0.32137,-0.10812,0.9975,0.37247,0.32056,-0.11484,0.99662,0.38899,0.33548,-0.19262,0.99911,0.37924,0.33547,-0.19539,0.99874,0.4203,0.38463,-0.04768,0.998,0.34933,0.38478,-0.07684,0.99819,0.42956,0.45047,0.00572,0.82071,0.30601,0.3738,-0.23635,0.97351,0.43342,0.51548,0.00498,0.58404,0.2865,0.31375,-0.46593,0.93993,0.43436,0.53211,0.00252,0.45535,0.28047,0.29353,-0.51381,0.89525,0.43155,0.53066,-0.01872,0.46774,0.28456,0.28982,-0.51373,0.90088,0.42894,0.52506,-0.00358,0.46579,0.28734,0.29589,-0.47433,0.90039,0.41312,0.54148,-0.00925,0.99857,0.37308,0.5413,0.0091,0.99862,0.41461,0.65292,-0.02885,0.98249,0.3797,0.65505,0.02512,0.96038,0.41675,0.7503,0.14884,0.97118,0.38828,0.74555,0.22177,0.96002,0.4132,0.75944,0.16008,0.76556,0.39057,0.75398,0.2357,0.79677,0.42259,0.78346,0.03981,0.95764,0.38399,0.77679,0.12036,0.95063,wave
8,0.37981,0.32425,-0.23102,0.99935,0.38337,0.31427,-0.21154,0.99841,0.38575,0.31449,-0.21154,0.99831,0.38817,0.3149,-0.21157,0.99801,0.37678,0.31417,-0.21296,0.99788,0.37453,0.31434,-0.21303,0.99803,0.37228,0.31472,-0.21309,0.99802,0.39228,0.32147,-0.10729,0.99765,0.3707,0.32113,-0.11312,0.99684,0.38506,0.33537,-0.19223,0.99917,0.3765,0.33563,-0.19467,0.99882,0.41914,0.38493,-0.04375,0.99799,0.34819,0.38436,-0.07805,0.99824,0.42812,0.45091,0.00231,0.81951,0.30725,0.36715,-0.25213,0.97531,0.43388,0.51662,0.00158,0.58066,0.30103,0.29763,-0.48536,0.94502,0.43472,0.53365,-0.00155,0.45086,0.29904,0.2729,-0.53555,0.90343,0.43183,0.53222,-0.02301,0.46205,0.30333,0.27954,-0.53073,0.90823,0.42905,0.52629,-0.00693,0.46012,0.30405,0.28099,-0.49254,0.90703,0.41275,0.54033,-0.00713,0.99866,0.3729,0.54041,0.00698,0.99872,0.4147,0.65287,-0.03347,0.9831,0.37953,0.65506,0.02235,0.96109,0.41723,0.7497,0.14962,0.97163,0.38841,0.74538,0.21939,0.96038,0.41392,0.75887,0.16097,0.7643,0.39054,0.75397,0.23323,0.79408,0.42115,0.78283,0.04125,0.95774,0.38416,0.77665,0.1168,0.95104,wave
9,0.37742,0.32461,-0.23111,0.99939,0.38071,0.31453,-0.21174,0.9985,0.38295,0.31464,-0.21173,0.99839,0.38524,0.31496,-0.21175,0.99813,0.37441,0.31466,-0.2123,0.99801,0.3722,0.31484,-0.21237,0.99814,0.36994,0.31519,-0.21243,0.99815,0.39026,0.32141,-0.10878,0.99779,0.36982,0.3216,-0.1121,0.997,0.38312,0.3351,-0.19388,0.99923,0.37439,0.33584,-0.19503,0.9989,0.41732,0.38464,-0.05659,0.9981,0.34859,0.38342,-0.07585,0.99831,0.42671,0.45096,-0.02586,0.8296,0.31263,0.35015,-0.24696,0.97724,0.43472,0.51733,-0.02383,0.59104,0.31807,0.28979,-0.45075,0.94935,0.43569,0.53453,-0.03091,0.45956,0.31889,0.26882,-0.50158,0.90955,0.43253,0.53288,-0.05228,0.46911,0.3225,0.26801,-0.49067,0.91335,0.42948,0.5269,-0.03284,0.4673,0.32322,0.27753,-0.45629,0.91155,0.41211,0.54039,-0.0087,0.99877,0.37239,0.54052,0.00853,0.99881,0.41423,0.65414,-0.03668,0.98395,0.37935,0.65588,0.04087,0.96246,0.41834,0.74934,0.16416,0.97248,0.3886,0.74532,0.27165,0.9615,0.41526,0.7585,0.17804,0.76217,0.39069,0.75396,0.28858,0.79617,0.41879,0.78242,0.0457,0.95866,0.38366,0.77662,0.17054,0.95256,wave
10,0.37639,0.32359,-0.22978,0.99938,0.37941,0.31344,-0.21117,0.9985,0.38165,0.31349,-0.21116,0.99834,0.38392,0.31375,-0.21118,0.99817,0.37279,0.31389,-0.21137,0.99797,0.3704,0.31424,-0.21144,0.99805,0.36796,0.31476,-0.21149,0.9981,0.38877,0.32042,-0.10862,0.99784,0.36736,0.32147,-0.11158,0.99682,0.3823,0.33397,-0.19277,0.99925,0.37307,0.3351,-0.19379,0.99889,0.4166,0.38309,-0.05847,0.99819,0.3476,0.38097,-0.0743,0.99823,0.42587,0.44968,-0.02614,0.83711,0.31818,0.34247,-0.21189,0.97868,0.43486,0.51766,-0.02832,0.59282,0.33579,0.28281,-0.39798,0.95123,0.43581,0.53508,-0.0367,0.46151,0.337,0.26563,-0.4924,0.90936,0.43282,0.53345,-0.06007,0.47017,0.34134,0.26953,-0.41455,0.9115,0.42975,0.52746,-0.03817,0.46791,0.34321,0.27671,-0.38963,0.90818,0.41225,0.5389,-0.00925,0.99885,0.37168,0.53895,0.00911,0.99888,0.41387,0.65396,-0.04133,0.98439,0.37876,0.65531,0.03543,0.96347,0.41874,0.74916,0.16377,0.97299,0.3886,0.74516,0.26868,0.96199,0.41596,0.75824,0.17786,0.75834,0.39059,0.75342,0.2861,0.79531,0.41788,0.78214,0.04529,0.95923,0.38303,0.77648,0.16574,0.95353,wave
