count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.47673,0.39088,-0.20534,0.99928,0.48063,0.38348,-0.19342,0.99785,0.48315,0.38344,-0.19344,0.99771,0.48566,0.38352,-0.19345,0.99744,0.47353,0.38445,-0.19021,0.99715,0.47116,0.38499,-0.19028,0.99738,0.46919,0.38559,-0.19031,0.99763,0.49064,0.38952,-0.10665,0.99636,0.46911,0.39071,-0.09843,0.99556,0.48186,0.40007,-0.17417,0.99882,0.47313,0.40022,-0.17036,0.99835,0.51118,0.4379,-0.05227,0.99776,0.45354,0.43394,-0.0311,0.99869,0.51868,0.50308,-0.02955,0.7769,0.4093,0.42017,-0.00925,0.98335,0.52183,0.56366,-0.10261,0.55217,0.37076,0.40691,-0.0903,0.97464,0.52178,0.58237,-0.11694,0.44329,0.35964,0.40439,-0.11085,0.94164,0.51727,0.5809,-0.14042,0.45633,0.35967,0.4027,-0.12784,0.943,0.51594,0.57391,-0.11375,0.46351,0.36366,0.40495,-0.10168,0.94223,0.49451,0.564,-0.00788,0.99883,0.45972,0.56562,0.00783,0.999,0.49614,0.6591,-0.04645,0.98483,0.47601,0.66504,-0.02358,0.96886,0.50002,0.74857,0.13347,0.97315,0.48155,0.75342,0.12588,0.96639,0.49842,0.75727,0.14708,0.78398,0.48261,0.76186,0.13615,0.80871,0.50255,0.77894,0.04533,0.96471,0.48534,0.78046,0.03332,0.96211,wave
2,0.48229,0.39576,-0.14943,0.99928,0.48575,0.38938,-0.13681,0.99791,0.48791,0.38951,-0.13682,0.99779,0.4901,0.38969,-0.13682,0.99754,0.47946,0.38991,-0.13323,0.99711,0.4774,0.39028,-0.13326,0.99733,0.47547,0.39064,-0.13327,0.99757,0.49468,0.39478,-0.06447,0.99652,0.47463,0.39506,-0.05024,0.99535,0.48651,0.40416,-0.12293,0.99887,0.47853,0.40407,-0.11879,0.99837,0.51499,0.44084,-0.04004,0.99795,0.45989,0.4397,0.01905,0.99865,0.52023,0.50606,-0.0263,0.79434,0.41671,0.42782,0.04992,0.98345,0.51739,0.56551,-0.08874,0.58741,0.37405,0.41308,-0.01416,0.97424,0.51806,0.584,-0.10405,0.47942,0.3628,0.41099,-0.03063,0.93968,0.51549,0.58563,-0.12439,0.49262,0.36271,0.40942,-0.04988,0.94186,0.51405,0.57797,-0.09817,0.49773,0.36648,0.41127,-0.02631,0.94173,0.50681,0.56687,-0.01275,0.99877,0.47269,0.57045,0.01273,0.99891,0.50186,0.66378,-0.03981,0.9834,0.48146,0.6662,-0.01216,0.96639,0.50709,0.74878,0.11742,0.97085,0.49043,0.75349,0.13052,0.96086,0.50741,0.75801,0.12801,0.76775,0.49326,0.76265,0.14014,0.78983,0.50335,0.77808,0.03077,0.96091,0.4879,0.7803,0.04851,0.95674,wave
3,0.48162,0.3934,-0.15202,0.99932,0.48573,0.38673,-0.1462,0.99807,0.4879,0.38695,-0.14621,0.99796,0.49038,0.38734,-0.14636,0.99774,0.47926,0.38708,-0.15076,0.99731,0.4772,0.38748,-0.15085,0.9975,0.47522,0.38798,-0.15085,0.9977,0.49522,0.39384,-0.08931,0.9968,0.47422,0.39335,-0.09338,0.99561,0.48644,0.40304,-0.14235,0.99895,0.47814,0.40334,-0.14722,0.99847,0.51654,0.44395,-0.05526,0.99808,0.45634,0.441,-0.03383,0.99862,0.52122,0.50881,-0.04488,0.8077,0.41319,0.42814,-0.07637,0.98312,0.52396,0.56673,-0.10928,0.6149,0.3745,0.40903,-0.22441,0.97283,0.52565,0.58537,-0.12558,0.50632,0.36256,0.40683,-0.25241,0.9373,0.52212,0.58769,-0.14675,0.52053,0.36271,0.40413,-0.26957,0.94023,0.52062,0.58045,-0.11901,0.52341,0.36673,0.40606,-0.23735,0.9406,0.50824,0.56628,-0.00604,0.99871,0.47321,0.56873,0.00597,0.99887,0.50051,0.66365,-0.01579,0.98127,0.47958,0.66545,-0.00834,0.95956,0.50544,0.7492,0.12641,0.96739,0.48649,0.75336,0.13227,0.95317,0.5057,0.75806,0.14039,0.75711,0.48701,0.76257,0.14069,0.76164,0.50395,0.77576,0.04664,0.95582,0.48627,0.77789,0.03559,0.94811,wave
4,0.4816,0.39191,-0.19069,0.99937,0.48558,0.38512,-0.18072,0.99822,0.48789,0.38532,-0.18071,0.99812,0.49013,0.38565,-0.1808,0.99793,0.47932,0.38581,-0.18069,0.99751,0.47735,0.38637,-0.18078,0.99768,0.47546,0.38697,-0.18081,0.99785,0.49489,0.39303,-0.10938,0.99707,0.47437,0.39383,-0.10693,0.9959,0.48674,0.40165,-0.1698,0.99903,0.47792,0.40194,-0.17041,0.99858,0.51733,0.44729,-0.06663,0.99812,0.45721,0.44225,-0.04957,0.99861,0.51975,0.51299,-0.04933,0.81197,0.41049,0.42363,-0.09289,0.98282,0.52281,0.5695,-0.10077,0.61459,0.37353,0.40253,-0.22626,0.9704,0.52417,0.58666,-0.11381,0.50122,0.36339,0.39944,-0.2537,0.9323,0.52098,0.5878,-0.13461,0.51669,0.36457,0.39599,-0.27005,0.93599,0.51911,0.58068,-0.11036,0.51853,0.36803,0.39872,-0.23889,0.93716,0.50787,0.56614,-0.00637,0.9987,0.47293,0.56778,0.00628,0.99888,0.49985,0.66404,-0.00894,0.9785,0.47986,0.66492,-0.00084,0.9542,0.50602,0.74963,0.13431,0.96595,0.48451,0.75241,0.14257,0.94799,0.50505,0.75822,0.14552,0.74708,0.48357,0.76173,0.15121,0.74146,0.50262,0.77595,0.04602,0.95311,0.4833,0.77545,0.04599,0.94252,wave
5,0.48148,0.39349,-0.1883,0.99942,0.48521,0.3867,-0.17553,0.99837,0.48765,0.38678,-0.17553,0.99827,0.49011,0.38698,-0.17557,0.9981,0.47885,0.38731,-0.17325,0.99771,0.47684,0.38779,-0.17332,0.99785,0.47498,0.38828,-0.17336,0.99801,0.49485,0.3938,-0.10061,0.99731,0.47392,0.39441,-0.09091,0.99619,0.48685,0.40273,-0.16147,0.99911,0.47789,0.40293,-0.15937,0.99868,0.51724,0.44645,-0.06359,0.99818,0.45804,0.44445,-0.038,0.99861,0.51977,0.51107,-0.04106,0.81483,0.41389,0.4229,-0.08871,0.98233,0.52229,0.56953,-0.08865,0.61298,0.37795,0.39627,-0.22068,0.96883,0.52387,0.5866,-0.10093,0.49612,0.36843,0.39093,-0.2484,0.92902,0.52034,0.58727,-0.12069,0.5124,0.36947,0.38746,-0.26268,0.9332,0.51839,0.58044,-0.09772,0.51346,0.37283,0.39038,-0.23271,0.93504,0.50747,0.56582,-0.00682,0.99873,0.47327,0.56723,0.00673,0.99891,0.49983,0.66415,-0.01283,0.9762,0.47958,0.66514,0.00149,0.94931,0.50596,0.7507,0.12561,0.96488,0.48499,0.75225,0.13737,0.94307,0.50493,0.75999,0.1344,0.73703,0.48416,0.76167,0.14549,0.7233,0.50292,0.77642,0.0342,0.95098,0.48407,0.7749,0.04219,0.93716,wave
6,0.4807,0.39388,-0.18409,0.99945,0.48441,0.38714,-0.1708,0.99849,0.48698,0.3872,-0.1708,0.9984,0.48952,0.38737,-0.17085,0.99825,0.47803,0.38794,-0.16848,0.99786,0.47613,0.38847,-0.16855,0.99799,0.47447,0.389,-0.16859,0.99813,0.49434,0.39391,-0.09248,0.99754,0.47406,0.39492,-0.08365,0.99641,0.48646,0.4028,-0.15511,0.99917,0.47733,0.40311,-0.15297,0.99875,0.51643,0.44558,-0.04992,0.99823,0.45844,0.44409,-0.03578,0.99852,0.5186,0.51029,-0.03857,0.81384,0.4174,0.42267,-0.10466,0.98059,0.52095,0.56889,-0.08499,0.60893,0.38306,0.39367,-0.26285,0.96573,0.5229,0.58564,-0.09467,0.48894,0.37325,0.38455,-0.29433,0.92383,0.51974,0.58679,-0.11033,0.5063,0.37513,0.38054,-0.30488,0.9283,0.5178,0.58014,-0.09131,0.50589,0.37814,0.38448,-0.27397,0.93044,0.50735,0.56466,-0.00487,0.99876,0.47308,0.56603,0.00475,0.99894,0.50034,0.66424,-0.01483,0.97245,0.4798,0.66496,-0.00978,0.94113,0.50586,0.75095,0.11922,0.96258,0.4851,0.75209,0.11968,0.93511,0.50462,0.76043,0.12758,0.72346,0.48415,0.76163,0.12723,0.69627,0.5032,0.77643,0.02537,0.94705,0.48514,0.77462,0.02074,0.92863,wave
7,0.48088,0.3934,-0.18234,0.99949,0.48449,0.38663,-0.1682,0.99863,0.48702,0.3867,-0.1682,0.99854,0.48952,0.38688,-0.16824,0.99841,0.47808,0.38743,-0.16674,0.99805,0.47617,0.38796,-0.16681,0.99816,0.47447,0.38849,-0.16685,0.99828,0.49424,0.39336,-0.08637,0.99776,0.47391,0.39451,-0.08186,0.99671,0.48675,0.40239,-0.15211,0.99925,0.47745,0.40265,-0.15115,0.99884,0.51671,0.44524,-0.04,0.99833,0.45711,0.44323,-0.03641,0.99853,0.51898,0.51033,-0.02343,0.81877,0.41759,0.4223,-0.13831,0.98055,0.52084,0.56833,-0.05931,0.61944,0.38849,0.38572,-0.3216,0.96572,0.52307,0.58654,-0.06675,0.49617,0.38214,0.37446,-0.35708,0.92378,0.51972,0.5878,-0.0847,0.51412,0.38504,0.36959,-0.36137,0.92789,0.51784,0.58092,-0.06657,0.51096,0.38721,0.3739,-0.33072,0.92955,0.50764,0.56411,-0.00387,0.99882,0.47308,0.56561,0.00372,0.99899,0.4999,0.66442,-0.01743,0.9692,0.47927,0.66482,-0.01034,0.93055,0.50567,0.75121,0.11073,0.95971,0.48473,0.75198,0.11793,0.92593,0.50444,0.76047,0.11866,0.70944,0.48347,0.7614,0.12551,0.67063,0.50314,0.77651,0.01724,0.94294,0.48421,0.77403,0.02079,0.91974,wave
8,0.48054,0.39311,-0.18141,0.99954,0.48396,0.38621,-0.16625,0.99875,0.48649,0.38624,-0.16625,0.99867,0.48902,0.38637,-0.16628,0.99855,0.47747,0.38711,-0.1656,0.99822,0.47555,0.38764,-0.16567,0.99832,0.47383,0.38817,-0.16571,0.99843,0.49377,0.39289,-0.08158,0.99797,0.47298,0.39432,-0.08051,0.99699,0.48646,0.40212,-0.15052,0.99931,0.47708,0.40254,-0.15052,0.99894,0.51632,0.44467,-0.03198,0.99844,0.45687,0.44353,-0.03729,0.99858,0.51878,0.51011,-0.00562,0.82696,0.41691,0.42091,-0.15047,0.98166,0.52165,0.5688,-0.03067,0.63214,0.40055,0.37332,-0.32873,0.96697,0.52333,0.58665,-0.03729,0.5046,0.39657,0.35931,-0.36577,0.92535,0.52005,0.5878,-0.05595,0.52243,0.40058,0.35649,-0.36371,0.92865,0.51829,0.58085,-0.03829,0.5166,0.40248,0.36051,-0.33541,0.92966,0.50797,0.56378,-0.00176,0.99887,0.47357,0.56546,0.0016,0.99904,0.50007,0.66447,-0.01439,0.96637,0.47948,0.66479,-0.0118,0.92266,0.50581,0.75141,0.12019,0.95756,0.4852,0.75205,0.11826,0.91961,0.5046,0.76056,0.12928,0.69911,0.48394,0.76132,0.12593,0.64898,0.50338,0.77654,0.02614,0.93982,0.48469,0.774,0.0182,0.91325,wave
9,0.47985,0.39397,-0.18098,0.99957,0.4832,0.38663,-0.16586,0.99886,0.48574,0.38653,-0.16585,0.99879,0.48833,0.38651,-0.16589,0.99868,0.47663,0.38778,-0.16512,0.99838,0.4747,0.38834,-0.16519,0.99847,0.47292,0.38895,-0.16522,0.99857,0.49332,0.39273,-0.08119,0.99816,0.47228,0.39469,-0.07953,0.99725,0.48603,0.40269,-0.15003,0.99937,0.47666,0.40333,-0.14991,0.99903,0.5164,0.44466,-0.03123,0.99854,0.45675,0.44339,-0.0375,0.99863,0.5187,0.5102,-0.00467,0.83586,0.41785,0.41985,-0.15205,0.98285,0.52231,0.56874,-0.02879,0.64784,0.4073,0.36718,-0.3244,0.96848,0.52385,0.58703,-0.03573,0.51723,0.40605,0.35388,-0.36132,0.92747,0.52076,0.58826,-0.05442,0.53473,0.41005,0.34985,-0.35684,0.92995,0.5189,0.58097,-0.03642,0.52612,0.41085,0.35438,-0.32993,0.93026,0.50762,0.56366,-0.00172,0.99893,0.47334,0.56535,0.00157,0.99909,0.50006,0.66454,-0.01538,0.96366,0.47965,0.66504,-0.01215,0.91704,0.5057,0.75156,0.12141,0.95546,0.48529,0.7522,0.11717,0.9147,0.50462,0.76058,0.13025,0.69134,0.48389,0.76127,0.12485,0.63114,0.50431,0.77661,0.02661,0.93696,0.48484,0.77394,0.01714,0.9079,wave
10,0.48006,0.3934,-0.18257,0.9996,0.48316,0.38632,-0.16709,0.99896,0.48572,0.3863,-0.16711,0.99889,0.48832,0.38636,-0.16713,0.9988,0.47649,0.38747,-0.16781,0.99851,0.47444,0.38811,-0.16788,0.99859,0.47244,0.38883,-0.16792,0.99868,0.49314,0.39279,-0.08432,0.99831,0.47116,0.39516,-0.08561,0.99748,0.48627,0.40234,-0.1502,0.99942,0.47667,0.40302,-0.15377,0.9991,0.51611,0.44526,-0.03167,0.99863,0.45621,0.4438,-0.05124,0.99868,0.51842,0.51134,-0.00087,0.84367,0.41829,0.41918,-0.16542,0.98419,0.52148,0.56805,-0.02457,0.66099,0.41858,0.36268,-0.32267,0.97013,0.52304,0.58733,-0.03223,0.52686,0.4206,0.34793,-0.36041,0.92945,0.51976,0.58798,-0.0522,0.54394,0.42478,0.34474,-0.3529,0.931,0.51796,0.58097,-0.03293,0.53265,0.42444,0.35021,-0.32669,0.93033,0.50741,0.56385,0.00046,0.99897,0.47308,0.56576,-0.0006,0.99913,0.50016,0.6644,-0.01505,0.96054,0.47935,0.66503,-0.0132,0.91181,0.50476,0.75173,0.12261,0.95271,0.48477,0.75212,0.11504,0.91001,0.50356,0.76061,0.13136,0.68313,0.48344,0.76101,0.12252,0.61455,0.50373,0.77635,0.02656,0.93381,0.48441,0.77349,0.01333,0.90343,wave
