count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
2,0.38725,0.40465,-0.22046,0.99923,0.38938,0.39789,-0.20605,0.99872,0.39127,0.39814,-0.20611,0.99859,0.39325,0.3984,-0.20619,0.9987,0.38285,0.39779,-0.20705,0.99789,0.3803,0.39791,-0.2071,0.99765,0.37783,0.39808,-0.20715,0.99758,0.39629,0.40514,-0.11616,0.99807,0.37275,0.40481,-0.12363,0.99483,0.39165,0.4158,-0.18637,0.99886,0.38278,0.4152,-0.18868,0.9981,0.41709,0.45762,-0.06797,0.99802,0.35241,0.45096,-0.06126,0.99674,0.4146,0.51087,-0.05412,0.83638,0.30036,0.43984,-0.10551,0.97407,0.41561,0.57134,-0.11107,0.68119,0.26308,0.43532,-0.24412,0.92853,0.41578,0.5884,-0.12534,0.54004,0.25282,0.43854,-0.2715,0.86835,0.41391,0.58774,-0.14484,0.5607,0.25403,0.43966,-0.28743,0.87459,0.41031,0.57996,-0.12075,0.54072,0.2596,0.44266,-0.25681,0.8785,0.40149,0.58029,-0.00508,0.99866,0.36621,0.58349,0.00508,0.99856,0.39759,0.67433,-0.03435,0.94806,0.37703,0.67778,0.00077,0.89359,0.39487,0.76023,0.13452,0.94179,0.37785,0.75934,0.16763,0.89547,0.39043,0.76738,0.14676,0.6814,0.37552,0.76727,0.17974,0.55697,0.39427,0.79052,0.04951,0.92242,0.37218,0.78558,0.07431,0.88798,wave
3,0.38724,0.40362,-0.21128,0.9991,0.38938,0.39773,-0.19625,0.99851,0.39127,0.39804,-0.19629,0.99836,0.39325,0.39837,-0.19636,0.99844,0.38284,0.39745,-0.19775,0.99759,0.38027,0.39762,-0.19781,0.99735,0.3778,0.39789,-0.19785,0.99726,0.39629,0.40514,-0.10738,0.99785,0.37275,0.40479,-0.11691,0.99458,0.39166,0.41494,-0.17791,0.99879,0.38275,0.4142,-0.18085,0.99797,0.41708,0.45768,-0.05675,0.99763,0.35234,0.4503,-0.05856,0.99637,0.41528,0.51244,-0.02609,0.81377,0.30255,0.43439,-0.09772,0.9722,0.41552,0.57121,-0.06423,0.63472,0.26478,0.4152,-0.22039,0.91609,0.41544,0.58818,-0.07373,0.50119,0.25502,0.41488,-0.24556,0.84973,0.41339,0.58746,-0.09317,0.52086,0.25587,0.41861,-0.26039,0.8575,0.4105,0.58002,-0.07312,0.50397,0.26093,0.41642,-0.23192,0.86379,0.40199,0.57924,-0.00351,0.99832,0.36644,0.58241,0.00351,0.99817,0.39817,0.67412,-0.03462,0.93952,0.37711,0.6773,-0.01282,0.87526,0.39693,0.76094,0.11212,0.92215,0.37824,0.75934,0.14276,0.87063,0.39424,0.76891,0.12112,0.65433,0.37623,0.76901,0.15299,0.53852,0.39735,0.79592,0.02172,0.89501,0.37307,0.78892,0.0447,0.85818,wave
4,0.38686,0.40181,-0.21295,0.99866,0.38922,0.39716,-0.19807,0.99793,0.39116,0.39765,-0.19812,0.99763,0.39312,0.39814,-0.19819,0.99779,0.38256,0.39655,-0.19946,0.99679,0.37996,0.39679,-0.19951,0.99645,0.37747,0.39719,-0.19955,0.99638,0.39609,0.40509,-0.10899,0.99704,0.37258,0.40458,-0.12225,0.99336,0.39148,0.41328,-0.17941,0.99842,0.38217,0.41231,-0.1815,0.9974,0.41688,0.45763,-0.05825,0.99644,0.352,0.44814,-0.07881,0.99574,0.41543,0.5199,-0.03591,0.77395,0.30449,0.41868,-0.15446,0.97032,0.41187,0.57048,-0.08296,0.58219,0.27591,0.39409,-0.29601,0.9025,0.41224,0.58714,-0.09505,0.45919,0.26587,0.38629,-0.32815,0.82809,0.41195,0.58743,-0.11413,0.47763,0.26848,0.3891,-0.3358,0.83618,0.40849,0.579,-0.09223,0.46306,0.27168,0.39118,-0.30553,0.84388,0.40208,0.5775,0.0014,0.9981,0.36644,0.57988,-0.00142,0.99804,0.39829,0.67386,-0.03216,0.92984,0.37718,0.67588,-0.02007,0.8531,0.39798,0.76216,0.11383,0.90533,0.37916,0.75935,0.13321,0.84825,0.39609,0.77024,0.1233,0.62941,0.37733,0.77145,0.14315,0.51787,0.40033,0.79714,0.02236,0.87335,0.37462,0.79188,0.03124,0.83381,wave
5,0.38682,0.40153,-0.21328,0.99858,0.38918,0.39691,-0.19893,0.99789,0.39113,0.39741,-0.19897,0.99753,0.39309,0.39793,-0.19905,0.9977,0.38248,0.39638,-0.19992,0.9967,0.37987,0.39668,-0.19996,0.99631,0.37737,0.39714,-0.20003,0.99626,0.39589,0.40492,-0.10529,0.99692,0.37241,0.40456,-0.1227,0.99334,0.39148,0.41293,-0.1802,0.99834,0.38212,0.412,-0.18266,0.99728,0.41652,0.45763,-0.05081,0.99619,0.35205,0.44718,-0.08248,0.99546,0.4139,0.52067,-0.03067,0.75105,0.31028,0.40621,-0.16073,0.97083,0.40542,0.56845,-0.07201,0.5439,0.2863,0.36841,-0.28954,0.90299,0.40392,0.58499,-0.08611,0.4268,0.27686,0.35254,-0.32262,0.82602,0.40281,0.5836,-0.10276,0.44421,0.28034,0.35472,-0.3293,0.83328,0.401,0.5767,-0.08067,0.4316,0.28501,0.36017,-0.29866,0.84112,0.40221,0.57715,0.00607,0.99807,0.36667,0.57917,-0.00611,0.99803,0.39865,0.67521,-0.02871,0.91884,0.37741,0.6769,-0.02317,0.83018,0.39827,0.76621,0.11846,0.89017,0.3802,0.76185,0.13266,0.82782,0.3966,0.77514,0.12865,0.6089,0.37761,0.77673,0.14276,0.49616,0.40296,0.80045,0.02636,0.8533,0.37676,0.79787,0.0277,0.81095,wave
6,0.38682,0.40153,-0.21022,0.99867,0.38907,0.39684,-0.19342,0.99803,0.39101,0.39733,-0.19344,0.99767,0.39295,0.39786,-0.19353,0.99783,0.38242,0.39637,-0.19645,0.99693,0.37982,0.39669,-0.19651,0.99655,0.37731,0.39714,-0.19656,0.99652,0.39528,0.40481,-0.09689,0.99712,0.37224,0.4046,-0.11469,0.99383,0.39149,0.41293,-0.17472,0.99842,0.38213,0.41206,-0.17936,0.99739,0.416,0.45736,-0.03734,0.99612,0.35243,0.44696,-0.07792,0.99556,0.41391,0.51982,-0.00264,0.73639,0.32361,0.41313,-0.18504,0.97176,0.40634,0.56255,-0.02416,0.51877,0.30547,0.35829,-0.3451,0.90862,0.40619,0.57983,-0.03305,0.40488,0.30325,0.34534,-0.38181,0.8342,0.40489,0.57764,-0.05082,0.42146,0.30538,0.34491,-0.38207,0.84022,0.40255,0.57159,-0.03228,0.40999,0.30649,0.34855,-0.35231,0.84661,0.40221,0.57631,0.00549,0.99807,0.36679,0.57815,-0.00555,0.99809,0.39865,0.67471,-0.03031,0.91348,0.37769,0.67639,-0.02372,0.81615,0.39837,0.76717,0.10132,0.8804,0.38015,0.76174,0.11692,0.81601,0.39667,0.7764,0.10956,0.59464,0.37793,0.77742,0.12534,0.48388,0.40388,0.79965,0.00631,0.84108,0.37642,0.79757,0.01274,0.79783,wave
7,0.38559,0.40362,-0.20097,0.99868,0.38799,0.39771,-0.18453,0.99807,0.39015,0.39805,-0.18457,0.9977,0.3922,0.39846,-0.18466,0.99786,0.38106,0.39762,-0.18412,0.99697,0.3785,0.39796,-0.18417,0.99654,0.37605,0.39841,-0.18422,0.99653,0.39478,0.40506,-0.09254,0.99721,0.37166,0.40559,-0.09078,0.99389,0.39076,0.41414,-0.16671,0.99841,0.38128,0.41418,-0.16652,0.9973,0.41587,0.45674,-0.04355,0.99613,0.35357,0.44704,-0.04172,0.99529,0.41392,0.51922,-0.0187,0.73521,0.33197,0.41749,-0.11019,0.96953,0.40551,0.55969,-0.05749,0.49905,0.32043,0.3551,-0.22281,0.90605,0.4049,0.57424,-0.06954,0.38774,0.32424,0.351,-0.25247,0.82837,0.40346,0.57151,-0.08715,0.40335,0.32577,0.35214,-0.25354,0.83275,0.40145,0.56574,-0.06574,0.39259,0.32837,0.35765,-0.22926,0.8387,0.40219,0.57644,-0.00084,0.99807,0.36678,0.57837,0.00083,0.99809,0.3984,0.67458,-0.05852,0.90928,0.37768,0.67592,-0.02755,0.80904,0.39843,0.76668,0.07817,0.87304,0.38012,0.76165,0.12027,0.80688,0.39661,0.77654,0.08664,0.58359,0.3779,0.77643,0.12951,0.478,0.40314,0.79907,-0.01977,0.83046,0.37491,0.79632,0.01713,0.78725,wave
8,0.3851,0.40629,-0.20749,0.99867,0.38766,0.39909,-0.18665,0.99808,0.3899,0.39923,-0.18667,0.99766,0.39193,0.39945,-0.18676,0.99784,0.38046,0.39935,-0.18674,0.99694,0.3778,0.39966,-0.18679,0.99642,0.37526,0.40005,-0.18687,0.99644,0.3945,0.40552,-0.097,0.99722,0.371,0.40681,-0.10016,0.99401,0.39027,0.41605,-0.17193,0.9984,0.38061,0.41674,-0.16849,0.99725,0.41565,0.45617,-0.04979,0.99607,0.35378,0.44751,-0.04832,0.99528,0.41468,0.51918,-0.07896,0.74061,0.33953,0.39819,-0.12252,0.97168,0.40463,0.55815,-0.15597,0.48298,0.32854,0.33325,-0.2192,0.91095,0.40233,0.56941,-0.17792,0.37421,0.32758,0.32478,-0.25091,0.8329,0.39992,0.56626,-0.19104,0.38885,0.33095,0.32311,-0.24857,0.83571,0.39833,0.56086,-0.16401,0.37953,0.33109,0.32618,-0.22449,0.84146,0.40237,0.57654,-0.0017,0.99812,0.36684,0.57852,0.00168,0.99816,0.3983,0.67489,-0.0666,0.90705,0.377,0.67588,-0.0338,0.81265,0.39853,0.76634,0.081,0.86868,0.37982,0.76016,0.12654,0.80678,0.39649,0.7764,0.09071,0.5765,0.37786,0.7717,0.13703,0.47994,0.40265,0.79765,-0.01527,0.82136,0.37381,0.79389,0.02694,0.78392,wave
9,0.38344,0.4075,-0.14593,0.99853,0.38601,0.39945,-0.12852,0.99791,0.38838,0.39943,-0.12857,0.9974,0.39064,0.39954,-0.12865,0.99768,0.37869,0.40031,-0.12575,0.99646,0.37613,0.4008,-0.12578,0.99556,0.37368,0.40131,-0.12581,0.99574,0.39358,0.40554,-0.0455,0.99707,0.37029,0.40783,-0.03169,0.99338,0.38901,0.41694,-0.11591,0.9983,0.37923,0.41809,-0.11191,0.99695,0.41516,0.45539,-0.02244,0.99628,0.35518,0.45118,0.00493,0.99503,0.41343,0.51906,-0.04703,0.75435,0.34573,0.39021,-0.02723,0.97253,0.39399,0.5531,-0.08415,0.48311,0.34295,0.32834,-0.05125,0.90851,0.39016,0.56482,-0.10633,0.3732,0.34318,0.31697,-0.07556,0.82257,0.38824,0.56156,-0.11464,0.38684,0.34425,0.31545,-0.07242,0.82271,0.38768,0.55655,-0.08969,0.37735,0.34458,0.31917,-0.05553,0.83044,0.40236,0.57656,-0.00697,0.99822,0.36714,0.57863,0.00703,0.99821,0.39779,0.67499,-0.07208,0.90557,0.37648,0.6757,-0.02766,0.81635,0.3985,0.76625,0.06851,0.86761,0.37979,0.76007,0.13096,0.80558,0.39633,0.7758,0.07755,0.57726,0.37884,0.76709,0.14235,0.48381,0.40249,0.79745,-0.02887,0.8173,0.3739,0.79075,0.04103,0.78069,wave
10,0.38264,0.40783,-0.19334,0.99864,0.38511,0.39973,-0.18132,0.99806,0.3875,0.3996,-0.18141,0.99759,0.38982,0.39963,-0.18147,0.99784,0.37777,0.40092,-0.17365,0.99672,0.37522,0.40148,-0.17362,0.99589,0.37278,0.40206,-0.17362,0.99606,0.39287,0.4056,-0.0939,0.99728,0.36975,0.40839,-0.06061,0.99386,0.38817,0.41703,-0.15971,0.99842,0.37835,0.41846,-0.1462,0.99717,0.41422,0.45523,-0.05843,0.99657,0.35559,0.45613,-0.00927,0.99512,0.41189,0.51867,-0.06334,0.75952,0.34855,0.50389,0.01363,0.9201,0.39283,0.55221,-0.13598,0.48215,0.36026,0.51234,-0.04818,0.84418,0.38747,0.56352,-0.16274,0.37421,0.36415,0.51932,-0.06598,0.7648,0.38808,0.56053,-0.17702,0.38759,0.36436,0.51295,-0.08176,0.76544,0.38784,0.5556,-0.14355,0.37594,0.36344,0.51058,-0.05622,0.77182,0.40187,0.57903,-0.01754,0.99813,0.36716,0.57994,0.01769,0.99787,0.39717,0.67695,-0.07352,0.90241,0.37621,0.67715,-0.0161,0.82203,0.39768,0.7697,0.07409,0.86583,0.37983,0.76518,0.13861,0.80913,0.39578,0.77997,0.08262,0.5735,0.37878,0.77257,0.14916,0.49833,0.40227,0.80215,-0.0256,0.81482,0.37385,0.79581,0.04632,0.7831,wave
11,0.38159,0.40792,-0.1944,0.99854,0.38396,0.39973,-0.18146,0.99794,0.38632,0.39958,-0.18153,0.99744,0.38864,0.39962,-0.18161,0.99777,0.37682,0.40111,-0.17581,0.99644,0.37435,0.40174,-0.17581,0.99541,0.37207,0.40239,-0.17583,0.99567,0.39211,0.40556,-0.09754,0.9972,0.36949,0.40857,-0.07484,0.99321,0.38723,0.41698,-0.16121,0.99835,0.37754,0.41852,-0.15447,0.99696,0.4138,0.45506,-0.05919,0.99669,0.35663,0.45667,-0.0133,0.99446,0.41399,0.51875,-0.05068,0.76632,0.34552,0.46287,0.0167,0.91698,0.39578,0.5538,-0.07068,0.46979,0.36564,0.44414,0.0234,0.8091,0.39106,0.56609,-0.08657,0.36159,0.36367,0.35931,0.00874,0.71727,0.39196,0.5632,-0.10338,0.37437,0.36572,0.35818,0.00615,0.71638,0.39072,0.55795,-0.07788,0.36197,0.36917,0.42391,0.01942,0.7229,0.40166,0.57907,-0.01437,0.99814,0.36718,0.57994,0.01447,0.99778,0.39704,0.67684,-0.06487,0.90157,0.37622,0.67714,-0.00564,0.82712,0.39747,0.7691,0.07482,0.86587,0.37996,0.76468,0.16085,0.8087,0.39562,0.77934,0.08679,0.57526,0.37884,0.77235,0.17215,0.49956,0.4022,0.80127,-0.01236,0.81453,0.37594,0.79559,0.05939,0.78266,wave
