count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.38334,0.37615,-0.16002,0.99791,0.38595,0.36706,-0.14563,0.99651,0.38775,0.36743,-0.14565,0.99609,0.38953,0.36793,-0.14569,0.99619,0.38012,0.36634,-0.14479,0.99472,0.37807,0.36612,-0.14483,0.99433,0.37608,0.36606,-0.14483,0.99442,0.39245,0.37319,-0.06307,0.99467,0.37226,0.37004,-0.06112,0.9915,0.38735,0.38596,-0.12934,0.99752,0.37923,0.38446,-0.12895,0.99602,0.41605,0.43159,-0.03716,0.99541,0.35114,0.41302,-0.01545,0.99472,0.42367,0.49654,-0.05532,0.62767,0.3087,0.39692,-0.07703,0.93835,0.42157,0.55293,-0.13994,0.35339,0.25981,0.37279,-0.21729,0.8387,0.42237,0.56894,-0.16103,0.27263,0.24466,0.36905,-0.24733,0.76436,0.41717,0.57007,-0.17659,0.28416,0.24416,0.36829,-0.26653,0.77616,0.41667,0.5635,-0.14915,0.28852,0.24991,0.37034,-0.2317,0.78964,0.40089,0.55985,-0.00532,0.99671,0.36338,0.55998,0.00529,0.99635,0.39909,0.65882,-0.03156,0.8519,0.37266,0.66057,-0.0066,0.73963,0.40031,0.74526,0.07419,0.77449,0.37646,0.74131,0.12478,0.71565,0.39525,0.75675,0.07936,0.47499,0.37796,0.74649,0.13221,0.41266,0.40888,0.77763,-0.01727,0.71164,0.36568,0.76938,0.03906,0.69725,wave
2,0.38261,0.37299,-0.15494,0.9981,0.38577,0.36382,-0.14249,0.99681,0.38766,0.36414,-0.14253,0.99642,0.3895,0.3646,-0.14258,0.99651,0.38008,0.36294,-0.13987,0.99518,0.37801,0.36264,-0.13991,0.99481,0.37598,0.36253,-0.13992,0.99488,0.39234,0.36908,-0.06372,0.99514,0.37269,0.36621,-0.05413,0.99221,0.38639,0.3831,-0.12521,0.99775,0.37858,0.38132,-0.12261,0.99638,0.41566,0.42829,-0.037,0.99585,0.3491,0.41029,-0.00764,0.99522,0.42561,0.49391,-0.05699,0.66136,0.30302,0.39243,-0.07232,0.94375,0.42381,0.54968,-0.13538,0.40604,0.25361,0.37364,-0.21904,0.85319,0.42418,0.56654,-0.15594,0.32324,0.23822,0.37267,-0.24971,0.78401,0.41877,0.56665,-0.17337,0.33476,0.23779,0.3716,-0.26832,0.79505,0.41782,0.56004,-0.14464,0.33754,0.24344,0.3729,-0.23356,0.80741,0.39988,0.55684,-0.01127,0.99699,0.36133,0.55817,0.01127,0.99666,0.39895,0.65807,-0.03237,0.86283,0.37195,0.66089,0.02523,0.7556,0.40202,0.74572,0.06792,0.78953,0.37656,0.74376,0.17368,0.7318,0.39644,0.75668,0.07299,0.49996,0.37784,0.75145,0.18318,0.44094,0.41323,0.77687,-0.02539,0.73089,0.36689,0.77134,0.0902,0.71425,wave
3,0.38256,0.37588,-0.19833,0.99827,0.38574,0.3668,-0.18521,0.99708,0.38767,0.36686,-0.18525,0.99671,0.38954,0.36707,-0.18531,0.99679,0.3799,0.36642,-0.18386,0.9956,0.37759,0.36626,-0.18391,0.99525,0.37534,0.36626,-0.18389,0.9953,0.39203,0.37019,-0.09504,0.99557,0.37176,0.36849,-0.09046,0.99287,0.38636,0.38504,-0.16325,0.99794,0.37834,0.38433,-0.16216,0.99669,0.41467,0.42505,-0.05558,0.99623,0.34714,0.40953,-0.02566,0.99565,0.42554,0.49245,-0.07761,0.69129,0.3013,0.3884,-0.10866,0.94833,0.42453,0.54877,-0.16302,0.45084,0.25331,0.36557,-0.27251,0.86499,0.42424,0.56547,-0.18572,0.36316,0.23857,0.36186,-0.3066,0.79892,0.4192,0.56492,-0.20421,0.37527,0.239,0.36017,-0.32634,0.80957,0.41823,0.55857,-0.17315,0.37662,0.24435,0.36321,-0.28788,0.8211,0.39962,0.55605,-0.01011,0.99717,0.36137,0.55848,0.01012,0.9969,0.39885,0.65661,-0.02319,0.87304,0.37231,0.66258,0.00805,0.77216,0.40355,0.7466,0.08074,0.8043,0.37681,0.74589,0.16137,0.75002,0.3984,0.75737,0.08602,0.52582,0.37787,0.75252,0.16954,0.47064,0.41713,0.77611,-0.01256,0.7494,0.36678,0.77294,0.07109,0.73276,wave
4,0.37955,0.37464,-0.20816,0.99839,0.38286,0.36589,-0.19537,0.99726,0.38486,0.36585,-0.19541,0.99691,0.38693,0.36601,-0.19546,0.99697,0.37694,0.36589,-0.19263,0.99588,0.37481,0.36588,-0.19269,0.99554,0.37272,0.36603,-0.19269,0.99556,0.39012,0.3697,-0.10876,0.99589,0.37022,0.36896,-0.09718,0.99326,0.38358,0.38388,-0.17464,0.9981,0.37579,0.38337,-0.17163,0.99693,0.41367,0.4237,-0.06706,0.99656,0.34583,0.40921,-0.03003,0.99602,0.42577,0.4905,-0.08735,0.71912,0.30121,0.38001,-0.1148,0.95228,0.4245,0.54819,-0.17466,0.49361,0.25816,0.35146,-0.27963,0.87554,0.42444,0.56542,-0.19786,0.40254,0.24335,0.34777,-0.31548,0.81213,0.41949,0.56479,-0.21701,0.41502,0.24415,0.34606,-0.3339,0.82237,0.4182,0.55848,-0.18484,0.41491,0.2491,0.3488,-0.29478,0.83324,0.39971,0.55651,-0.01023,0.99733,0.36139,0.55898,0.01022,0.99712,0.39878,0.65635,-0.02098,0.88313,0.37251,0.66314,-0.00143,0.79004,0.40371,0.74638,0.09636,0.81838,0.37687,0.74704,0.13971,0.76788,0.39907,0.75614,0.10141,0.54348,0.37779,0.75314,0.14326,0.49723,0.41485,0.77666,-0.00353,0.76672,0.36623,0.77457,0.0392,0.75124,wave
5,0.37434,0.37384,-0.23097,0.99853,0.37668,0.36416,-0.21747,0.99748,0.3787,0.36381,-0.21751,0.99716,0.38078,0.36368,-0.21757,0.99721,0.37144,0.36504,-0.21346,0.99622,0.36964,0.36531,-0.21353,0.99589,0.36784,0.36575,-0.21354,0.99589,0.38531,0.36756,-0.12833,0.99624,0.36691,0.36938,-0.11087,0.99378,0.37921,0.38267,-0.19689,0.99827,0.37192,0.38288,-0.19214,0.99717,0.41274,0.42287,-0.08093,0.99685,0.34518,0.40936,-0.05747,0.99635,0.42575,0.48829,-0.10834,0.74341,0.30189,0.37266,-0.16148,0.956,0.42501,0.5456,-0.19691,0.52823,0.26143,0.33664,-0.35169,0.88578,0.42521,0.5627,-0.22048,0.43177,0.24842,0.32753,-0.39214,0.82566,0.4203,0.56166,-0.23886,0.44481,0.24868,0.32443,-0.40456,0.8351,0.41881,0.55575,-0.20676,0.44374,0.25328,0.32945,-0.36512,0.84515,0.39983,0.55702,-0.01015,0.99751,0.36182,0.55969,0.01013,0.99736,0.39877,0.65706,-0.02379,0.8885,0.37267,0.66346,-0.00075,0.80059,0.40342,0.74721,0.09745,0.82401,0.37741,0.74754,0.14252,0.77697,0.39882,0.75655,0.10302,0.55361,0.37787,0.75465,0.14995,0.51222,0.41438,0.77743,-0.00267,0.77467,0.36682,0.77343,0.04514,0.76069,wave
6,0.36815,0.375,-0.18537,0.99866,0.37025,0.3652,-0.17392,0.99769,0.37213,0.36462,-0.17394,0.99739,0.37411,0.36423,-0.174,0.99743,0.36581,0.36626,-0.1668,0.99654,0.36452,0.36642,-0.16688,0.99624,0.36321,0.36675,-0.16689,0.99622,0.37983,0.36732,-0.09724,0.99657,0.36456,0.37021,-0.06514,0.99428,0.3738,0.38279,-0.15573,0.99842,0.36761,0.38319,-0.14685,0.9974,0.41182,0.4217,-0.05918,0.99713,0.34514,0.40819,-0.02531,0.99668,0.42538,0.48663,-0.08062,0.76626,0.30231,0.37267,-0.13908,0.95972,0.42554,0.54319,-0.15508,0.56259,0.27434,0.32498,-0.31356,0.89625,0.42604,0.5602,-0.17452,0.46257,0.26482,0.31095,-0.35061,0.84051,0.4214,0.55927,-0.19299,0.47596,0.2654,0.30638,-0.36069,0.84898,0.41974,0.5534,-0.16468,0.47357,0.2686,0.31212,-0.32564,0.85804,0.39984,0.5559,-0.01158,0.99771,0.362,0.55828,0.01153,0.99759,0.39821,0.65539,-0.05211,0.89327,0.37315,0.66263,0.00201,0.81169,0.40332,0.74731,0.06889,0.83081,0.37797,0.74767,0.13917,0.78646,0.3987,0.7566,0.07569,0.57144,0.37788,0.75573,0.14713,0.52756,0.41448,0.77674,-0.0248,0.78317,0.36725,0.77238,0.04605,0.76945,wave
7,0.36658,0.3757,-0.24592,0.99878,0.36867,0.36514,-0.23256,0.9979,0.37059,0.3644,-0.23256,0.99762,0.37261,0.3639,-0.23262,0.99766,0.36381,0.36658,-0.228,0.99685,0.36232,0.36676,-0.2281,0.99658,0.36084,0.36711,-0.22812,0.99656,0.37828,0.36694,-0.14076,0.99688,0.36212,0.36986,-0.11935,0.9948,0.37227,0.38315,-0.2105,0.99857,0.36581,0.38411,-0.20486,0.99764,0.41118,0.42146,-0.07623,0.99738,0.34399,0.40821,-0.08081,0.99699,0.42521,0.48741,-0.08808,0.78753,0.30324,0.36675,-0.21371,0.96345,0.42593,0.54416,-0.15544,0.596,0.28518,0.31578,-0.41092,0.90606,0.42625,0.56133,-0.17373,0.49226,0.27792,0.29736,-0.45518,0.85463,0.42156,0.56041,-0.19191,0.50547,0.28086,0.29409,-0.45749,0.86214,0.41996,0.55441,-0.1644,0.50143,0.28409,0.30112,-0.42041,0.87012,0.3999,0.55601,-0.00723,0.9979,0.3621,0.55761,0.00712,0.99781,0.39818,0.65525,-0.03986,0.89926,0.37405,0.6622,-0.00149,0.82401,0.40305,0.74697,0.10823,0.8393,0.37842,0.74798,0.1413,0.79807,0.39855,0.75587,0.11751,0.58748,0.37787,0.75643,0.15028,0.53758,0.41425,0.77676,0.00793,0.79394,0.37035,0.77328,0.04307,0.78113,wave
8,0.36452,0.37494,-0.31174,0.9989,0.36689,0.36427,-0.29724,0.9981,0.36894,0.36332,-0.29723,0.99785,0.37112,0.36259,-0.29726,0.99788,0.36203,0.36643,-0.29325,0.99715,0.36059,0.36689,-0.29336,0.99691,0.35914,0.3675,-0.29338,0.99688,0.37779,0.36606,-0.2004,0.99718,0.3609,0.37046,-0.18144,0.99529,0.37079,0.38275,-0.2747,0.99871,0.36391,0.38438,-0.26967,0.99786,0.41102,0.42193,-0.12741,0.99761,0.34345,0.41042,-0.1377,0.99726,0.42571,0.48759,-0.13853,0.8073,0.30521,0.36719,-0.2612,0.96693,0.4262,0.54436,-0.20417,0.62777,0.29137,0.30101,-0.43984,0.91517,0.4261,0.5621,-0.22263,0.52233,0.28662,0.28124,-0.48372,0.86816,0.42128,0.56097,-0.24097,0.53528,0.28947,0.27701,-0.48676,0.87483,0.41973,0.5549,-0.21312,0.53061,0.29217,0.28362,-0.44916,0.88193,0.39995,0.5552,-0.0073,0.99808,0.36213,0.55729,0.00718,0.99801,0.39783,0.65467,-0.03338,0.90543,0.37446,0.6605,0.00885,0.83736,0.40306,0.74622,0.11496,0.8481,0.37902,0.74811,0.16486,0.81152,0.39905,0.75508,0.12387,0.60549,0.37877,0.75678,0.17476,0.55944,0.4136,0.77582,0.01084,0.80557,0.37135,0.7737,0.06198,0.79522,wave
9,0.36494,0.37633,-0.29065,0.99899,0.3674,0.36564,-0.27689,0.99827,0.36944,0.36464,-0.27688,0.99803,0.37158,0.3638,-0.27691,0.99805,0.36223,0.36787,-0.27154,0.9974,0.36068,0.36836,-0.27164,0.99716,0.35903,0.36896,-0.27168,0.99714,0.37792,0.3666,-0.18378,0.99742,0.36045,0.37173,-0.15786,0.99569,0.3713,0.38434,-0.25474,0.99882,0.36414,0.38583,-0.24759,0.99804,0.41058,0.42258,-0.11444,0.9978,0.34332,0.41039,-0.11824,0.99751,0.42561,0.48825,-0.12951,0.8249,0.31075,0.3605,-0.22103,0.97013,0.42611,0.54466,-0.19404,0.6559,0.31172,0.2961,-0.35699,0.92334,0.42587,0.5629,-0.21439,0.55173,0.3131,0.27362,-0.39468,0.88014,0.42108,0.56175,-0.23222,0.5644,0.31742,0.27121,-0.41407,0.88598,0.41951,0.5554,-0.20304,0.55925,0.31864,0.27899,-0.37038,0.89237,0.39995,0.55536,-0.00919,0.99824,0.3617,0.55749,0.0091,0.99819,0.39782,0.65489,-0.04211,0.91247,0.37448,0.65992,0.05038,0.85025,0.40372,0.74644,0.09262,0.85804,0.37938,0.74517,0.23333,0.82399,0.40037,0.75459,0.10067,0.62856,0.37927,0.75246,0.24665,0.58395,0.41359,0.77647,-0.01519,0.81803,0.37128,0.77262,0.14389,0.80874,wave
10,0.36456,0.37716,-0.30058,0.99907,0.3669,0.36665,-0.28725,0.9984,0.36901,0.36565,-0.28722,0.99817,0.37123,0.36472,-0.28726,0.9982,0.36137,0.3688,-0.28018,0.99759,0.35967,0.36927,-0.28028,0.99736,0.35786,0.36983,-0.28031,0.99734,0.37772,0.36615,-0.19578,0.99761,0.35969,0.3723,-0.16161,0.99598,0.37132,0.38472,-0.26547,0.99891,0.36387,0.38648,-0.256,0.99817,0.41032,0.42268,-0.1326,0.99797,0.34359,0.41103,-0.11789,0.99771,0.42543,0.48923,-0.15727,0.84062,0.31555,0.36202,-0.21567,0.97297,0.42584,0.54501,-0.22235,0.67866,0.3249,0.30101,-0.35356,0.93029,0.42562,0.56344,-0.2452,0.57258,0.32883,0.2815,-0.38363,0.88907,0.42097,0.56229,-0.26175,0.58484,0.33378,0.27959,-0.36895,0.89381,0.41935,0.55589,-0.2308,0.57842,0.33351,0.28797,-0.34532,0.89936,0.40005,0.55608,-0.01434,0.99838,0.36179,0.55829,0.01426,0.99834,0.39787,0.65531,-0.04147,0.91816,0.3745,0.66009,0.07269,0.85945,0.4052,0.74508,0.11056,0.86545,0.37953,0.74384,0.27648,0.83225,0.40295,0.75207,0.12119,0.64202,0.37965,0.75075,0.29229,0.59829,0.41333,0.77469,0.00478,0.82739,0.37073,0.77163,0.19147,0.8182,wave
