count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.39359,0.34557,-0.24055,0.99956,0.39696,0.33821,-0.22437,0.99909,0.3996,0.33839,-0.22442,0.999,0.40224,0.33867,-0.22445,0.99895,0.38907,0.33855,-0.22496,0.99848,0.38656,0.33897,-0.22498,0.99839,0.38365,0.33965,-0.22503,0.99828,0.40603,0.34548,-0.12307,0.99892,0.38109,0.34707,-0.12706,0.99748,0.39846,0.35636,-0.20292,0.99954,0.38879,0.35698,-0.2043,0.99904,0.43161,0.40707,-0.06703,0.99939,0.35652,0.40603,-0.04408,0.99843,0.44741,0.48086,-0.02099,0.96163,0.3126,0.40286,-0.00687,0.98958,0.44905,0.5482,-0.0663,0.89314,0.27143,0.39491,-0.07156,0.97896,0.44822,0.56963,-0.07742,0.79144,0.25814,0.39504,-0.08706,0.95184,0.44298,0.56923,-0.10581,0.80222,0.25654,0.39333,-0.11731,0.95381,0.44165,0.56169,-0.079,0.79025,0.26134,0.39496,-0.08781,0.95523,0.42036,0.56231,-0.00349,0.999,0.37574,0.5635,0.00342,0.9991,0.42486,0.67492,-0.02515,0.96372,0.37464,0.67892,0.00643,0.9279,0.41697,0.7759,0.14897,0.91721,0.38008,0.77693,0.17233,0.89154,0.41284,0.78746,0.15943,0.71212,0.38353,0.78867,0.18144,0.67812,0.42881,0.8116,0.05284,0.89444,0.36929,0.81395,0.06779,0.88457,wave
2,0.3954,0.34294,-0.27464,0.99957,0.39886,0.33541,-0.25932,0.99907,0.40165,0.33555,-0.25935,0.99901,0.40457,0.33584,-0.25936,0.99891,0.39094,0.33587,-0.25837,0.99845,0.38816,0.33647,-0.25842,0.9984,0.38539,0.33719,-0.25844,0.99828,0.40947,0.34269,-0.15403,0.99891,0.38207,0.34501,-0.15264,0.99753,0.40017,0.35377,-0.23493,0.99954,0.39142,0.35465,-0.23449,0.99902,0.43533,0.40453,-0.0874,0.99935,0.35873,0.40609,-0.05531,0.99827,0.44673,0.47841,-0.03126,0.96203,0.31221,0.40605,-0.00108,0.98846,0.4478,0.54861,-0.06638,0.89468,0.26408,0.39724,-0.05752,0.97886,0.44655,0.57026,-0.07455,0.78797,0.25034,0.39742,-0.07001,0.95175,0.44096,0.56953,-0.10636,0.79893,0.24881,0.39606,-0.10063,0.95422,0.43991,0.5617,-0.07988,0.78868,0.2536,0.39775,-0.07308,0.9557,0.42464,0.56372,-0.00575,0.99871,0.3793,0.56423,0.00561,0.99898,0.42895,0.67614,-0.02483,0.96636,0.37604,0.68465,0.00299,0.93391,0.42203,0.77833,0.15397,0.92351,0.38061,0.7865,0.15879,0.90143,0.41549,0.79301,0.16412,0.72659,0.38517,0.79886,0.16624,0.70163,0.43464,0.81575,0.05643,0.90235,0.36813,0.81964,0.05096,0.89453,wave
3,0.39601,0.34306,-0.28188,0.9996,0.39959,0.33516,-0.26524,0.99913,0.40241,0.3353,-0.26528,0.99907,0.40514,0.33549,-0.2653,0.99896,0.39173,0.33544,-0.26394,0.99853,0.38898,0.33586,-0.264,0.9985,0.38614,0.33647,-0.26403,0.99838,0.41007,0.34159,-0.15555,0.99898,0.38281,0.34361,-0.15245,0.99768,0.40101,0.35404,-0.24053,0.99956,0.39211,0.35498,-0.23972,0.99907,0.43586,0.40476,-0.09171,0.99935,0.35989,0.40617,-0.05679,0.99817,0.44673,0.47917,-0.03964,0.96149,0.31205,0.40781,-0.05906,0.98658,0.44807,0.54949,-0.07788,0.89361,0.26367,0.38953,-0.19223,0.97819,0.44672,0.57055,-0.08849,0.78331,0.24953,0.38883,-0.2173,0.9513,0.44167,0.5697,-0.11807,0.79443,0.24837,0.38681,-0.24407,0.95425,0.44016,0.56187,-0.09021,0.78492,0.25319,0.38864,-0.20864,0.95577,0.4255,0.56489,-0.00941,0.99864,0.37982,0.56594,0.00926,0.99894,0.42864,0.67827,-0.02896,0.96889,0.37673,0.68669,0.00667,0.93892,0.42404,0.77781,0.17019,0.92962,0.38147,0.78794,0.17622,0.91018,0.41704,0.7912,0.18242,0.74016,0.3867,0.80034,0.18522,0.72279,0.4332,0.81499,0.07099,0.90993,0.36741,0.82152,0.05378,0.90333,wave
4,0.39614,0.34302,-0.28973,0.99963,0.39953,0.33508,-0.27269,0.99919,0.40218,0.3354,-0.27272,0.99914,0.40498,0.33572,-0.27276,0.99903,0.39189,0.33505,-0.27266,0.99864,0.38907,0.3355,-0.27273,0.99861,0.38631,0.33617,-0.27276,0.99851,0.40937,0.34192,-0.16137,0.99905,0.38239,0.3436,-0.16366,0.99785,0.40127,0.35438,-0.24753,0.99959,0.392,0.35507,-0.24847,0.99913,0.43517,0.40462,-0.09546,0.99932,0.35947,0.40626,-0.06001,0.99803,0.44559,0.47891,-0.02075,0.95945,0.31181,0.40304,-0.07394,0.98378,0.44946,0.55023,-0.02417,0.88443,0.26281,0.37824,-0.20515,0.97687,0.44805,0.57067,-0.02809,0.76575,0.24993,0.37457,-0.22893,0.94982,0.44273,0.56975,-0.05728,0.77695,0.2486,0.37233,-0.25574,0.9531,0.44052,0.56198,-0.0352,0.76897,0.25259,0.37495,-0.22126,0.95444,0.42507,0.56725,-0.01251,0.99859,0.37951,0.56834,0.01231,0.9989,0.429,0.67989,-0.03282,0.97108,0.37711,0.68866,0.00991,0.94289,0.42512,0.78108,0.18146,0.93512,0.38241,0.78866,0.21629,0.91789,0.41851,0.79465,0.19546,0.75174,0.38818,0.80033,0.22882,0.74238,0.43357,0.81566,0.08237,0.9166,0.36701,0.82099,0.10799,0.9109,wave
5,0.39637,0.34329,-0.30318,0.99966,0.3996,0.33549,-0.28466,0.99925,0.40196,0.33595,-0.28468,0.99921,0.40455,0.3364,-0.28473,0.99911,0.39194,0.335,-0.28643,0.99875,0.38897,0.33531,-0.28651,0.99873,0.38615,0.33584,-0.28653,0.99864,0.4081,0.34269,-0.16708,0.99913,0.38157,0.34325,-0.17751,0.99803,0.40135,0.35491,-0.2586,0.99962,0.39162,0.35528,-0.26197,0.9992,0.4342,0.40448,-0.09344,0.99928,0.35795,0.40613,-0.07952,0.99798,0.44511,0.47762,-0.01016,0.95662,0.31123,0.39754,-0.09655,0.983,0.45007,0.55014,-0.01535,0.87262,0.26416,0.36808,-0.23016,0.97685,0.44945,0.57033,-0.01925,0.74487,0.25126,0.36705,-0.25199,0.95014,0.44438,0.56927,-0.05074,0.75647,0.25061,0.36378,-0.29507,0.95344,0.4416,0.56174,-0.02749,0.74971,0.25457,0.3638,-0.25238,0.95429,0.42526,0.56707,-0.01214,0.99857,0.37946,0.56854,0.01196,0.9989,0.42854,0.67948,-0.0311,0.97303,0.37709,0.68933,0.00695,0.94638,0.42477,0.78094,0.18417,0.94,0.3824,0.78908,0.20279,0.92476,0.41844,0.79321,0.19816,0.76203,0.38767,0.80048,0.21398,0.75836,0.43233,0.81525,0.08333,0.92261,0.3665,0.82269,0.09491,0.91772,wave
6,0.39589,0.3427,-0.29853,0.99968,0.39915,0.33537,-0.28023,0.99931,0.4015,0.33594,-0.28025,0.99926,0.404,0.33647,-0.28032,0.99917,0.39116,0.3348,-0.28129,0.99884,0.38816,0.33517,-0.28137,0.99883,0.38529,0.33581,-0.28139,0.99874,0.40756,0.34303,-0.16517,0.99919,0.38063,0.34368,-0.17163,0.99817,0.40118,0.35462,-0.255,0.99965,0.39101,0.35494,-0.25717,0.99924,0.43434,0.40401,-0.09262,0.99923,0.35711,0.40561,-0.07832,0.99776,0.4455,0.47633,-0.01416,0.95392,0.31162,0.3869,-0.08493,0.98201,0.4503,0.54821,-0.02254,0.85486,0.26642,0.34553,-0.20318,0.97448,0.44988,0.56729,-0.02748,0.71758,0.25419,0.3372,-0.2295,0.9451,0.44545,0.56615,-0.05931,0.72968,0.25397,0.33398,-0.25353,0.94854,0.44245,0.56008,-0.03503,0.72393,0.2581,0.3372,-0.21843,0.94909,0.42603,0.56677,-0.01223,0.99849,0.37969,0.5683,0.01206,0.99886,0.42794,0.67868,-0.03014,0.9743,0.37755,0.69016,0.00459,0.94895,0.42448,0.7799,0.18483,0.94363,0.3824,0.79139,0.20163,0.93042,0.41917,0.7916,0.19861,0.7651,0.38745,0.80338,0.21317,0.77038,0.43116,0.81524,0.08102,0.92682,0.36566,0.82337,0.07763,0.92302,wave
7,0.39501,0.34252,-0.29544,0.99971,0.39829,0.33521,-0.27699,0.99936,0.40071,0.33577,-0.277,0.99932,0.40312,0.33628,-0.27707,0.99923,0.39026,0.33487,-0.277,0.99893,0.38732,0.33534,-0.27707,0.99892,0.38448,0.33606,-0.27709,0.99884,0.40685,0.34293,-0.16309,0.99925,0.38006,0.34375,-0.16448,0.99831,0.40058,0.35479,-0.25243,0.99967,0.39017,0.35522,-0.25294,0.99929,0.43428,0.40339,-0.09173,0.99919,0.35659,0.40366,-0.07341,0.99778,0.44636,0.47508,-0.00938,0.95194,0.3119,0.37395,-0.0568,0.98262,0.44935,0.5456,-0.02293,0.83491,0.2699,0.32267,-0.14126,0.97327,0.44961,0.5653,-0.03028,0.69027,0.25986,0.31312,-0.16693,0.94072,0.44445,0.56379,-0.0623,0.70253,0.26175,0.31024,-0.18797,0.94406,0.44193,0.55678,-0.03595,0.69732,0.26496,0.31429,-0.15535,0.94466,0.42605,0.56617,-0.01212,0.99845,0.37923,0.56744,0.01197,0.99885,0.42656,0.67797,-0.02832,0.97544,0.37803,0.68882,0.00059,0.95219,0.42364,0.78048,0.17942,0.9474,0.38244,0.79075,0.17088,0.93571,0.41861,0.79224,0.19459,0.7706,0.38735,0.80379,0.17922,0.78111,0.43184,0.81717,0.05597,0.93125,0.36569,0.82224,0.04636,0.9281,wave
8,0.39434,0.3435,-0.2552,0.99972,0.39759,0.3362,-0.23736,0.9994,0.40004,0.33663,-0.23737,0.99935,0.40243,0.33708,-0.23745,0.99928,0.38971,0.33607,-0.23552,0.999,0.38684,0.33654,-0.23557,0.99897,0.38411,0.33722,-0.23559,0.99891,0.40617,0.34348,-0.13087,0.99929,0.37971,0.34423,-0.1215,0.9984,0.39991,0.35539,-0.21518,0.99969,0.38958,0.35586,-0.21281,0.99933,0.43433,0.40294,-0.0586,0.9992,0.35625,0.40163,-0.04365,0.99789,0.44722,0.47447,0.01373,0.95092,0.3155,0.36754,-0.04338,0.98316,0.44874,0.54406,-0.00165,0.82207,0.28883,0.31198,-0.13341,0.97159,0.44899,0.56379,-0.01037,0.67567,0.28191,0.29774,-0.16366,0.93529,0.44456,0.56238,-0.04026,0.68811,0.2845,0.29469,-0.18216,0.93844,0.44142,0.55509,-0.01392,0.6822,0.28703,0.30066,-0.1476,0.93945,0.426,0.5653,-0.01198,0.99852,0.3788,0.56572,0.01183,0.99889,0.42653,0.67822,-0.02447,0.97658,0.3785,0.68757,-0.00321,0.9555,0.42344,0.78295,0.16579,0.95124,0.38272,0.79025,0.15757,0.94079,0.41834,0.79528,0.17646,0.77881,0.38752,0.80345,0.16566,0.79212,0.43293,0.81902,0.04155,0.93582,0.36575,0.82197,0.03705,0.93333,wave
9,0.39385,0.34383,-0.21363,0.99974,0.39684,0.33604,-0.19719,0.99944,0.39962,0.33627,-0.19722,0.99939,0.40224,0.33656,-0.1973,0.99933,0.38889,0.33648,-0.19408,0.99906,0.38596,0.33708,-0.19413,0.99902,0.38314,0.3379,-0.19414,0.99897,0.40579,0.3426,-0.098,0.99934,0.37965,0.34479,-0.08265,0.99848,0.39941,0.35513,-0.17637,0.99971,0.38936,0.35597,-0.17243,0.99937,0.4344,0.40218,-0.037,0.99925,0.35622,0.40024,-0.01158,0.998,0.44651,0.47459,0.02693,0.9519,0.31904,0.36538,-0.01472,0.98394,0.44841,0.54417,0.01563,0.81914,0.3033,0.30311,-0.08829,0.96983,0.44877,0.56374,0.00678,0.6736,0.29999,0.28515,-0.11921,0.92879,0.44429,0.56255,-0.023,0.6859,0.30234,0.28348,-0.13156,0.93138,0.44167,0.55541,0.0038,0.67797,0.30358,0.28876,-0.10038,0.93269,0.42532,0.56499,-0.01271,0.99862,0.37834,0.56508,0.01263,0.99896,0.42686,0.67931,-0.03019,0.97719,0.37859,0.68739,-0.00571,0.95822,0.4229,0.783,0.16564,0.95418,0.38299,0.78933,0.16453,0.94489,0.41781,0.79464,0.17556,0.78457,0.38736,0.80187,0.17397,0.79921,0.43283,0.81875,0.04351,0.93931,0.36891,0.82004,0.0465,0.93745,wave
10,0.39358,0.34276,-0.23575,0.99975,0.39663,0.33518,-0.21543,0.99947,0.39955,0.33526,-0.21544,0.99941,0.40215,0.33542,-0.2155,0.99936,0.38864,0.33617,-0.21498,0.99911,0.38563,0.33695,-0.21503,0.99906,0.38266,0.33794,-0.21505,0.99902,0.40559,0.34169,-0.10216,0.99938,0.3793,0.34526,-0.09877,0.99858,0.39918,0.35393,-0.19467,0.99973,0.38904,0.35542,-0.19388,0.99941,0.4341,0.40207,-0.03115,0.99926,0.35618,0.39942,-0.03268,0.99811,0.44603,0.47488,0.0324,0.95068,0.32428,0.35796,-0.10376,0.98529,0.44801,0.54354,0.02742,0.80632,0.3243,0.28691,-0.18233,0.97135,0.4482,0.56213,0.01815,0.65874,0.32697,0.27008,-0.23057,0.93003,0.44364,0.5612,-0.0104,0.67041,0.33048,0.26792,-0.21416,0.93174,0.44135,0.55433,0.01529,0.66233,0.33057,0.27427,-0.18319,0.93243,0.42507,0.56393,-0.01235,0.99871,0.37805,0.56399,0.01233,0.99902,0.42639,0.67913,-0.0335,0.9782,0.37864,0.68713,-0.00503,0.96105,0.42239,0.78376,0.16033,0.9572,0.38306,0.78886,0.16606,0.94899,0.41736,0.79501,0.17101,0.78886,0.38727,0.80153,0.1772,0.80722,0.43228,0.81874,0.03533,0.94284,0.36906,0.82003,0.0537,0.94167,wave
