count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.3743,0.34323,-0.21103,0.99967,0.37872,0.3332,-0.19374,0.99911,0.38165,0.33336,-0.19377,0.99917,0.38464,0.33363,-0.19382,0.9989,0.37129,0.33298,-0.19227,0.99841,0.36875,0.33285,-0.1923,0.99861,0.36633,0.3329,-0.19232,0.99855,0.3911,0.34007,-0.09256,0.99873,0.36484,0.33699,-0.08999,0.99777,0.37906,0.35417,-0.17325,0.99942,0.37089,0.35425,-0.17285,0.99883,0.41492,0.40124,-0.04993,0.99901,0.33866,0.39068,-0.04352,0.99705,0.42548,0.47373,-0.06179,0.93325,0.27926,0.37975,-0.15966,0.98035,0.42455,0.54541,-0.15179,0.81571,0.2413,0.36773,-0.38503,0.96514,0.42782,0.56545,-0.17356,0.64494,0.22638,0.36261,-0.43196,0.91211,0.42229,0.56505,-0.19481,0.66077,0.22677,0.3632,-0.44167,0.91659,0.41918,0.55804,-0.16214,0.66306,0.23277,0.36678,-0.39845,0.92091,0.39449,0.55828,-0.00436,0.99836,0.35261,0.55638,0.0042,0.99855,0.40447,0.66009,-0.02644,0.98662,0.36106,0.6674,-0.00958,0.97917,0.40961,0.76802,0.1419,0.98138,0.37092,0.75468,0.19795,0.98004,0.40545,0.77837,0.15318,0.84937,0.37337,0.76558,0.21623,0.85405,0.42159,0.79901,0.03888,0.97501,0.36675,0.78732,0.10901,0.97598,wave
2,0.37312,0.34157,-0.23269,0.99969,0.37718,0.33172,-0.21524,0.99914,0.3801,0.33195,-0.21528,0.99919,0.38308,0.33223,-0.21533,0.99895,0.36979,0.33146,-0.21541,0.99849,0.36718,0.33139,-0.21545,0.99866,0.36462,0.33155,-0.21547,0.99859,0.38797,0.33823,-0.11107,0.99875,0.36213,0.33583,-0.11525,0.99776,0.37826,0.35276,-0.19337,0.99944,0.36934,0.35242,-0.19494,0.99889,0.4111,0.40019,-0.05978,0.99908,0.33447,0.38683,-0.05089,0.99729,0.42562,0.47368,-0.06655,0.93434,0.27563,0.37677,-0.1838,0.98039,0.42375,0.5427,-0.14801,0.82292,0.23818,0.36569,-0.40195,0.96481,0.42551,0.56387,-0.16623,0.65896,0.22193,0.361,-0.44644,0.91329,0.42065,0.56345,-0.18743,0.67481,0.22356,0.36212,-0.45695,0.9179,0.41788,0.556,-0.1582,0.67492,0.23042,0.36559,-0.41514,0.92155,0.39155,0.5542,-0.00226,0.9985,0.34768,0.55211,0.0021,0.99866,0.39714,0.65837,-0.05191,0.986,0.35888,0.66045,-0.02857,0.97584,0.4085,0.76158,0.12429,0.98048,0.36533,0.74359,0.19434,0.9786,0.40444,0.77316,0.13639,0.84725,0.36688,0.75333,0.21354,0.84789,0.42015,0.79526,0.02434,0.97456,0.36109,0.78138,0.1017,0.97526,wave
3,0.37107,0.33881,-0.21656,0.9997,0.37536,0.32907,-0.20111,0.99919,0.37834,0.32937,-0.20114,0.99922,0.38134,0.32984,-0.2012,0.999,0.36791,0.32883,-0.19921,0.99859,0.3658,0.3289,-0.19925,0.99872,0.36354,0.32919,-0.19927,0.99864,0.38646,0.33645,-0.10581,0.9988,0.36103,0.33387,-0.10051,0.99779,0.37659,0.35032,-0.18042,0.99947,0.36726,0.34941,-0.17922,0.99895,0.40971,0.39858,-0.06429,0.99915,0.33423,0.38595,-0.05016,0.99751,0.42261,0.47349,-0.08308,0.9348,0.27846,0.37331,-0.17762,0.98042,0.42332,0.54056,-0.16997,0.82909,0.24058,0.35953,-0.40311,0.96482,0.42477,0.56286,-0.19076,0.67216,0.22305,0.35615,-0.44694,0.91477,0.42056,0.56269,-0.21055,0.68813,0.2246,0.35748,-0.4581,0.9195,0.41829,0.5551,-0.17994,0.68617,0.2316,0.36068,-0.41709,0.92292,0.39206,0.55086,-0.00558,0.99863,0.34712,0.5496,0.00543,0.99877,0.39425,0.65845,-0.05096,0.98588,0.35787,0.66029,0.03783,0.97141,0.40779,0.76084,0.11668,0.97996,0.36398,0.74349,0.27343,0.9762,0.40346,0.77122,0.12815,0.84581,0.36489,0.75361,0.2916,0.84228,0.41965,0.79316,0.01585,0.97452,0.35938,0.77889,0.18731,0.97348,wave
4,0.37043,0.33937,-0.20916,0.99972,0.37469,0.32974,-0.1939,0.99923,0.37767,0.33,-0.19394,0.99925,0.38055,0.33042,-0.19398,0.99905,0.36721,0.32954,-0.19054,0.99867,0.36497,0.32962,-0.19059,0.99878,0.36306,0.3299,-0.19061,0.99869,0.38541,0.33678,-0.09994,0.99885,0.3611,0.33436,-0.0881,0.99783,0.37594,0.35063,-0.17372,0.9995,0.36624,0.34982,-0.17066,0.99901,0.40953,0.3983,-0.06236,0.99921,0.33414,0.38578,-0.03816,0.99772,0.42186,0.47352,-0.08436,0.93653,0.28151,0.36998,-0.16245,0.98058,0.42196,0.54041,-0.17253,0.83715,0.24212,0.3492,-0.38893,0.96595,0.4243,0.56288,-0.19265,0.68761,0.22513,0.34481,-0.43138,0.9184,0.41981,0.56241,-0.21263,0.70334,0.22702,0.34596,-0.44388,0.92306,0.41742,0.5548,-0.18238,0.69944,0.23353,0.34911,-0.40349,0.92623,0.39153,0.55139,-0.00662,0.99875,0.34762,0.55004,0.00646,0.99886,0.39506,0.65974,-0.05531,0.98578,0.35659,0.66073,0.02821,0.9695,0.40682,0.76259,0.09394,0.97955,0.36203,0.74516,0.24349,0.97468,0.40245,0.77229,0.10314,0.84708,0.36308,0.75477,0.2592,0.83988,0.42026,0.79479,-0.00997,0.97432,0.35798,0.78025,0.15339,0.97201,wave
5,0.37013,0.33965,-0.21279,0.99973,0.37447,0.33017,-0.19667,0.99927,0.37739,0.33041,-0.19671,0.99928,0.38029,0.33083,-0.19676,0.9991,0.36684,0.32996,-0.19344,0.99875,0.36438,0.33001,-0.19348,0.99883,0.36229,0.33026,-0.1935,0.99874,0.3849,0.33707,-0.10075,0.99891,0.36041,0.33452,-0.08989,0.99788,0.37549,0.35068,-0.17696,0.99953,0.36547,0.34983,-0.17418,0.99907,0.40916,0.39781,-0.06588,0.99927,0.33276,0.38545,-0.03632,0.99788,0.42208,0.47285,-0.09249,0.93989,0.27981,0.36389,-0.16212,0.98015,0.42227,0.53971,-0.18226,0.84614,0.2429,0.33986,-0.38775,0.96532,0.42488,0.5623,-0.20427,0.70384,0.22931,0.33231,-0.42981,0.91857,0.42004,0.56168,-0.22328,0.71929,0.23075,0.33245,-0.44255,0.92341,0.41735,0.55401,-0.19168,0.71387,0.23626,0.3365,-0.40248,0.92664,0.3904,0.55098,-0.0078,0.99886,0.34685,0.54977,0.00764,0.99895,0.39555,0.65747,-0.0685,0.98553,0.35544,0.65942,0.02535,0.96622,0.40567,0.76173,0.09463,0.97895,0.36213,0.74434,0.24417,0.97277,0.40135,0.77172,0.10528,0.84882,0.36309,0.75363,0.26029,0.83797,0.41852,0.79346,-0.00562,0.97401,0.35772,0.77909,0.15656,0.97026,wave
6,0.3691,0.33897,-0.22532,0.99975,0.37368,0.32976,-0.20798,0.99933,0.37669,0.33007,-0.20801,0.99933,0.3797,0.33055,-0.20805,0.99917,0.36594,0.32933,-0.20584,0.99886,0.36343,0.32932,-0.20589,0.99893,0.36128,0.32954,-0.2059,0.99883,0.38436,0.33666,-0.1067,0.99899,0.35952,0.33388,-0.1003,0.99802,0.37463,0.34984,-0.18773,0.99957,0.36422,0.34878,-0.18616,0.99914,0.40873,0.39681,-0.06351,0.99931,0.3335,0.38537,-0.03783,0.99802,0.42173,0.47096,-0.08265,0.94107,0.28286,0.36154,-0.19799,0.98014,0.42191,0.53831,-0.17188,0.85277,0.2453,0.32518,-0.43668,0.96615,0.42503,0.56066,-0.19227,0.71684,0.23147,0.31719,-0.48175,0.92141,0.42043,0.56027,-0.21168,0.73228,0.23272,0.31572,-0.49316,0.92613,0.41748,0.55231,-0.18168,0.72536,0.23813,0.3191,-0.45116,0.92897,0.39064,0.55023,-0.00619,0.99896,0.34786,0.54917,0.006,0.99903,0.397,0.65721,-0.06191,0.98599,0.35586,0.65996,0.03563,0.96573,0.40531,0.76241,0.08662,0.97961,0.36277,0.74335,0.25229,0.9724,0.40039,0.77328,0.0956,0.85511,0.36327,0.75234,0.26798,0.83817,0.41924,0.79513,-0.01685,0.97488,0.35868,0.77843,0.16649,0.96985,wave
7,0.36914,0.33791,-0.22715,0.99977,0.37373,0.32885,-0.20887,0.99939,0.37672,0.32925,-0.20889,0.99938,0.37972,0.32981,-0.20894,0.99924,0.36597,0.32822,-0.20725,0.99896,0.36346,0.32813,-0.2073,0.99901,0.36112,0.3283,-0.20731,0.99892,0.38395,0.33612,-0.10637,0.99907,0.35906,0.33294,-0.10202,0.99817,0.37465,0.34876,-0.1892,0.9996,0.3641,0.34766,-0.18824,0.99921,0.40834,0.39623,-0.06324,0.99936,0.33286,0.38471,-0.05018,0.99817,0.42163,0.47016,-0.07943,0.94248,0.28462,0.35388,-0.21886,0.98086,0.42191,0.53786,-0.15775,0.85874,0.24778,0.30777,-0.4537,0.96792,0.42509,0.56033,-0.17688,0.72806,0.23671,0.2998,-0.49892,0.92561,0.42053,0.56005,-0.19502,0.7433,0.23899,0.29659,-0.50666,0.92996,0.41751,0.55194,-0.16684,0.73498,0.24318,0.29951,-0.46651,0.93241,0.39109,0.54986,-0.00611,0.99905,0.34817,0.54935,0.00593,0.99912,0.39739,0.65753,-0.05563,0.98627,0.35557,0.66136,0.06417,0.9638,0.40506,0.76249,0.09573,0.97989,0.3628,0.7439,0.29689,0.97097,0.39991,0.77402,0.10532,0.85986,0.36324,0.75312,0.31448,0.8357,0.4197,0.79533,-0.00589,0.97532,0.35847,0.77846,0.21525,0.96834,wave
8,0.36886,0.33798,-0.25912,0.99979,0.3732,0.32898,-0.23783,0.99944,0.37615,0.32938,-0.23782,0.99944,0.37906,0.32994,-0.23787,0.9993,0.36548,0.32838,-0.2379,0.99906,0.36293,0.32831,-0.23797,0.9991,0.36045,0.32848,-0.23797,0.99902,0.38319,0.33617,-0.12208,0.99915,0.35815,0.33316,-0.125,0.99833,0.37449,0.34877,-0.21642,0.99964,0.36378,0.3478,-0.21753,0.99928,0.40795,0.39593,-0.06512,0.9994,0.33292,0.38502,-0.0898,0.99831,0.42162,0.46994,-0.07471,0.94435,0.28499,0.3507,-0.27837,0.98156,0.42142,0.53772,-0.12788,0.86526,0.26175,0.29515,-0.52795,0.97008,0.42459,0.56019,-0.14297,0.73931,0.25327,0.28138,-0.57692,0.93065,0.41987,0.55978,-0.1576,0.75399,0.25552,0.27847,-0.58102,0.9345,0.41667,0.55172,-0.13452,0.74407,0.25884,0.28387,-0.53931,0.93637,0.3908,0.54936,-0.00589,0.99914,0.34816,0.54933,0.0057,0.99919,0.39659,0.65689,-0.06215,0.98647,0.35568,0.66188,0.06946,0.96099,0.40481,0.76147,0.0983,0.9801,0.36326,0.74429,0.31416,0.96966,0.39978,0.77267,0.10889,0.86363,0.36336,0.75326,0.33308,0.83531,0.41991,0.79407,-0.00272,0.97547,0.35845,0.77841,0.23194,0.96676,wave
9,0.36804,0.33795,-0.27707,0.99981,0.37241,0.3289,-0.25483,0.99949,0.37536,0.3293,-0.25483,0.99949,0.37827,0.32985,-0.25488,0.99936,0.36442,0.32825,-0.25471,0.99914,0.36177,0.32816,-0.25479,0.99919,0.35925,0.32826,-0.2548,0.99911,0.38243,0.33599,-0.13496,0.99922,0.35713,0.33293,-0.13654,0.99848,0.37379,0.34872,-0.23278,0.99967,0.36292,0.3478,-0.23355,0.99934,0.40739,0.39584,-0.07317,0.99944,0.33224,0.38493,-0.09753,0.99843,0.42103,0.47,-0.0935,0.94656,0.28776,0.34913,-0.2725,0.98249,0.42029,0.53765,-0.17328,0.87186,0.27057,0.28579,-0.50911,0.97233,0.42339,0.56026,-0.19256,0.7506,0.26331,0.2664,-0.55732,0.93579,0.41882,0.55978,-0.20865,0.76459,0.2651,0.26233,-0.56118,0.93919,0.41562,0.55173,-0.18137,0.75348,0.2684,0.27074,-0.52001,0.94061,0.39063,0.54881,-0.00403,0.99922,0.34808,0.54873,0.00384,0.99926,0.39659,0.657,-0.06529,0.98633,0.3556,0.66181,0.04588,0.9601,0.40468,0.76184,0.0969,0.97972,0.36289,0.74465,0.29655,0.96855,0.40004,0.77324,0.10733,0.86516,0.3629,0.75408,0.30993,0.83185,0.42012,0.79371,-0.00669,0.97469,0.35832,0.7783,0.22318,0.96504,wave
10,0.36803,0.33759,-0.26691,0.99983,0.37216,0.32847,-0.2454,0.99954,0.37503,0.32883,-0.24541,0.99952,0.37782,0.32932,-0.24545,0.99941,0.36429,0.32782,-0.24543,0.99922,0.36165,0.32773,-0.2455,0.99925,0.35911,0.32783,-0.24551,0.99918,0.38178,0.33542,-0.12587,0.99928,0.35673,0.33277,-0.13203,0.9986,0.37389,0.34812,-0.22385,0.9997,0.36297,0.34727,-0.22514,0.99939,0.40647,0.39554,-0.06354,0.99947,0.33157,0.38511,-0.1036,0.99852,0.42025,0.46992,-0.08384,0.94794,0.29232,0.34946,-0.30511,0.98374,0.42034,0.53697,-0.15771,0.87783,0.28291,0.27807,-0.54166,0.97468,0.42316,0.56014,-0.17581,0.76099,0.27846,0.257,-0.59227,0.94106,0.41861,0.55936,-0.19338,0.77411,0.28055,0.25127,-0.58905,0.94401,0.41554,0.55095,-0.16635,0.76192,0.28258,0.25799,-0.54956,0.94496,0.39115,0.5485,-0.00119,0.99929,0.34817,0.54884,0.00104,0.99933,0.39598,0.65693,-0.07805,0.9861,0.35567,0.66213,0.04451,0.95864,0.40416,0.76168,0.08065,0.97877,0.36231,0.74462,0.28072,0.96643,0.39931,0.77343,0.09105,0.86759,0.36222,0.75446,0.29738,0.82692,0.42017,0.79337,-0.02354,0.97362,0.35781,0.7783,0.19256,0.962,wave
