count,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,class
1,0.31264,0.38924,-0.23188,0.99983,0.31473,0.38208,-0.21525,0.99963,0.3167,0.38213,-0.21524,0.99954,0.31884,0.38237,-0.21529,0.99953,0.3093,0.38242,-0.21549,0.99948,0.30741,0.38266,-0.21554,0.99938,0.30556,0.38311,-0.21556,0.99926,0.32327,0.38813,-0.12396,0.99931,0.30395,0.39003,-0.12503,0.99848,0.31701,0.3975,-0.19772,0.99968,0.31104,0.39795,-0.19825,0.99944,0.34469,0.42855,-0.09621,0.99948,0.28661,0.43375,-0.08549,0.999,0.37526,0.39668,-0.19024,0.95619,0.25224,0.39651,-0.20912,0.98297,0.39023,0.34058,-0.32879,0.92846,0.23264,0.34236,-0.36489,0.97275,0.39637,0.32273,-0.36763,0.85669,0.2252,0.32033,-0.40064,0.94565,0.39294,0.32079,-0.3746,0.86732,0.22666,0.32196,-0.40559,0.94863,0.39013,0.32717,-0.33937,0.85217,0.23026,0.32147,-0.37388,0.9466,0.33558,0.55278,-0.01303,0.99963,0.30406,0.55514,0.01307,0.99954,0.33481,0.65451,-0.05919,0.9696,0.31813,0.65744,-0.00226,0.93504,0.33854,0.7544,0.05769,0.94848,0.3244,0.75155,0.10997,0.93415,0.34016,0.76485,0.06215,0.82873,0.3262,0.76081,0.11447,0.75947,0.34264,0.78128,-0.0426,0.94418,0.31538,0.77677,0.0118,0.92958,wave
2,0.30974,0.39497,-0.17958,0.99984,0.31076,0.38727,-0.16378,0.99965,0.31238,0.38726,-0.16377,0.99955,0.3141,0.38742,-0.16381,0.99954,0.30597,0.3876,-0.16129,0.99951,0.3042,0.38777,-0.16134,0.99942,0.30246,0.38813,-0.16136,0.99932,0.31703,0.39296,-0.07799,0.99934,0.30104,0.39441,-0.06661,0.9986,0.31372,0.40255,-0.14802,0.99968,0.30846,0.40256,-0.14495,0.99946,0.33965,0.43427,-0.05141,0.99928,0.28464,0.44009,-0.03297,0.99897,0.36572,0.39721,-0.12931,0.95872,0.25176,0.40102,-0.13875,0.98409,0.38108,0.33764,-0.23993,0.93186,0.23314,0.34597,-0.29907,0.97468,0.38735,0.32018,-0.27138,0.86166,0.22525,0.32369,-0.33516,0.94836,0.38259,0.3175,-0.28018,0.87128,0.22738,0.32532,-0.33862,0.95096,0.37942,0.32507,-0.24935,0.85769,0.23119,0.32582,-0.30767,0.949,0.33025,0.55443,-0.01525,0.99957,0.29953,0.55638,0.01532,0.99948,0.32701,0.65519,-0.05989,0.96437,0.31178,0.65805,-0.00473,0.93316,0.33252,0.74874,0.04782,0.93995,0.31945,0.75312,0.08897,0.93024,0.33149,0.75785,0.05218,0.81542,0.32009,0.76152,0.09241,0.76004,0.33694,0.77812,-0.0501,0.93502,0.31397,0.77829,-0.00637,0.92342,wave
3,0.31003,0.38983,-0.22699,0.99984,0.31181,0.38415,-0.21047,0.99965,0.31377,0.38432,-0.21043,0.99956,0.31582,0.38465,-0.21046,0.99955,0.30643,0.38471,-0.20984,0.99954,0.3046,0.38517,-0.20989,0.99945,0.30271,0.38574,-0.20991,0.99937,0.32,0.39137,-0.12216,0.99937,0.30098,0.39334,-0.11828,0.99872,0.31515,0.39745,-0.19509,0.99967,0.30768,0.39785,-0.194,0.99948,0.34142,0.43377,-0.07812,0.99908,0.28455,0.44089,-0.0775,0.99892,0.37053,0.39378,-0.12176,0.96171,0.25105,0.40142,-0.1627,0.98536,0.3762,0.33046,-0.2354,0.93387,0.23521,0.34319,-0.30601,0.97646,0.3793,0.31232,-0.25673,0.86006,0.22984,0.32578,-0.34039,0.95055,0.37514,0.30436,-0.24331,0.86847,0.23297,0.32365,-0.34417,0.95267,0.37294,0.31463,-0.2286,0.856,0.23498,0.32654,-0.3139,0.95066,0.32871,0.55421,-0.0142,0.99947,0.3027,0.55602,0.01425,0.9994,0.32683,0.65609,-0.0309,0.96112,0.31517,0.65899,0.00538,0.93135,0.33138,0.74967,0.06455,0.93664,0.32041,0.75349,0.11774,0.92628,0.33024,0.76014,0.07371,0.80139,0.31996,0.7631,0.12258,0.75569,0.33542,0.7797,-0.03265,0.92915,0.31599,0.77832,0.02106,0.91824,wave
4,0.30926,0.39349,-0.12074,0.99984,0.31061,0.3873,-0.10287,0.99967,0.3122,0.38746,-0.10286,0.99957,0.31392,0.38775,-0.10287,0.99956,0.3061,0.3875,-0.10483,0.99957,0.30445,0.38778,-0.10488,0.99949,0.30274,0.38817,-0.10492,0.99942,0.31746,0.39339,-0.01875,0.9994,0.3013,0.39461,-0.02707,0.99883,0.31372,0.4009,-0.09062,0.99967,0.30731,0.40099,-0.0933,0.9995,0.3388,0.43356,0.01072,0.99889,0.28574,0.44163,-0.00897,0.99888,0.36611,0.39598,-0.02621,0.9632,0.25379,0.40373,-0.10136,0.98616,0.36751,0.33518,-0.07812,0.93272,0.24525,0.34346,-0.22199,0.97764,0.36823,0.31966,-0.102,0.85251,0.24672,0.32745,-0.25361,0.95131,0.36396,0.31467,-0.09842,0.85895,0.24911,0.32465,-0.25546,0.95284,0.36217,0.32333,-0.08144,0.84777,0.24973,0.32888,-0.22881,0.95082,0.32575,0.55427,-0.013,0.99938,0.30527,0.55652,0.01297,0.99932,0.32377,0.659,-0.03227,0.95172,0.31681,0.66127,0.00141,0.91448,0.32974,0.75043,0.06358,0.9203,0.31946,0.75244,0.09969,0.90332,0.32891,0.76124,0.0675,0.77707,0.31795,0.76241,0.10429,0.7329,0.33454,0.78027,-0.037,0.90578,0.31629,0.77827,0.00581,0.89358,wave
5,0.30998,0.38966,-0.09975,0.99985,0.31167,0.38328,-0.07874,0.99969,0.31352,0.38344,-0.07873,0.9996,0.31544,0.38373,-0.07872,0.9996,0.3066,0.38388,-0.08094,0.9996,0.30473,0.38448,-0.08097,0.99953,0.30274,0.38518,-0.08102,0.99947,0.31872,0.39026,0.01247,0.99945,0.29986,0.39311,0.00288,0.99894,0.31491,0.39758,-0.06814,0.99969,0.30796,0.3984,-0.07122,0.99954,0.33899,0.43391,0.03196,0.99885,0.28493,0.44093,0.00905,0.99884,0.36538,0.3931,-0.03915,0.96567,0.25368,0.40061,-0.1211,0.98705,0.35726,0.33353,-0.10948,0.93656,0.26088,0.33806,-0.25939,0.97885,0.35381,0.31801,-0.13676,0.85725,0.26327,0.32135,-0.29499,0.95234,0.34795,0.31505,-0.12955,0.86209,0.2689,0.31854,-0.29037,0.95318,0.34812,0.32176,-0.11129,0.85078,0.26948,0.32432,-0.26399,0.95096,0.32958,0.55488,-0.00842,0.99937,0.304,0.55704,0.00842,0.9993,0.32525,0.66003,-0.0204,0.94772,0.31544,0.66249,0.00095,0.90342,0.32864,0.75063,0.0602,0.91387,0.31858,0.75255,0.08705,0.88654,0.32774,0.76152,0.06136,0.7626,0.3168,0.76217,0.08965,0.70807,0.33381,0.78442,-0.04881,0.89521,0.31675,0.77965,-0.01402,0.8755,wave
6,0.30967,0.39142,-0.08743,0.99986,0.3116,0.38462,-0.06806,0.99972,0.31348,0.38475,-0.06804,0.99964,0.31539,0.38497,-0.06802,0.99963,0.30665,0.38506,-0.06909,0.99964,0.30499,0.38549,-0.06912,0.99958,0.30324,0.38602,-0.06917,0.99952,0.31872,0.3908,0.01705,0.9995,0.30138,0.39272,0.01282,0.99904,0.31449,0.39867,-0.05777,0.99971,0.30797,0.39932,-0.05935,0.99957,0.3388,0.43429,0.03091,0.99882,0.28597,0.44124,0.01765,0.99884,0.36415,0.39396,-0.05299,0.96769,0.25599,0.3994,-0.1178,0.98773,0.35434,0.33584,-0.13116,0.9399,0.26672,0.33709,-0.25937,0.98012,0.34923,0.32169,-0.15947,0.8618,0.26844,0.32213,-0.29446,0.95415,0.34327,0.31898,-0.15147,0.8651,0.27351,0.31923,-0.29027,0.95447,0.34346,0.32456,-0.13267,0.85366,0.27492,0.32462,-0.26392,0.95209,0.32967,0.55544,-0.00854,0.99937,0.30476,0.55733,0.00852,0.99931,0.32471,0.66047,-0.01988,0.94386,0.31527,0.66267,0.00471,0.89542,0.32805,0.75091,0.05289,0.90821,0.31783,0.75208,0.08943,0.87289,0.32753,0.76201,0.05308,0.74905,0.31602,0.76193,0.0919,0.68817,0.33314,0.78581,-0.05475,0.88596,0.31693,0.77952,-0.00682,0.86135,wave
7,0.31006,0.39006,-0.08601,0.99986,0.3115,0.38311,-0.06741,0.99974,0.3132,0.38321,-0.0674,0.99966,0.31496,0.38335,-0.06739,0.99966,0.30701,0.38343,-0.06727,0.99967,0.30549,0.3838,-0.0673,0.99961,0.30386,0.38423,-0.06734,0.99956,0.31838,0.38917,0.01534,0.99954,0.30284,0.39104,0.01641,0.99913,0.31484,0.39761,-0.05697,0.99972,0.3091,0.39823,-0.05697,0.9996,0.33674,0.43262,0.02007,0.99868,0.28635,0.44006,0.01832,0.99875,0.36308,0.39207,-0.11207,0.96889,0.25649,0.40058,-0.13527,0.98667,0.3448,0.33422,-0.21595,0.94088,0.27132,0.33756,-0.28692,0.97914,0.33698,0.32094,-0.25042,0.86095,0.27459,0.32262,-0.32262,0.95086,0.32934,0.31876,-0.23133,0.86223,0.2797,0.31975,-0.31676,0.94989,0.33014,0.32348,-0.21393,0.85003,0.28082,0.3247,-0.29106,0.94671,0.33191,0.56053,-0.00879,0.99937,0.30777,0.55714,0.00875,0.99931,0.322,0.66027,-0.01708,0.93561,0.31691,0.66261,0.00706,0.88433,0.32731,0.75135,0.05861,0.89718,0.31829,0.75188,0.09691,0.85419,0.32779,0.76255,0.05995,0.7302,0.31709,0.76174,0.10038,0.65969,0.3303,0.78278,-0.04559,0.87096,0.31631,0.77842,0.00298,0.84253,wave
8,0.31053,0.39091,-0.07245,0.99987,0.31163,0.38395,-0.05414,0.99976,0.31316,0.38403,-0.05413,0.99968,0.31477,0.38415,-0.05412,0.99969,0.30758,0.38432,-0.05511,0.99969,0.30618,0.38473,-0.05514,0.99964,0.30467,0.38523,-0.05518,0.9996,0.31774,0.38987,0.02572,0.99957,0.30313,0.39221,0.02171,0.9992,0.31518,0.39866,-0.04445,0.99972,0.30984,0.3992,-0.04594,0.99961,0.33669,0.43322,0.02706,0.9986,0.28628,0.44049,0.01772,0.99865,0.36152,0.39044,-0.10359,0.97012,0.25999,0.39949,-0.13493,0.98549,0.34257,0.33347,-0.19963,0.94195,0.27433,0.33789,-0.26965,0.97732,0.33601,0.32119,-0.23257,0.86063,0.27853,0.32307,-0.30345,0.94573,0.32834,0.32066,-0.2173,0.86024,0.283,0.32094,-0.29764,0.94331,0.32859,0.32486,-0.19883,0.84768,0.28335,0.32557,-0.27343,0.93949,0.33271,0.56258,-0.00806,0.99938,0.3085,0.55707,0.008,0.99931,0.32226,0.66008,-0.01808,0.92418,0.31747,0.66253,0.0069,0.86842,0.32763,0.75152,0.05578,0.88164,0.31832,0.75051,0.09183,0.83162,0.3274,0.7629,0.05676,0.70968,0.31684,0.76154,0.09497,0.63123,0.3307,0.78051,-0.04504,0.85259,0.31613,0.77336,-3e-05,0.82101,wave
9,0.30968,0.39104,-0.0587,0.99987,0.31112,0.38428,-0.03924,0.99977,0.31282,0.38426,-0.03923,0.9997,0.31457,0.38431,-0.03922,0.99971,0.30662,0.38506,-0.03897,0.99971,0.30506,0.38566,-0.039,0.99966,0.30339,0.38639,-0.03905,0.99963,0.3177,0.38996,0.04102,0.9996,0.30248,0.393,0.04281,0.99927,0.31492,0.39832,-0.03112,0.99971,0.3089,0.3994,-0.03098,0.99961,0.33659,0.43318,0.03992,0.9985,0.28654,0.44038,0.03921,0.99851,0.36122,0.39091,-0.08054,0.97164,0.26189,0.39916,-0.09399,0.98558,0.34487,0.33476,-0.15774,0.94413,0.27574,0.3385,-0.20253,0.97745,0.33848,0.32303,-0.18909,0.86285,0.2799,0.32429,-0.23363,0.94443,0.33065,0.32232,-0.17119,0.86101,0.2842,0.32105,-0.22623,0.9411,0.332,0.32644,-0.15545,0.84865,0.2845,0.32637,-0.20521,0.93704,0.33413,0.56253,-0.00832,0.99938,0.30791,0.55697,0.00827,0.9993,0.3229,0.65958,-0.02228,0.91602,0.31645,0.66198,0.00869,0.85625,0.32854,0.75047,0.04249,0.86893,0.31782,0.74824,0.09449,0.81176,0.32846,0.76288,0.0427,0.69316,0.31581,0.75748,0.09773,0.60623,0.3315,0.77935,-0.05838,0.83657,0.31553,0.77026,0.00405,0.80088,wave
10,0.31002,0.3914,-0.06849,0.99987,0.31152,0.38452,-0.04904,0.99979,0.31314,0.38448,-0.04903,0.99971,0.31485,0.38454,-0.04902,0.99972,0.30719,0.38538,-0.04867,0.99973,0.30568,0.386,-0.0487,0.99968,0.30404,0.38673,-0.04875,0.99966,0.31773,0.39027,0.03165,0.99962,0.30253,0.39327,0.03405,0.99933,0.31489,0.39897,-0.04083,0.99971,0.30918,0.40002,-0.04048,0.99962,0.3371,0.43325,0.0363,0.99845,0.28678,0.44064,0.04246,0.99842,0.36147,0.3909,-0.05241,0.97343,0.26093,0.39889,-0.05394,0.98629,0.34701,0.33248,-0.119,0.9464,0.27108,0.33858,-0.14333,0.97811,0.34185,0.31917,-0.14854,0.86504,0.27385,0.3241,-0.17154,0.9443,0.33459,0.31806,-0.13514,0.86183,0.28005,0.3205,-0.16815,0.94038,0.33428,0.3227,-0.11824,0.84964,0.28038,0.32565,-0.14727,0.93655,0.33054,0.55991,-0.01051,0.99935,0.30691,0.5569,0.01051,0.99926,0.32353,0.65951,-0.02381,0.90607,0.31544,0.66192,0.01017,0.84036,0.32921,0.75054,0.04566,0.85647,0.31673,0.74733,0.09573,0.79037,0.32881,0.76261,0.04626,0.67876,0.31491,0.75713,0.09883,0.58565,0.33317,0.78014,-0.05602,0.81977,0.31359,0.7686,0.00429,0.7782,wave
